formOfNode,longitude,latitude
source,-3.279,53.311
source,-3.271,53.298
source,-3.267,53.262
source,-3.267,53.293
junction,-3.262,53.301
junction,-3.260,53.314
source,-3.259,53.313
outlet,-3.237,53.304
source,-3.228,53.296
outlet,-3.221,53.300
source,-3.215,53.296
source,-3.202,53.260
source,-3.196,53.255
source,-3.356,53.345
source,-3.349,53.342
source,-3.342,53.245
source,-3.337,53.271
source,-3.334,53.323
junction,-3.319,53.342
junction,-3.319,53.342
source,-3.315,53.337
junction,-3.314,53.342
source,-3.304,53.335
source,-3.300,53.247
junction,-3.296,53.323
source,-3.291,53.315
source,-3.282,53.323
source,-3.184,53.278
source,-3.165,53.264
outlet,-3.147,53.257
source,-3.076,53.251
source,-3.277,53.226
junction,-3.277,53.226
junction,-3.289,53.230
junction,-3.291,53.230
junction,-3.284,53.233
junction,-3.304,53.233
source,-3.282,53.233
junction,-3.323,53.236
junction,-3.334,53.236
junction,-3.334,53.236
source,-3.334,53.236
source,-3.317,53.244
junction,-3.073,53.236
junction,-3.072,53.237
source,-3.071,53.236
source,-3.067,53.233
source,-3.067,53.251
source,-3.065,53.235
junction,-3.065,53.236
outlet,-3.063,53.251
source,-3.058,53.231
outlet,-3.057,53.232
source,-3.056,53.224
junction,-3.056,53.232
junction,-3.052,53.242
source,-3.050,53.247
source,-3.042,53.232
junction,-3.042,53.242
source,-3.041,53.242
source,-3.031,53.235
junction,-3.020,53.224
junction,-3.010,53.218
junction,-3.010,53.236
source,-3.004,53.238
junction,-2.998,53.235
source,-2.991,53.232
source,-2.979,53.226
junction,-2.974,53.223
junction,-2.972,53.222
junction,-3.356,53.188
source,-3.280,53.193
junction,-3.360,53.192
junction,-3.360,53.193
source,-3.359,53.194
junction,-3.361,53.194
source,-3.342,53.195
junction,-3.362,53.197
source,-3.349,53.199
junction,-3.367,53.201
source,-3.321,53.205
source,-3.356,53.209
source,-3.302,53.210
junction,-3.330,53.210
source,-3.300,53.211
junction,-3.300,53.211
source,-3.328,53.212
junction,-3.353,53.218
junction,-3.354,53.219
source,-3.349,53.221
source,-3.291,53.223
junction,-3.291,53.225
junction,-3.133,53.170
source,-3.130,53.226
source,-3.124,53.189
junction,-3.123,53.238
source,-3.113,53.199
junction,-3.111,53.200
outlet,-3.105,53.232
source,-3.105,53.233
source,-3.095,53.177
source,-3.093,53.210
junction,-3.083,53.200
source,-3.077,53.240
source,-3.012,53.170
junction,-3.004,53.173
source,-2.951,53.177
source,-2.957,53.182
source,-3.052,53.188
source,-2.954,53.189
source,-2.999,53.193
junction,-2.999,53.193
junction,-3.000,53.194
source,-3.003,53.195
source,-3.016,53.203
junction,-2.976,53.208
source,-2.998,53.214
source,-2.983,53.216
source,-2.942,53.170
source,-2.942,53.176
junction,-2.937,53.177
junction,-2.934,53.177
source,-2.932,53.180
junction,-2.932,53.180
junction,-2.930,53.171
junction,-3.237,53.174
source,-3.233,53.186
outlet,-3.231,53.190
source,-3.224,53.170
junction,-3.218,53.177
junction,-3.216,53.172
source,-3.196,53.207
junction,-3.193,53.199
junction,-3.187,53.185
source,-3.167,53.233
junction,-3.164,53.234
source,-3.154,53.211
source,-3.152,53.198
source,-3.151,53.189
junction,-3.149,53.232
source,-3.146,53.166
junction,-3.143,53.164
source,-3.143,53.222
source,-3.140,53.173
junction,-3.266,53.168
junction,-3.268,53.225
source,-3.266,53.170
junction,-3.266,53.169
source,-3.266,53.167
junction,-3.265,53.169
source,-3.265,53.176
source,-3.257,53.192
junction,-3.255,53.171
source,-3.248,53.168
source,-3.247,53.174
junction,-3.246,53.173
source,-3.245,53.200
source,-3.241,53.168
junction,-3.237,53.172
junction,-3.355,53.161
source,-3.361,53.161
junction,-3.358,53.162
junction,-3.360,53.163
source,-3.356,53.163
junction,-3.356,53.163
source,-3.364,53.164
junction,-3.364,53.164
junction,-3.364,53.164
source,-3.356,53.165
junction,-3.357,53.165
source,-3.269,53.167
source,-3.345,53.167
junction,-3.350,53.169
junction,-3.349,53.169
junction,-3.344,53.172
junction,-3.364,53.173
junction,-3.364,53.174
junction,-3.364,53.175
junction,-3.367,53.178
source,-3.356,53.178
source,-3.281,53.180
source,-3.357,53.182
junction,-3.362,53.182
junction,-3.355,53.184
source,-3.302,53.188
source,-3.301,53.137
junction,-3.317,53.137
junction,-3.317,53.137
junction,-3.349,53.140
junction,-3.323,53.143
source,-3.353,53.148
source,-3.284,53.154
source,-3.331,53.158
junction,-3.337,53.158
junction,-3.335,53.159
source,-3.349,53.159
source,-3.359,53.160
source,-3.284,53.161
source,-3.110,53.129
source,-3.101,53.130
junction,-3.056,53.132
source,-3.061,53.136
junction,-3.081,53.136
junction,-3.131,53.139
source,-3.142,53.141
source,-3.108,53.144
junction,-3.078,53.148
source,-3.095,53.148
junction,-3.100,53.150
source,-3.068,53.150
junction,-3.112,53.150
junction,-3.081,53.150
source,-3.113,53.153
junction,-3.111,53.154
junction,-3.113,53.154
source,-3.079,53.154
source,-3.114,53.155
junction,-3.123,53.157
junction,-3.123,53.158
source,-3.147,53.162
junction,-3.133,53.163
junction,-3.215,53.106
junction,-3.217,53.106
source,-3.221,53.107
source,-3.251,53.107
source,-3.157,53.112
source,-3.150,53.120
source,-3.227,53.119
source,-3.153,53.121
junction,-3.216,53.122
junction,-3.214,53.128
source,-3.229,53.128
source,-3.248,53.144
junction,-3.208,53.145
source,-3.149,53.149
source,-3.207,53.149
junction,-3.203,53.152
source,-3.239,53.154
source,-3.229,53.154
outlet,-3.229,53.154
junction,-3.208,53.160
source,-3.265,53.159
source,-3.352,53.085
junction,-3.305,53.087
source,-3.273,53.098
source,-3.356,53.098
junction,-3.332,53.101
junction,-3.283,53.106
junction,-3.285,53.107
junction,-3.329,53.109
junction,-3.316,53.112
source,-3.321,53.119
junction,-3.294,53.122
source,-3.347,53.124
junction,-3.343,53.125
source,-3.287,53.128
source,-3.300,53.128
junction,-3.301,53.128
source,-3.355,53.129
source,-3.309,53.131
junction,-3.310,53.131
junction,-3.316,53.132
junction,-3.305,53.132
source,-3.305,53.132
source,-3.036,53.103
source,-3.035,53.097
junction,-3.033,53.097
junction,-3.029,53.102
junction,-3.028,53.093
source,-3.013,53.162
source,-3.009,53.149
junction,-2.992,53.153
source,-2.988,53.086
source,-2.989,53.120
junction,-2.988,53.086
source,-2.983,53.114
source,-2.977,53.148
source,-2.976,53.130
source,-2.975,53.139
source,-2.974,53.130
source,-2.973,53.126
junction,-2.973,53.126
junction,-2.971,53.125
junction,-2.969,53.138
junction,-2.967,53.124
junction,-2.964,53.133
junction,-2.963,53.129
source,-2.960,53.129
junction,-2.958,53.130
junction,-3.104,53.078
source,-3.074,53.080
source,-3.107,53.080
source,-3.044,53.086
junction,-3.064,53.087
source,-3.137,53.087
junction,-3.066,53.090
junction,-3.039,53.092
source,-3.119,53.094
source,-3.093,53.096
junction,-3.121,53.098
junction,-3.080,53.101
junction,-3.083,53.105
source,-3.081,53.107
junction,-3.038,53.112
source,-3.038,53.113
junction,-3.147,53.115
junction,-3.146,53.120
source,-3.052,53.122
junction,-3.049,53.122
junction,-3.139,53.122
junction,-3.050,53.123
source,-3.094,53.123
junction,-3.136,53.125
junction,-3.091,53.126
source,-3.139,53.126
source,-3.057,53.127
