id,cohort,session,attendance
1,PG Cyber Sec,1,0
1,PG Cyber Sec,2,0
1,PG Cyber Sec,3,0
1,PG Cyber Sec,4,1
1,PG Cyber Sec,5,0
1,PG Cyber Sec,6,0
1,PG Cyber Sec,7,0
1,PG Cyber Sec,8,1
1,PG Cyber Sec,9,1
1,PG Cyber Sec,10,0
2,PG Cyber Sec,1,1
2,PG Cyber Sec,2,1
2,PG Cyber Sec,3,0
2,PG Cyber Sec,4,1
2,PG Cyber Sec,5,0
2,PG Cyber Sec,6,0
2,PG Cyber Sec,7,1
2,PG Cyber Sec,8,0
2,PG Cyber Sec,9,0
2,PG Cyber Sec,10,0
3,PG Cyber Sec,1,1
3,PG Cyber Sec,2,1
3,PG Cyber Sec,3,1
3,PG Cyber Sec,4,1
3,PG Cyber Sec,5,0
3,PG Cyber Sec,6,1
3,PG Cyber Sec,7,0
3,PG Cyber Sec,8,0
3,PG Cyber Sec,9,1
3,PG Cyber Sec,10,1
4,PG Cyber Sec,1,1
4,PG Cyber Sec,2,1
4,PG Cyber Sec,3,1
4,PG Cyber Sec,4,1
4,PG Cyber Sec,5,1
4,PG Cyber Sec,6,1
4,PG Cyber Sec,7,1
4,PG Cyber Sec,8,1
4,PG Cyber Sec,9,1
4,PG Cyber Sec,10,1
5,PG Cyber Sec,1,1
5,PG Cyber Sec,2,1
5,PG Cyber Sec,3,1
5,PG Cyber Sec,4,1
5,PG Cyber Sec,5,0
5,PG Cyber Sec,6,0
5,PG Cyber Sec,7,1
5,PG Cyber Sec,8,0
5,PG Cyber Sec,9,0
5,PG Cyber Sec,10,1
6,PG Cyber Sec,1,1
6,PG Cyber Sec,2,1
6,PG Cyber Sec,3,1
6,PG Cyber Sec,4,0
6,PG Cyber Sec,5,0
6,PG Cyber Sec,6,0
6,PG Cyber Sec,7,0
6,PG Cyber Sec,8,1
6,PG Cyber Sec,9,0
6,PG Cyber Sec,10,0
7,PG Cyber Sec,1,1
7,PG Cyber Sec,2,1
7,PG Cyber Sec,3,1
7,PG Cyber Sec,4,1
7,PG Cyber Sec,5,1
7,PG Cyber Sec,6,1
7,PG Cyber Sec,7,1
7,PG Cyber Sec,8,1
7,PG Cyber Sec,9,1
7,PG Cyber Sec,10,1
8,PG Cyber Sec,1,1
8,PG Cyber Sec,2,1
8,PG Cyber Sec,3,1
8,PG Cyber Sec,4,1
8,PG Cyber Sec,5,1
8,PG Cyber Sec,6,0
8,PG Cyber Sec,7,0
8,PG Cyber Sec,8,1
8,PG Cyber Sec,9,1
8,PG Cyber Sec,10,1
9,PG Cyber Sec,1,1
9,PG Cyber Sec,2,1
9,PG Cyber Sec,3,1
9,PG Cyber Sec,4,1
9,PG Cyber Sec,5,0
9,PG Cyber Sec,6,1
9,PG Cyber Sec,7,1
9,PG Cyber Sec,8,1
9,PG Cyber Sec,9,1
9,PG Cyber Sec,10,1
10,PG Cyber Sec,1,0
10,PG Cyber Sec,2,1
10,PG Cyber Sec,3,0
10,PG Cyber Sec,4,0
10,PG Cyber Sec,5,0
10,PG Cyber Sec,6,0
10,PG Cyber Sec,7,0
10,PG Cyber Sec,8,0
10,PG Cyber Sec,9,1
10,PG Cyber Sec,10,0
11,PG Cyber Sec,1,0
11,PG Cyber Sec,2,1
11,PG Cyber Sec,3,1
11,PG Cyber Sec,4,0
11,PG Cyber Sec,5,1
11,PG Cyber Sec,6,0
11,PG Cyber Sec,7,1
11,PG Cyber Sec,8,1
11,PG Cyber Sec,9,0
11,PG Cyber Sec,10,1
12,PG Cyber Sec,1,1
12,PG Cyber Sec,2,1
12,PG Cyber Sec,3,1
12,PG Cyber Sec,4,1
12,PG Cyber Sec,5,1
12,PG Cyber Sec,6,1
12,PG Cyber Sec,7,0
12,PG Cyber Sec,8,1
12,PG Cyber Sec,9,1
12,PG Cyber Sec,10,1
13,PG Cyber Sec,1,1
13,PG Cyber Sec,2,1
13,PG Cyber Sec,3,1
13,PG Cyber Sec,4,1
13,PG Cyber Sec,5,1
13,PG Cyber Sec,6,1
13,PG Cyber Sec,7,0
13,PG Cyber Sec,8,1
13,PG Cyber Sec,9,0
