councilName,wardName,DistrictGSS,WardGSS,partyFullName,party,candidateFullName,candidateFirstName,candidateLastName,numVotes,elected
Barking and Dagenham,Abbey,E09000002,E05000026,The Labour Party Candidate,Lab,"Butt, Laila Ms.",Laila,Butt,3412,1
Barking and Dagenham,Abbey,E09000002,E05000026,The Labour Party Candidate,Lab,"Hussain, Manzoor",Manzoor,Hussain,3139,1
Barking and Dagenham,Abbey,E09000002,E05000026,The Labour Party Candidate,Lab,"Saeed, Tariq",Tariq,Saeed,3122,1
Barking and Dagenham,Abbey,E09000002,E05000026,Conservative Party Candidate,Con,"Taylor, John W.",John,Taylor,671,0
Barking and Dagenham,Abbey,E09000002,E05000026,Conservative Party Candidate,Con,"Iqbal, Mohammed C.",Mohammed,Iqbal,650,0
Barking and Dagenham,Abbey,E09000002,E05000026,Liberal Democrat Focus Team,LD,"Gomes, Anthony",Anthony,Gomes,603,0
Barking and Dagenham,Abbey,E09000002,E05000026,Conservative Party Candidate,Con,"Rahman, Shahidur",Shahidur,Rahman,546,0
Barking and Dagenham,Abbey,E09000002,E05000026,British National Party,BNP,"Tunney, Brian J.",Brian,Tunney,326,0
Barking and Dagenham,Abbey,E09000002,E05000026,Independent,Ind,"Parvaj, Zakir",Zakir,Parvaj,72,0
Barking and Dagenham,Alibon,E09000002,E05000027,The Labour Party Candidate,Lab,"Rodwell, Darren",Darren,Rodwell,2245,1
Barking and Dagenham,Alibon,E09000002,E05000027,The Labour Party Candidate,Lab,"Davis, John *",John,Davis,2135,1
Barking and Dagenham,Alibon,E09000002,E05000027,The Labour Party Candidate,Lab,"Alasia, Sanchia Ms.",Sanchia,Alasia,1995,1
Barking and Dagenham,Alibon,E09000002,E05000027,British National Party,BNP,"Bailey, Robert W. *",Robert,Bailey,1209,0
Barking and Dagenham,Alibon,E09000002,E05000027,British National Party,BNP,"Cardy, Gavin",Gavin,Cardy,1111,0
Barking and Dagenham,Alibon,E09000002,E05000027,British National Party,BNP,"De Santis, Guiseppe",Guiseppe,De Santis,977,0
Barking and Dagenham,Alibon,E09000002,E05000027,Conservative Party Candidate,Con,"Patten, Vivian",Vivian,Patten,687,0
Barking and Dagenham,Alibon,E09000002,E05000027,Liberal Democrat Focus Team,LD,"Ryder, Richard D.",Richard,Ryder,529,0
Barking and Dagenham,Becontree,E09000002,E05000028,The Labour Party Candidate,Lab,"Carpenter, Evelyn Ms. *",Evelyn,Carpenter,2444,1
Barking and Dagenham,Becontree,E09000002,E05000028,The Labour Party Candidate,Lab,"Douglas, Rob",Rob,Douglas,2387,1
Barking and Dagenham,Becontree,E09000002,E05000028,The Labour Party Candidate,Lab,"Ogungbose, James",James,Ogungbose,2171,1
Barking and Dagenham,Becontree,E09000002,E05000028,British National Party,BNP,"Matthews, Terence",Terence,Matthews,1038,0
Barking and Dagenham,Becontree,E09000002,E05000028,Conservative Party Candidate,Con,"King, Patrice",Patrice,King,759,0
Barking and Dagenham,Becontree,E09000002,E05000028,Conservative Party Candidate,Con,"Arawwawala, Roshan",Roshan,Arawwawala,614,0
Barking and Dagenham,Becontree,E09000002,E05000028,Liberal Democrat Focus Team,LD,"Watson, Chris Ms.",Chris,Watson,584,0
Barking and Dagenham,Becontree,E09000002,E05000028,Independent,Ind,"Agrawal, Alok *",Alok,Agrawal,375,0
Barking and Dagenham,Becontree,E09000002,E05000028,Independent,Ind,"Lowe, Corinne A. Ms.",Corinne,Lowe,268,0
Barking and Dagenham,Becontree,E09000002,E05000028,Independent,Ind,"Lowe, Rick",Rick,Lowe,252,0
Barking and Dagenham,Becontree,E09000002,E05000028,The Christian Party,Other,"Watson, Paula D. Ms.",Paula,Watson,192,0
Barking and Dagenham,Becontree,E09000002,E05000028,The Christian Party,Other,"Ralph, Robert",Robert,Ralph,191,0
Barking and Dagenham,Becontree,E09000002,E05000028,The Christian Party,Other,"Conway, Benjamin D.",Benjamin,Conway,179,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Labour Party Candidate,Lab,"Mckenzie, Milton",Milton,Mckenzie,1984,1
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Labour Party Candidate,Lab,"Wade, Jeff",Jeff,Wade,1818,1
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Labour Party Candidate,Lab,"Tarry, Sam",Sam,Tarry,1785,1
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Conservative Party Candidate,Con,"Justice, Terry *",Terry,Justice,1411,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Conservative Party Candidate,Con,"Justice, Maire Ms.",Maire,Justice,1306,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Conservative Party Candidate,Con,"Gough, Cathal",Cathal,Gough,1121,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,British National Party,BNP,"Woodward, George W.",George,Woodward,594,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Liberal Democrat Focus Team,LD,"Probert, Gina T. Ms.",Gina,Probert,481,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,UK Independence Party,Other,"Smith, Kerry J.D.L.",Kerry,Smith,369,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Green Party Candidate,Grn,"Rosaman, Debbie A. Ms.",Debbie,Rosaman,213,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Green Party Candidate,Grn,"Cooke, Angie Ms.",Angie,Cooke,201,0
Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Green Party Candidate,Grn,"Ridout, Mike",Mike,Ridout,159,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,The Labour Party Candidate,Lab,"Mccarthy, Mick *",Mick,Mccarthy,2295,1
Barking and Dagenham,Eastbrook,E09000002,E05000030,The Labour Party Candidate,Lab,"Burgon, Pamela J. Ms.",Pamela,Burgon,2026,1
Barking and Dagenham,Eastbrook,E09000002,E05000030,The Labour Party Candidate,Lab,"Ramsay, Tony",Tony,Ramsay,1854,1
Barking and Dagenham,Eastbrook,E09000002,E05000030,Conservative Party Candidate,Con,"Connelly, Neil S. *",Neil,Connelly,1232,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,Conservative Party Candidate,Con,"Connelly, Sue Ms.",Sue,Connelly,1201,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,Conservative Party Candidate,Con,"Sunley-Smith, Daniel J.",Daniel,Sunley-Smith,1066,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,British National Party,BNP,"Knight, Christine A.",Christine,Knight,903,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,British National Party,BNP,"Knight, Tony",Tony,Knight,900,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,British National Party,BNP,"Lillywhite, John D.",John,Lillywhite,794,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,Liberal Democrat Focus Team,LD,"Taiwo, Oluwole A.",Oluwole,Taiwo,392,0
Barking and Dagenham,Eastbrook,E09000002,E05000030,UK Independence Party,Other,"Chapman, Leslie R.",Leslie,Chapman,378,0
Barking and Dagenham,Eastbury,E09000002,E05000031,The Labour Party Candidate,Lab,"Alexander, Jeanne Ms.",Jeanne,Alexander,2104,1
Barking and Dagenham,Eastbury,E09000002,E05000031,The Labour Party Candidate,Lab,"Mcdermott, Jim *",Jim,Mcdermott,1958,1
Barking and Dagenham,Eastbury,E09000002,E05000031,The Labour Party Candidate,Lab,"Rai, Hardial S.",Hardial,Rai,1824,1
Barking and Dagenham,Eastbury,E09000002,E05000031,British National Party,BNP,"Marshall, Jeffrey C.",Jeffrey,Marshall,942,0
Barking and Dagenham,Eastbury,E09000002,E05000031,British National Party,BNP,"Wade, Trevor T.W.",Trevor,Wade,742,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Liberal Democrat Focus Team,LD,"Riaz, Mohammed",Mohammed,Riaz,684,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Liberal Democrat Focus Team,LD,"London, Terry",Terry,London,633,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Liberal Democrat Focus Team,LD,"De Cruz, David L.",David,De Cruz,567,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Conservative Party Candidate,Con,"Searle, Danny",Danny,Searle,457,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Conservative Party Candidate,Con,"Gul, Hasan",Hasan,Gul,432,0
Barking and Dagenham,Eastbury,E09000002,E05000031,UK Independence Party,Other,"Chapman, Ronald D.",Ronald,Chapman,430,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Conservative Party Candidate,Con,"Semitego, Richard",Richard,Semitego,357,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Independent,Ind,"Challis, Dianne Ms.",Dianne,Challis,134,0
Barking and Dagenham,Eastbury,E09000002,E05000031,Independent,Ind,"Munroe, Danny",Danny,Munroe,70,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,The Labour Party Candidate,Lab,"Ashraf, Saima",Saima,Ashraf,2725,1
Barking and Dagenham,Gascoigne,E09000002,E05000032,The Labour Party Candidate,Lab,"Aziz, Abdul",Abdul,Aziz,2668,1
Barking and Dagenham,Gascoigne,E09000002,E05000032,The Labour Party Candidate,Lab,"Twomey, Dominic",Dominic,Twomey,2576,1
Barking and Dagenham,Gascoigne,E09000002,E05000032,British National Party,BNP,"Fergie, John C.",John,Fergie,536,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Conservative Party Candidate,Con,"Baig, Sherry",Sherry,Baig,499,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Liberal Democrat Focus Team,LD,"Okoruwe, Chukwuma",Chukwuma,Okoruwe,456,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Independent,Ind,"Rush, Val Ms. *",Val,Rush,436,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Conservative Party Candidate,Con,"Sekisonge, Kizito G.",Kizito,Sekisonge,390,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Conservative Party Candidate,Con,"Ibelgauptas, Slava",Slava,Ibelgauptas,357,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Independent,Ind,"Mitchell, Maggie Ms.",Maggie,Mitchell,311,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,Independent,Ind,"Ward, Colin N.",Colin,Ward,219,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,The Christian Party,Other,"Ezebuenyi, Frank",Frank,Ezebuenyi,196,0
Barking and Dagenham,Gascoigne,E09000002,E05000032,The Christian Party,Other,"Oronsaye, Patrick",Patrick,Oronsaye,175,0
Barking and Dagenham,Goresbrook,E09000002,E05000033,The Labour Party Candidate,Lab,"Letchford, Graham",Graham,Letchford,2142,1
Barking and Dagenham,Goresbrook,E09000002,E05000033,The Labour Party Candidate,Lab,"Couling, Louise Ms.",Louise,Couling,1963,1
