councilName,wardName,DistrictGSS,WardGSS,partyFullName,party,candidateFullName,candidateFirstName,candidateLastName,numVotes,elected
barking and dagenham,abbey,E09000002,E05000026,Conservative and Unionist Party,Con,X,X_Oliver,X_Clinch,110,0
barking and dagenham,abbey,E09000002,E05000026,Green Party,Grn,X,X_Victoria,X_Murch,148,0
barking and dagenham,abbey,E09000002,E05000026,Green Party,Grn,X,X_Samina,X_Fawns,135,0
barking and dagenham,abbey,E09000002,E05000026,Labour Party,Lab,X,X_Sidney,X_Ho,470,1
barking and dagenham,abbey,E09000002,E05000026,Labour Party,Lab,X,X_Predrag,X_Craigie,503,1
barking and dagenham,alibon,E09000002,E05000027,Conservative and Unionist Party,Con,X,X_Adrien,X_Wright,415,0
barking and dagenham,alibon,E09000002,E05000027,Labour Party,Lab,X,X_Murad,X_Johal,932,1
barking and dagenham,alibon,E09000002,E05000027,Labour Party,Lab,X,X_Steve,X_Dalton,1060,1
barking and dagenham,barking riverside,E09000002,todo,Conservative and Unionist Party,Con,X,X_Gerry,X_Rethans,291,0
barking and dagenham,barking riverside,E09000002,todo,Conservative and Unionist Party,Con,X,X_Shaun,X_Dixon,381,0
barking and dagenham,barking riverside,E09000002,todo,Conservative and Unionist Party,Con,X,X_Frederick,X_Mhach,292,0
barking and dagenham,barking riverside,E09000002,todo,Labour Party,Lab,X,X_Michael,X_Thomas,893,1
barking and dagenham,barking riverside,E09000002,todo,Labour Party,Lab,X,X_RoseMary,X_Jirira,923,1
barking and dagenham,barking riverside,E09000002,todo,Labour Party,Lab,X,X_Simon,X_Astrand,890,1
barking and dagenham,barking riverside,E09000002,todo,Trade Unionist and Socialist Coalition,Other,X,X_Elizabeth,X_Riddle,233,0
barking and dagenham,beam,E09000002,todo,Conservative and Unionist Party,Con,X,X_Kola,X_Hargreaves,433,0
barking and dagenham,beam,E09000002,todo,Conservative and Unionist Party,Con,X,X_Tom,X_Lewer,417,0
barking and dagenham,beam,E09000002,todo,Conservative and Unionist Party,Con,X,X_Paul,X_Li,426,0
barking and dagenham,beam,E09000002,todo,Labour Party,Lab,X,X_Sudhakar,X_Nierzejewski,904,1
barking and dagenham,beam,E09000002,todo,Labour Party,Lab,X,X_Charlie,X_Noyce,854,1
barking and dagenham,beam,E09000002,todo,Labour Party,Lab,X,X_John,X_Pict,825,1
barking and dagenham,becontree,E09000002,E05000028,Conservative and Unionist Party,Con,X,X_Riaz,X_Bridges,334,0
barking and dagenham,becontree,E09000002,E05000028,Labour Party,Lab,X,X_Yury,X_Desai,1121,1
barking and dagenham,becontree,E09000002,E05000028,Labour Party,Lab,X,X_Guy,X_Iqbal,1002,1
barking and dagenham,chadwell heath,E09000002,E05000029,Conservative and Unionist Party,Con,X,X_Helena,X_Eagleton,672,0
barking and dagenham,chadwell heath,E09000002,E05000029,Labour Party,Lab,X,X_Wendy,X_Softic,1486,1
barking and dagenham,chadwell heath,E09000002,E05000029,Labour Party,Lab,X,X_Rahima,X_Kay,1723,1
barking and dagenham,chadwell heath,E09000002,E05000029,Labour Party,Lab,X,X_Farhad,X_Wilkin,1693,1
barking and dagenham,eastbrook rush green,E09000002,todo,Conservative and Unionist Party,Con,X,X_Suresh,X_Maddocks,525,0
barking and dagenham,eastbrook rush green,E09000002,todo,Conservative and Unionist Party,Con,X,X_Alexander,X_McGrath,591,0
barking and dagenham,eastbrook rush green,E09000002,todo,Independent,Ind,X,X_Kathryne,X_Graf,160,0
barking and dagenham,eastbrook rush green,E09000002,todo,Independent,Ind,X,X_Katie,X_Best,238,0
barking and dagenham,eastbrook rush green,E09000002,todo,Labour Party,Lab,X,X_Graham,X_Sterner,859,1
barking and dagenham,eastbrook rush green,E09000002,todo,Labour Party,Lab,X,X_Paul,X_Perlberg,816,1
barking and dagenham,eastbury,E09000002,E05000031,Conservative and Unionist Party,Con,X,X_Liam,X_Santos,469,0
barking and dagenham,eastbury,E09000002,E05000031,Conservative and Unionist Party,Con,X,X_Kay,X_Byers,500,0
barking and dagenham,eastbury,E09000002,E05000031,Conservative and Unionist Party,Con,X,X_Ann,X_Hayes,483,0
barking and dagenham,eastbury,E09000002,E05000031,Labour Party,Lab,X,X_Tom,X_Lumsden,1494,1
barking and dagenham,eastbury,E09000002,E05000031,Labour Party,Lab,X,X_Kamal,X_Weeks,1321,1
barking and dagenham,eastbury,E09000002,E05000031,Labour Party,Lab,X,X_Stephen,X_Anderson,1381,1
