M_acuminata,B_distachyon,S_bicolor,O_sativa,A_thaliana,P.dactylifera,shared
0,0,0,0,0,0,0
0,0,0,0,0,1,769
0,0,0,0,1,0,1187
0,0,0,0,1,1,105
0,0,0,1,0,0,1246
0,0,0,1,0,1,32
0,0,0,1,1,0,6
0,0,0,1,1,1,6
0,0,1,0,0,0,827
0,0,1,0,0,1,49
0,0,1,0,1,0,9
0,0,1,0,1,1,4
0,0,1,1,0,0,1151
0,0,1,1,0,1,42
0,0,1,1,1,0,40
0,0,1,1,1,1,21
0,1,0,0,0,0,387
0,1,0,0,0,1,25
0,1,0,0,1,0,10
0,1,0,0,1,1,3
0,1,0,1,0,0,547
0,1,0,1,0,1,12
0,1,0,1,1,0,18
0,1,0,1,1,1,5
0,1,1,0,0,0,402
0,1,1,0,0,1,23
0,1,1,0,1,0,14
0,1,1,0,1,1,11
0,1,1,1,0,0,2809
0,1,1,1,0,1,190
0,1,1,1,1,0,206
0,1,1,1,1,1,258
1,0,0,0,0,0,759
1,0,0,0,0,1,467
1,0,0,0,1,0,155
1,0,0,0,1,1,206
1,0,0,1,0,0,29
1,0,0,1,0,1,35
1,0,0,1,1,0,13
1,0,0,1,1,1,28
1,0,1,0,0,0,49
1,0,1,0,0,1,19
1,0,1,0,1,0,21
1,0,1,0,1,1,23
1,0,1,1,0,0,64
1,0,1,1,0,1,62
1,0,1,1,1,0,71
1,0,1,1,1,1,149
1,1,0,0,0,0,9
1,1,0,0,0,1,12
1,1,0,0,1,0,7
1,1,0,0,1,1,7
1,1,0,1,0,0,28
1,1,0,1,0,1,18
1,1,0,1,1,0,29
1,1,0,1,1,1,80
1,1,1,0,0,0,13
1,1,1,0,0,1,24
1,1,1,0,1,0,54
1,1,1,0,1,1,113
1,1,1,1,0,0,368
1,1,1,1,0,1,685
1,1,1,1,1,0,1458
1,1,1,1,1,1,7674
