Longitude	Latitude	RemainVotes	LeaveVotes	DataSource
-0.116	51.499	111584	30340	Original
-0.095	51.569	83398	22868	Original
-0.141	51.596	79991	25855	Original
-0.028	52.975	7430	22974	Original
-0.080	51.517	3312	1087	Original
-0.115	51.534	76420	25180	Original
-0.155	51.452	118463	39421	Original
-0.171	51.547	71295	23838	Original
-3.326	55.929	187796	64498	Original
-4.501	55.764	39345	13596	Original
0.157	52.209	42682	15117	Original
-0.170	52.667	13074	36423	Original
-0.081	51.473	94293	35209	Original
0.559	51.566	14154	37691	Original
0.249	51.499	22151	57765	Original
1.708	52.585	14284	35844	Original
-4.302	55.938	44534	17840	Original
-0.111	52.566	15055	37571	Original
-1.173	53.134	16417	39927	Original
-1.282	53.287	12242	29730	Original
0.184	53.264	23515	56613	Original
-1.206	51.763	49424	20913	Original
-0.223	51.502	56188	24054	Original
-0.038	53.557	23797	55185	Original
-0.033	51.437	86955	37518	Original
-1.211	53.028	20179	46720	Original
0.152	51.569	42201	96885	Original
-1.218	54.677	14029	32071	Original
0.999	51.857	25210	57447	Original
-2.139	53.039	36027	81563	Original
-0.239	51.485	75396	33410	Original
-0.176	51.535	53928	24268	Original
-1.177	53.588	46922	104260	Original
-1.922	52.742	16684	36894	Original
-0.193	51.500	37601	17138	Original
0.435	51.637	30748	67251	Original
-0.159	50.826	100648	46027	Original
-1.418	53.547	38951	83958	Original
0.106	51.759	13867	29602	Original
-1.214	53.355	44115	93272	Original
-1.917	52.616	43572	92007	Original
-0.822	53.391	20575	43392	Original
-3.880	56.067	33112	15787	Original
-0.356	53.757	36709	76646	Original
-2.126	52.470	56780	118446	Original
-1.665	52.637	13705	28424	Original
-0.055	51.532	73011	35224	Original
-3.040	53.875	21781	45146	Original
-1.534	52.538	12569	25385	Original
-1.975	52.480	49004	98250	Original
0.675	51.611	17510	34937	Original
-2.233	53.802	14462	28854	Original
-4.285	55.920	168335	84474	Original
0.530	52.663	28587	56493	Original
-1.304	53.723	58877	116165	Original
