code,label,cx,cy,pop,households,popDen,deprivation,deprivation4
E06000001,Hartlepool,448118,530661,30562554,40930,985.5,23668,85
E06000002,Middlesbrough,450380,516653,47638182,60262,2671.2,34855,128
E06000003,Redcar and Cleveland,463383,518023,45193416,61636,557.1,34446,106
E06000004,Stockton-on-Tees,443484,518785,65072614,83757,959.3,43260,132
E06000005,Darlington,429038,517147,35684117,48918,545.9,25142,76
E06000006,Halton,352162,383230,42525225,55951,1624.3,31766,103
E06000007,Warrington,362665,389223,69830739,90538,1168,43541,121
E06000008,Blackburn with Darwen,369254,421850,51217285,58767,1129.4,34580,188
E06000009,Blackpool,331921,436188,46681923,64789,4041.1,40020,302
E06000010,Kingston upon Hull,509765,430588,88380310,115472,3730.1,67916,301
E06000011,East Riding of Yorkshire,499908,442365,113273827,152066,142.4,74362,167
E06000012,North East Lincolnshire,523749,406881,51955746,69826,815,39125,135
E06000013,North Lincolnshire,493268,411782,56162094,73173,200.4,39442,89
E06000014,York,461737,451799,67133751,85459,745.8,39434,88
E06000015,Derby,435851,335169,86508174,105652,3349.5,57467,296
E06000016,Leicester,459135,304861,121996339,127387,5027.2,77991,639
E06000017,Rutland,491121,307844,13587550,16694,107.5,7019,8
E06000018,Nottingham,455451,340739,107120537,124745,4337.6,72864,366
E06000019,Herefordshire,349035,245285,61909909,82827,85.8,41884,149
E06000020,Telford and Wrekin,367109,314837,61408113,76510,639.1,41320,125
E06000021,Stoke-on-Trent,389018,346716,85522125,110399,2764.8,65032,263
E06000022,Bath and North East Somerset,367057,162001,64017386,79250,559.2,36380,114
E06000023,Bristol,346546,172919,156384922,191638,4308.1,95503,584
E06000024,North Somerset,344429,165882,71736637,94648,579.9,45893,190
E06000025,South Gloucestershire,367431,183263,96130013,118101,584.3,54400,145
E06000026,Plymouth,249389,56735,87613383,114558,3314.8,62457,282
E06000027,Torbay,291417,61223,46116244,62992,2215.6,36457,252
E06000030,Swindon,417817,185857,77260034,95862,1014.4,48611,178
E06000031,Peterborough,518343,302621,71388756,84533,628.1,46451,257
E06000032,Luton,508515,222915,74560729,78940,5196,46330,315
E06000033,Southend-on-Sea,589363,185610,59806735,78344,4335.6,42633,319
E06000034,Thurrock,564863,181237,58255007,66377,1074.2,36072,174
E06000035,Medway,578769,172759,92604201,111458,1444.2,59650,391
E06000036,Bracknell Forest,487739,168395,41242600,50248,1139.2,21921,79
E06000037,West Berkshire,448409,172535,53438957,66658,229.3,29337,85
E06000038,Reading,470639,173186,57671785,67683,4312.6,32999,195
E06000039,Slough,498180,179746,52462838,52423,4871.5,30240,168
E06000040,Windsor and Maidenhead,490435,177040,50806845,60932,781.1,25009,53
E06000041,Wokingham,477672,170613,58752169,69164,991.7,26646,60
E06000042,Milton Keynes,486881,243629,95015867,113102,930.1,55136,264
E06000043,Brighton and Hove,531606,106526,91722417,121402,3345.3,63279,563
E06000044,Portsmouth,465010,102752,68848662,86155,5149.8,45497,281
E06000045,Southampton,442376,113232,82389872,102291,4990.5,55890,412
E06000046,Isle of Wight,449779,86461,46492260,64775,370,36206,195
E06000047,County Durham,410446,533389,172802522,234761,234.5,130349,308
E06000049,Cheshire East,376729,364874,131993201,174856,341.9,79060,161
E06000050,Cheshire West and Chester,350919,367257,118216650,155156,388.2,74400,246
E06000051,Shropshire,350424,304422,107114248,139579,101.2,68707,143
E06000052,Cornwall,199168,59975,188770624,250535,160.9,135013,690
E06000053,Isles of Scilly,91546,11139,681198,942,125.9,464,0
E06000054,Wiltshire,403934,155301,168921216,215081,156.8,100195,225
E06000055,Bedford,504237,255656,61310468,74950,388.8,36246,232
E06000056,Central Bedfordshire,507413,235392,97397081,120755,411.2,54612,133
E06000057,Northumberland,395886,594161,106107015,146922,63.9,75641,191
E06000058,Bournemouth, Christchurch and Poole,408362,94131,2469.2,173842,2469.2,89876,590
E06000059,Dorset,376581,100771,125640318,169261,152.4,84786,291
E06000060,Buckinghamshire,482081,210241,183069811,220328,353.4,94396,242
E06000061,North Northamptonshire,493494,281667,119002775,148918,364.4,76179,248
E06000062,West Northamptonshire,465908,258722,140915306,172641,309.1,83158,280
E07000008,Cambridge,545770,257755,48218756,52472,3579.2,22825,82
E07000009,East Cambridgeshire,556466,274112,29049222,37203,134.8,17333,30
E07000010,Fenland,539807,298084,33913267,44083,187.5,25714,99
E07000011,Huntingdonshire,521228,276573,59855392,76880,199.6,35676,82
E07000012,South Cambridgeshire,542444,254795,53660396,66996,179.8,27863,36
E07000026,Allerdale,319765,535836,31827636,43973,77.4,22837,50
E07000027,Barrow-in-Furness,320831,470657,22310724,31259,865.3,16660,59
E07000028,Carlisle,348339,564335,36418275,50663,106,25897,66
E07000029,Copeland,310947,502927,22197853,30789,91.7,16305,47
E07000030,Eden,359952,524354,18116954,24613,25.5,11844,22
E07000031,South Lakeland,344716,488871,34572619,47657,68,21412,33
E07000032,Amber Valley,435845,348157,41773855,56277,475.6,28758,75
E07000033,Bolsover,448358,368917,26571687,35262,500.7,20196,46
E07000034,Chesterfield,440052,373318,34281339,48058,1568.4,26570,101
