Countries Code,geography,category,value
E92000001,Country,f0,282933
E92000001,Country,f1,295634
E92000001,Country,f2,301599
E92000001,Country,f3,306032
E92000001,Country,f4,315442
E92000001,Country,f5,321107
E92000001,Country,f6,317726
E92000001,Country,f7,321907
E92000001,Country,f8,334272
E92000001,Country,f9,339456
E92000001,Country,f10,337922
E92000001,Country,f11,335465
E92000001,Country,f12,334871
E92000001,Country,f13,332212
E92000001,Country,f14,323711
E92000001,Country,f15,313590
E92000001,Country,f16,315209
E92000001,Country,f17,311182
E92000001,Country,f18,308256
E92000001,Country,f19,319917
E92000001,Country,f20,319929
E92000001,Country,f21,330231
E92000001,Country,f22,342462
E92000001,Country,f23,350317
E92000001,Country,f24,358627
E92000001,Country,f25,359798
E92000001,Country,f26,370055
E92000001,Country,f27,379832
E92000001,Country,f28,388230
E92000001,Country,f29,399459
E92000001,Country,f30,410249
E92000001,Country,f31,407064
E92000001,Country,f32,409408
E92000001,Country,f33,413828
E92000001,Country,f34,403811
E92000001,Country,f35,400036
E92000001,Country,f36,395941
E92000001,Country,f37,388142
E92000001,Country,f38,385261
E92000001,Country,f39,384105
E92000001,Country,f40,393488
E92000001,Country,f41,385950
E92000001,Country,f42,363845
E92000001,Country,f43,341802
E92000001,Country,f44,341634
E92000001,Country,f45,346214
E92000001,Country,f46,354480
E92000001,Country,f47,359914
E92000001,Country,f48,374715
E92000001,Country,f49,390222
E92000001,Country,f50,399771
E92000001,Country,f51,390018
E92000001,Country,f52,399572
E92000001,Country,f53,397200
E92000001,Country,f54,398328
E92000001,Country,f55,399263
E92000001,Country,f56,398741
E92000001,Country,f57,389462
E92000001,Country,f58,380825
E92000001,Country,f59,368413
E92000001,Country,f60,354854
E92000001,Country,f61,337895
E92000001,Country,f62,332120
E92000001,Country,f63,321213
E92000001,Country,f64,307955
E92000001,Country,f65,294275
E92000001,Country,f66,288358
E92000001,Country,f67,288286
E92000001,Country,f68,279734
E92000001,Country,f69,274921
E92000001,Country,f70,275551
E92000001,Country,f71,282627
E92000001,Country,f72,286708
E92000001,Country,f73,311493
E92000001,Country,f74,308504
E92000001,Country,f75,233621
E92000001,Country,f76,245200
E92000001,Country,f77,224582
E92000001,Country,f78,209044
E92000001,Country,f79,179080
E92000001,Country,f80,168748
E92000001,Country,f81,171871
E92000001,Country,f82,163822
E92000001,Country,f83,152911
E92000001,Country,f84,141192
E92000001,Country,f85,128329
E92000001,Country,f86,115296
E92000001,Country,f87,102191
E92000001,Country,f88,92689
E92000001,Country,f89,82402
E92000001,Country,f90,339160
E92000001,Country,m0,296055
E92000001,Country,m1,310301
E92000001,Country,m2,317434
E92000001,Country,m3,320330
E92000001,Country,m4,331189
E92000001,Country,m5,337582
E92000001,Country,m6,332834
E92000001,Country,m7,336955
E92000001,Country,m8,351858
E92000001,Country,m9,355003
E92000001,Country,m10,356597
E92000001,Country,m11,352255
E92000001,Country,m12,350387
E92000001,Country,m13,350411
E92000001,Country,m14,339496
E92000001,Country,m15,330524
E92000001,Country,m16,334252
E92000001,Country,m17,330865
E92000001,Country,m18,324799
E92000001,Country,m19,330301
E92000001,Country,m20,329370
E92000001,Country,m21,338097
E92000001,Country,m22,345066
E92000001,Country,m23,347977
E92000001,Country,m24,352375
E92000001,Country,m25,352107
E92000001,Country,m26,357353
E92000001,Country,m27,363058
E92000001,Country,m28,368108
E92000001,Country,m29,377283
E92000001,Country,m30,387679
E92000001,Country,m31,381724
E92000001,Country,m32,381229
E92000001,Country,m33,385229
E92000001,Country,m34,372364
E92000001,Country,m35,376410
E92000001,Country,m36,371338
E92000001,Country,m37,365390
E92000001,Country,m38,363598
E92000001,Country,m39,365169
E92000001,Country,m40,372710
E92000001,Country,m41,368248
E92000001,Country,m42,350507
E92000001,Country,m43,330754
E92000001,Country,m44,331468
E92000001,Country,m45,336594
E92000001,Country,m46,345229
E92000001,Country,m47,350581
E92000001,Country,m48,365326
E92000001,Country,m49,379370
E92000001,Country,m50,385521
E92000001,Country,m51,378728
E92000001,Country,m52,386717
E92000001,Country,m53,384198
E92000001,Country,m54,387701
E92000001,Country,m55,384855
E92000001,Country,m56,385216
E92000001,Country,m57,375674
E92000001,Country,m58,367810
E92000001,Country,m59,356110
E92000001,Country,m60,346541
E92000001,Country,m61,328541
E92000001,Country,m62,320308
E92000001,Country,m63,311104
E92000001,Country,m64,295467
E92000001,Country,m65,281753
E92000001,Country,m66,272253
E92000001,Country,m67,271693
E92000001,Country,m68,260946
E92000001,Country,m69,255277
E92000001,Country,m70,254130
E92000001,Country,m71,256837
E92000001,Country,m72,261227
E92000001,Country,m73,281632
E92000001,Country,m74,277941
E92000001,Country,m75,207744
E92000001,Country,m76,216053
E92000001,Country,m77,195462
E92000001,Country,m78,178766
E92000001,Country,m79,149225
E92000001,Country,m80,137721
E92000001,Country,m81,137720
E92000001,Country,m82,128775
E92000001,Country,m83,117553
E92000001,Country,m84,105770
E92000001,Country,m85,92262
E92000001,Country,m86,80786
E92000001,Country,m87,68638
E92000001,Country,m88,59523
E92000001,Country,m89,50372
E92000001,Country,m90,160653
W92000004,Country,f0,13758
W92000004,Country,f1,14719
W92000004,Country,f2,15078
W92000004,Country,f3,15838
W92000004,Country,f4,16309
W92000004,Country,f5,16896
W92000004,Country,f6,16518
W92000004,Country,f7,16706
W92000004,Country,f8,17774
W92000004,Country,f9,18074
W92000004,Country,f10,17922
W92000004,Country,f11,18140
W92000004,Country,f12,17645
W92000004,Country,f13,18171
W92000004,Country,f14,17074
W92000004,Country,f15,16671
W92000004,Country,f16,16953
W92000004,Country,f17,16718
W92000004,Country,f18,16563
W92000004,Country,f19,18167
W92000004,Country,f20,17737
W92000004,Country,f21,18208
