code,geography,category,value
E92000001,Country,1,18286
E92000001,Country,2,217346
E92000001,Country,3,59085
E92000001,Country,4,43506
E92000001,Country,5,35307
E92000001,Country,6,23522
E92000001,Country,7,31750
E92000001,Country,8,33935
E92000001,Country,9,14523
E92000001,Country,10,221310
E92000001,Country,11,23350
E92000001,Country,12,14025
E92000001,Country,13,19184
E92000001,Country,14,19653
E92000001,Country,15,51911
E92000001,Country,16,120395
E92000001,Country,17,13085
E92000001,Country,18,4410
E92000001,Country,19,21163
W92000004,Country,1,486
W92000004,Country,2,12251
W92000004,Country,3,3473
W92000004,Country,4,2670
W92000004,Country,5,1923
W92000004,Country,6,1548
W92000004,Country,7,1997
W92000004,Country,8,1945
W92000004,Country,9,300
W92000004,Country,10,12245
W92000004,Country,11,1165
W92000004,Country,12,730
W92000004,Country,13,1045
W92000004,Country,14,1294
W92000004,Country,15,3328
W92000004,Country,16,7154
W92000004,Country,17,819
W92000004,Country,18,220
W92000004,Country,19,1352
E12000001,Region,1,208
E12000001,Region,2,11339
E12000001,Region,3,2968
E12000001,Region,4,2375
E12000001,Region,5,1952
E12000001,Region,6,1428
E12000001,Region,7,2072
E12000001,Region,8,1899
E12000001,Region,9,160
E12000001,Region,10,12652
E12000001,Region,11,1147
E12000001,Region,12,635
E12000001,Region,13,969
E12000001,Region,14,1255
E12000001,Region,15,3360
E12000001,Region,16,6615
E12000001,Region,17,202
E12000001,Region,18,98
E12000001,Region,19,853
E12000002,Region,1,1268
E12000002,Region,2,25699
E12000002,Region,3,6222
E12000002,Region,4,5312
E12000002,Region,5,4648
E12000002,Region,6,3633
E12000002,Region,7,5055
E12000002,Region,8,4683
E12000002,Region,9,775
E12000002,Region,10,30502
E12000002,Region,11,2335
E12000002,Region,12,1291
E12000002,Region,13,2325
E12000002,Region,14,2960
E12000002,Region,15,8187
E12000002,Region,16,16324
E12000002,Region,17,1843
E12000002,Region,18,819
E12000002,Region,19,2959
E12000003,Region,1,1003
E12000003,Region,2,24471
E12000003,Region,3,6886
E12000003,Region,4,4726
E12000003,Region,5,3541
E12000003,Region,6,2461
E12000003,Region,7,3210
E12000003,Region,8,3321
E12000003,Region,9,1031
E12000003,Region,10,24480
E12000003,Region,11,2616
E12000003,Region,12,1392
E12000003,Region,13,2017
