table,category,shortDesc,description
age,0,under1,under 1 year old
age,1,age1,age 1
age,2,age2,age 2
age,3,age3,age 3
age,4,age4,age 4
age,5,age5,age 5
age,6,age6,age 6
age,7,age7,age 7
age,8,age8,age 8
age,9,age9,age 9
age,10,age10,age 10
age,11,age11,age 11
age,12,age12,age 12
age,13,age13,age 13
age,14,age14,age 14
age,15,age15,age 15
age,16,age16,age 16
age,17,age17,age 17
age,18,age18,age 18
age,19,age19,age 19
age,20,age20,age 20
age,21,age21,age 21
age,22,age22,age 22
age,23,age23,age 23
age,24,age24,age 24
age,25,age25,age 25
age,26,age26,age 26
age,27,age27,age 27
age,28,age28,age 28
age,29,age29,age 29
age,30,age30,age 30
age,31,age31,age 31
age,32,age32,age 32
age,33,age33,age 33
age,34,age34,age 34
age,35,age35,age 35
age,36,age36,age 36
age,37,age37,age 37
age,38,age38,age 38
age,39,age39,age 39
age,40,age40,age 40
age,41,age41,age 41
age,42,age42,age 42
age,43,age43,age 43
age,44,age44,age 44
age,45,age45,age 45
age,46,age46,age 46
age,47,age47,age 47
age,48,age48,age 48
age,49,age49,age 49
age,50,age50,age 50
age,51,age51,age 51
age,52,age52,age 52
age,53,age53,age 53
age,54,age54,age 54
age,55,age55,age 55
age,56,age56,age 56
age,57,age57,age 57
age,58,age58,age 58
age,59,age59,age 59
age,60,age60,age 60
age,61,age61,age 61
age,62,age62,age 62
age,63,age63,age 63
age,64,age64,age 64
age,65,age65,age 65
age,66,age66,age 66
age,67,age67,age 67
age,68,age68,age 68
age,69,age69,age 69
age,70,age70,age 70
age,71,age71,age 71
age,72,age72,age 72
age,73,age73,age 73
age,74,age74,age 74
age,75,age75,age 75
age,76,age76,age 76
age,77,age77,age 77
age,78,age78,age 78
age,79,age79,age 79
age,80,age80,age 80
age,81,age81,age 81
age,82,age82,age 82
age,83,age83,age 83
age,84,age84,age 84
age,85,age85,age 85
age,86,age86,age 86
age,87,age87,age 87
age,88,age88,age 88
age,89,age89,age 89
age,90,age90,age 90
age,91,age91,age 91
age,92,age92,age 92
age,93,age93,age 93
age,94,age94,age 94
age,95,age95,age 95
age,96,age96,age 96
age,97,age97,age 97
age,98,age98,age 98
age,99,age99,age 99
age,100,over100,age 100 or over
ageSex,f0,f0,female under 1
ageSex,f1,f1,female age 1
ageSex,f2,f2,female age 2
ageSex,f3,f3,female age 3
ageSex,f4,f4,female age 4
ageSex,f5,f5,female age 5
ageSex,f6,f6,female age 6
ageSex,f7,f7,female age 7
ageSex,f8,f8,female age 8
ageSex,f9,f9,female age 9
ageSex,f10,f10,female age 10
ageSex,f11,f11,female age 11
ageSex,f12,f12,female age 12
ageSex,f13,f13,female age 13
ageSex,f14,f14,female age 14
ageSex,f15,f15,female age 15
ageSex,f16,f16,female age 16
ageSex,f17,f17,female age 17
ageSex,f18,f18,female age 18
ageSex,f19,f19,female age 19
ageSex,f20,f20,female age 20
ageSex,f21,f21,female age 21
ageSex,f22,f22,female age 22
ageSex,f23,f23,female age 23
ageSex,f24,f24,female age 24
ageSex,f25,f25,female age 25
ageSex,f26,f26,female age 26
ageSex,f27,f27,female age 27
ageSex,f28,f28,female age 28
ageSex,f29,f29,female age 29
ageSex,f30,f30,female age 30
ageSex,f31,f31,female age 31
ageSex,f32,f32,female age 32
ageSex,f33,f33,female age 33
ageSex,f34,f34,female age 34
ageSex,f35,f35,female age 35
ageSex,f36,f36,female age 36
ageSex,f37,f37,female age 37
ageSex,f38,f38,female age 38
ageSex,f39,f39,female age 39
ageSex,f40,f40,female age 40
ageSex,f41,f41,female age 41
ageSex,f42,f42,female age 42
ageSex,f43,f43,female age 43
ageSex,f44,f44,female age 44
ageSex,f45,f45,female age 45
ageSex,f46,f46,female age 46
ageSex,f47,f47,female age 47
ageSex,f48,f48,female age 48
ageSex,f49,f49,female age 49
ageSex,f50,f50,female age 50
ageSex,f51,f51,female age 51
ageSex,f52,f52,female age 52
ageSex,f53,f53,female age 53
ageSex,f54,f54,female age 54
ageSex,f55,f55,female age 55
ageSex,f56,f56,female age 56
ageSex,f57,f57,female age 57
ageSex,f58,f58,female age 58
ageSex,f59,f59,female age 59
ageSex,f60,f60,female age 60
ageSex,f61,f61,female age 61
ageSex,f62,f62,female age 62
ageSex,f63,f63,female age 63
ageSex,f64,f64,female age 64
ageSex,f65,f65,female age 65
ageSex,f66,f66,female age 66
ageSex,f67,f67,female age 67
ageSex,f68,f68,female age 68
ageSex,f69,f69,female age 69
ageSex,f70,f70,female age 70
ageSex,f71,f71,female age 71
ageSex,f72,f72,female age 72
ageSex,f73,f73,female age 73
ageSex,f74,f74,female age 74
ageSex,f75,f75,female age 75
ageSex,f76,f76,female age 76
ageSex,f77,f77,female age 77
ageSex,f78,f78,female age 78
ageSex,f79,f79,female age 79
ageSex,f80,f80,female age 80
ageSex,f81,f81,female age 81
ageSex,f82,f82,female age 82
ageSex,f83,f83,female age 83
ageSex,f84,f84,female age 84
ageSex,f85,f85,female age 85
ageSex,f86,f86,female age 86
ageSex,f87,f87,female age 87
ageSex,f88,f88,female age 88
ageSex,f89,f89,female age 89
ageSex,f90,f90,female age 90
ageSex,f91,f91,female age 91
ageSex,f92,f92,female age 92
ageSex,f93,f93,female age 93
ageSex,f94,f94,female age 94
ageSex,f95,f95,female age 95
ageSex,f96,f96,female age 96
ageSex,f97,f97,female age 97
ageSex,f98,f98,female age 98
ageSex,f99,f99,female age 99
ageSex,f100,f100,female 100 or over
ageSex,m0,m0,male under 1
ageSex,m1,m1,male age 1
ageSex,m2,m2,male age 2
ageSex,m3,m3,male age 3
ageSex,m4,m4,male age 4
ageSex,m5,m5,male age 5
ageSex,m6,m6,male age 6
ageSex,m7,m7,male age 7
ageSex,m8,m8,male age 8
ageSex,m9,m9,male age 9
ageSex,m10,m10,male age 10
ageSex,m11,m11,male age 11
ageSex,m12,m12,male age 12
ageSex,m13,m13,male age 13
ageSex,m14,m14,male age 14
ageSex,m15,m15,male age 15
ageSex,m16,m16,male age 16
ageSex,m17,m17,male age 17
ageSex,m18,m18,male age 18
ageSex,m19,m19,male age 19
ageSex,m20,m20,male age 20
ageSex,m21,m21,male age 21
ageSex,m22,m22,male age 22
ageSex,m23,m23,male age 23
ageSex,m24,m24,male age 24
ageSex,m25,m25,male age 25
ageSex,m26,m26,male age 26
ageSex,m27,m27,male age 27
ageSex,m28,m28,male age 28
ageSex,m29,m29,male age 29
ageSex,m30,m30,male age 30
ageSex,m31,m31,male age 31
ageSex,m32,m32,male age 32
ageSex,m33,m33,male age 33
ageSex,m34,m34,male age 34
ageSex,m35,m35,male age 35
ageSex,m36,m36,male age 36
ageSex,m37,m37,male age 37
ageSex,m38,m38,male age 38
ageSex,m39,m39,male age 39
ageSex,m40,m40,male age 40
ageSex,m41,m41,male age 41
ageSex,m42,m42,male age 42
ageSex,m43,m43,male age 43
ageSex,m44,m44,male age 44
ageSex,m45,m45,male age 45
ageSex,m46,m46,male age 46
ageSex,m47,m47,male age 47
ageSex,m48,m48,male age 48
ageSex,m49,m49,male age 49
ageSex,m50,m50,male age 50
ageSex,m51,m51,male age 51
ageSex,m52,m52,male age 52
ageSex,m53,m53,male age 53
ageSex,m54,m54,male age 54
