code,geography,category,value
E92000001,Country,household,55504302
E92000001,Country,communal,985746
W92000004,Country,household,3051549
W92000004,Country,communal,55945
E12000001,Region,household,2594828
E12000001,Region,communal,52185
E12000002,Region,household,7290560
E12000002,Region,communal,126837
E12000003,Region,household,5376740
E12000003,Region,communal,104034
E12000004,Region,household,4778018
E12000004,Region,communal,102036
E12000005,Region,household,5854512
E12000005,Region,communal,96245
E12000006,Region,household,6238659
E12000006,Region,communal,96415
E12000007,Region,household,8699834
E12000007,Region,communal,99894
E12000008,Region,household,9088552
E12000008,Region,communal,189513
E12000009,Region,household,5582599
E12000009,Region,communal,118587
W92000004,Region,household,3051549
W92000004,Region,communal,55945
E06000001,LA,household,91471
E06000001,LA,communal,867
E06000002,LA,household,141421
E06000002,LA,communal,2505
E06000003,LA,household,135300
E06000003,LA,communal,1231
E06000004,LA,household,193780
E06000004,LA,communal,2815
E06000005,LA,household,106818
E06000005,LA,communal,981
E06000006,LA,household,127597
E06000006,LA,communal,881
E06000007,LA,household,207852
E06000007,LA,communal,3122
E06000008,LA,household,153245
E06000008,LA,communal,1493
E06000009,LA,household,138016
E06000009,LA,communal,3020
E06000010,LA,household,262426
E06000010,LA,communal,4588
E06000011,LA,household,336040
E06000011,LA,communal,6175
E06000012,LA,household,155461
E06000012,LA,communal,1505
E06000013,LA,household,168002
E06000013,LA,communal,1678
E06000014,LA,household,191572
E06000014,LA,communal,11249
E06000015,LA,household,256961
E06000015,LA,communal,4403
E06000016,LA,household,355353
E06000016,LA,communal,13218
E06000017,LA,household,37439
E06000017,LA,communal,3610
E06000018,LA,household,301065
E06000018,LA,communal,22567
E06000019,LA,household,184651
E06000019,LA,communal,2383
E06000020,LA,household,183633
E06000020,LA,communal,1908
E06000021,LA,household,254839
E06000021,LA,communal,3527
E06000022,LA,household,185438
E06000022,LA,communal,7971
E06000023,LA,household,457848
E06000023,LA,communal,14617
E06000024,LA,household,214297
E06000024,LA,communal,2429
E06000025,LA,household,285030
E06000025,LA,communal,5394
E06000026,LA,household,257494
E06000026,LA,communal,7201
E06000027,LA,household,137286
E06000027,LA,communal,2038
E06000030,LA,household,232231
E06000030,LA,communal,1176
E06000031,LA,household,213464
E06000031,LA,communal,2207
E06000032,LA,household,222961
E06000032,LA,communal,2301
E06000033,LA,household,178647
E06000033,LA,communal,2039
E06000034,LA,household,175327
E06000034,LA,communal,674
E06000035,LA,household,276024
E06000035,LA,communal,3749
E06000036,LA,household,122106
E06000036,LA,communal,2501
E06000037,LA,household,158585
E06000037,LA,communal,2863
E06000038,LA,household,169163
E06000038,LA,communal,5061
E06000039,LA,household,157929
E06000039,LA,communal,571
E06000040,LA,household,149418
E06000040,LA,communal,4078
E06000041,LA,household,174677
E06000041,LA,communal,2826
E06000042,LA,household,284994
E06000042,LA,communal,2066
E06000043,LA,household,268598
E06000043,LA,communal,8505
E06000044,LA,household,201362
E06000044,LA,communal,6641
E06000045,LA,household,238765
E06000045,LA,communal,10157
E06000046,LA,household,137516
E06000046,LA,communal,2943
E06000047,LA,household,508762
E06000047,LA,communal,13306
E06000049,LA,household,394367
E06000049,LA,communal,4405
E06000050,LA,household,352087
E06000050,LA,communal,5063
E06000051,LA,household,316277
E06000051,LA,communal,7329
E06000052,LA,household,562448
E06000052,LA,communal,7857
E06000053,LA,household,2028
E06000053,LA,communal,25
E06000054,LA,household,498138
E06000054,LA,communal,12195
E06000055,LA,household,182866
E06000055,LA,communal,2359
E06000056,LA,household,291784
E06000056,LA,communal,2468
E06000057,LA,household,316102
E06000057,LA,communal,4465
E06000058,LA,household,389667
E06000058,LA,communal,10529
E06000059,LA,household,371738
E06000059,LA,communal,7841
E06000060,LA,household,545796
E06000060,LA,communal,7282
E06000061,LA,household,356096
E06000061,LA,communal,3429
E06000062,LA,household,419229
E06000062,LA,communal,6496
E07000008,LA,household,126382
E07000008,LA,communal,19292
E07000009,LA,household,87000
E07000009,LA,communal,762
E07000010,LA,household,101057
E07000010,LA,communal,1405
E07000011,LA,household,178376
E07000011,LA,communal,2456
E07000012,LA,household,160792
E07000012,LA,communal,1326
E07000026,LA,household,95173
E07000026,LA,communal,984
E07000027,LA,household,66877
E07000027,LA,communal,530
E07000028,LA,household,108840
E07000028,LA,communal,1184
E07000029,LA,household,66374
E07000029,LA,communal,702
E07000030,LA,household,54416
E07000030,LA,communal,319
E07000031,LA,household,101842
E07000031,LA,communal,2608
E07000032,LA,household,125196
E07000032,LA,communal,1010
E07000033,LA,household,79628
E07000033,LA,communal,644
E07000034,LA,household,102646
E07000034,LA,communal,923
E07000035,LA,household,70429
E07000035,LA,communal,1111
E07000036,LA,household,112129
E07000036,LA,communal,777
E07000037,LA,household,90274
E07000037,LA,communal,659
E07000038,LA,household,101291
E07000038,LA,communal,710
E07000039,LA,household,105881
E07000039,LA,communal,1324
E07000040,LA,household,148369
E07000040,LA,communal,2459
E07000041,LA,household,120940
E07000041,LA,communal,9769
E07000042,LA,household,82184
E07000042,LA,communal,668
E07000043,LA,household,97116
E07000043,LA,communal,1495
E07000044,LA,household,87717
E07000044,LA,communal,910
E07000045,LA,household,132699
E07000045,LA,communal,2104
E07000046,LA,household,67324
E07000046,LA,communal,790
E07000047,LA,household,55650
E07000047,LA,communal,1446
E07000061,LA,household,99669
E07000061,LA,communal,2017
E07000062,LA,household,89637
E07000062,LA,communal,1358
E07000063,LA,household,98403
E07000063,LA,communal,1502
E07000064,LA,household,91308
E07000064,LA,communal,1800
E07000065,LA,household,157822
E07000065,LA,communal,2330
E07000066,LA,household,186783
E07000066,LA,communal,788
E07000067,LA,household,154035
E07000067,LA,communal,1233
E07000068,LA,household,76421
E07000068,LA,communal,626
E07000069,LA,household,89153
