code,geography,category,value
E92000001,Country,-8,27101
E92000001,Country,1,959
E92000001,Country,2,5479
E92000001,Country,3,746
E92000001,Country,4,273
E92000001,Country,5,2767
E92000001,Country,6,7980
E92000001,Country,7,205
E92000001,Country,8,2763
E92000001,Country,9,148792
E92000001,Country,10,164895
E92000001,Country,11,2813
E92000001,Country,12,5174
E92000001,Country,13,666
E92000001,Country,14,2917
E92000001,Country,15,41117
E92000001,Country,16,61324
E92000001,Country,17,1374
E92000001,Country,18,348
E92000001,Country,19,452152
E92000001,Country,20,13900
E92000001,Country,21,13102
E92000001,Country,22,1363
E92000001,Country,23,1238
E92000001,Country,24,3530
E92000001,Country,25,22770
W92000004,Country,-8,1243
W92000004,Country,1,234
W92000004,Country,2,166
W92000004,Country,3,82
W92000004,Country,4,58
W92000004,Country,5,142
W92000004,Country,6,1484
W92000004,Country,7,42
W92000004,Country,8,442
W92000004,Country,9,8742
W92000004,Country,10,9250
W92000004,Country,11,474
W92000004,Country,12,474
W92000004,Country,13,5
W92000004,Country,14,93
W92000004,Country,15,979
W92000004,Country,16,4003
W92000004,Country,17,153
W92000004,Country,18,0
W92000004,Country,19,24409
W92000004,Country,20,1148
W92000004,Country,21,1032
W92000004,Country,22,64
W92000004,Country,23,47
W92000004,Country,24,139
W92000004,Country,25,1039
E12000001,Region,-8,1402
E12000001,Region,1,15
E12000001,Region,2,346
E12000001,Region,3,39
E12000001,Region,4,16
E12000001,Region,5,175
E12000001,Region,6,235
E12000001,Region,7,13
E12000001,Region,8,83
E12000001,Region,9,9189
E12000001,Region,10,9252
E12000001,Region,11,223
E12000001,Region,12,149
E12000001,Region,13,0
E12000001,Region,14,71
E12000001,Region,15,376
E12000001,Region,16,4171
E12000001,Region,17,75
E12000001,Region,18,0
E12000001,Region,19,24529
E12000001,Region,20,340
E12000001,Region,21,427
E12000001,Region,22,25
E12000001,Region,23,163
E12000001,Region,24,63
E12000001,Region,25,804
E12000002,Region,-8,3075
E12000002,Region,1,200
E12000002,Region,2,826
E12000002,Region,3,52
E12000002,Region,4,18
E12000002,Region,5,392
E12000002,Region,6,1407
E12000002,Region,7,52
E12000002,Region,8,108
E12000002,Region,9,22749
E12000002,Region,10,21299
E12000002,Region,11,575
E12000002,Region,12,869
E12000002,Region,13,63
E12000002,Region,14,601
E12000002,Region,15,907
E12000002,Region,16,8655
E12000002,Region,17,401
E12000002,Region,18,86
E12000002,Region,19,56735
E12000002,Region,20,2682
E12000002,Region,21,1856
E12000002,Region,22,27
E12000002,Region,23,79
E12000002,Region,24,255
E12000002,Region,25,2864
E12000003,Region,-8,2115
E12000003,Region,1,32
E12000003,Region,2,622
E12000003,Region,3,82
E12000003,Region,4,1
E12000003,Region,5,60
E12000003,Region,6,795
E12000003,Region,7,26
E12000003,Region,8,167
E12000003,Region,9,12809
E12000003,Region,10,19806
E12000003,Region,11,271
E12000003,Region,12,685
E12000003,Region,13,93
E12000003,Region,14,224
E12000003,Region,15,5264
E12000003,Region,16,7408
E12000003,Region,17,117
E12000003,Region,18,21
E12000003,Region,19,48372
E12000003,Region,20,1070
E12000003,Region,21,723
E12000003,Region,22,27
E12000003,Region,23,34
E12000003,Region,24,248
E12000003,Region,25,2965
E12000004,Region,-8,2133
E12000004,Region,1,197
E12000004,Region,2,526
E12000004,Region,3,80
E12000004,Region,4,26
E12000004,Region,5,152
E12000004,Region,6,921
E12000004,Region,7,4
E12000004,Region,8,193
E12000004,Region,9,12105
E12000004,Region,10,16890
E12000004,Region,11,240
E12000004,Region,12,651
E12000004,Region,13,47
E12000004,Region,14,144
E12000004,Region,15,3081
E12000004,Region,16,7541
E12000004,Region,17,98
E12000004,Region,18,0
E12000004,Region,19,52440
E12000004,Region,20,571
E12000004,Region,21,659
E12000004,Region,22,900
E12000004,Region,23,9
E12000004,Region,24,164
E12000004,Region,25,2263
E12000005,Region,-8,2431
E12000005,Region,1,35
E12000005,Region,2,656
E12000005,Region,3,28
E12000005,Region,4,109
E12000005,Region,5,197
E12000005,Region,6,599
E12000005,Region,7,0
E12000005,Region,8,532
E12000005,Region,9,16314
E12000005,Region,10,16636
E12000005,Region,11,376
E12000005,Region,12,668
E12000005,Region,13,4
E12000005,Region,14,357
E12000005,Region,15,2885
E12000005,Region,16,7718
E12000005,Region,17,171
E12000005,Region,18,15
E12000005,Region,19,40940
E12000005,Region,20,1415
E12000005,Region,21,1560
E12000005,Region,22,32
E12000005,Region,23,382
E12000005,Region,24,193
E12000005,Region,25,1992
E12000006,Region,-8,2965
E12000006,Region,1,131
E12000006,Region,2,444
E12000006,Region,3,102
E12000006,Region,4,13
E12000006,Region,5,270
E12000006,Region,6,1017
E12000006,Region,7,25
E12000006,Region,8,302
E12000006,Region,9,13413
E12000006,Region,10,20891
E12000006,Region,11,289
E12000006,Region,12,554
E12000006,Region,13,1
E12000006,Region,14,277
E12000006,Region,15,4695
E12000006,Region,16,7639
E12000006,Region,17,86
E12000006,Region,18,22
E12000006,Region,19,37014
E12000006,Region,20,1167
E12000006,Region,21,1497
E12000006,Region,22,47
E12000006,Region,23,143
E12000006,Region,24,311
E12000006,Region,25,3100
E12000007,Region,-8,6507
E12000007,Region,1,160
E12000007,Region,2,851
E12000007,Region,3,270
E12000007,Region,4,0
E12000007,Region,5,631
E12000007,Region,6,1222
E12000007,Region,7,74
E12000007,Region,8,794
E12000007,Region,9,14551
E12000007,Region,10,11410
E12000007,Region,11,169
E12000007,Region,12,516
E12000007,Region,13,317
E12000007,Region,14,470
E12000007,Region,15,1146
E12000007,Region,16,4021
E12000007,Region,17,162
E12000007,Region,18,94
E12000007,Region,19,46136
E12000007,Region,20,2201
E12000007,Region,21,3565
E12000007,Region,22,11
E12000007,Region,23,174
E12000007,Region,24,750
E12000007,Region,25,3696
E12000008,Region,-8,4225
E12000008,Region,1,93
E12000008,Region,2,930
E12000008,Region,3,75
E12000008,Region,4,80
E12000008,Region,5,752
E12000008,Region,6,1202
E12000008,Region,7,8
E12000008,Region,8,483
E12000008,Region,9,29960
E12000008,Region,10,27351
E12000008,Region,11,535
E12000008,Region,12,885
E12000008,Region,13,99
E12000008,Region,14,444
E12000008,Region,15,12969
E12000008,Region,16,9496
E12000008,Region,17,150
E12000008,Region,18,105
E12000008,Region,19,91754
E12000008,Region,20,1952
E12000008,Region,21,1603
E12000008,Region,22,77
E12000008,Region,23,140
E12000008,Region,24,1400
E12000008,Region,25,2746
E12000009,Region,-8,2248
E12000009,Region,1,95
E12000009,Region,2,278
E12000009,Region,3,17
E12000009,Region,4,10
E12000009,Region,5,139
E12000009,Region,6,582
E12000009,Region,7,1
E12000009,Region,8,99
E12000009,Region,9,17702
E12000009,Region,10,21360
E12000009,Region,11,135
E12000009,Region,12,197
E12000009,Region,13,42
E12000009,Region,14,330
E12000009,Region,15,9797
E12000009,Region,16,4675
E12000009,Region,17,111
E12000009,Region,18,5
E12000009,Region,19,54232
E12000009,Region,20,2502
E12000009,Region,21,1212
E12000009,Region,22,216
E12000009,Region,23,116
E12000009,Region,24,145
E12000009,Region,25,2340
W92000004,Region,-8,1243
W92000004,Region,1,234
W92000004,Region,2,166
W92000004,Region,3,82
W92000004,Region,4,58
W92000004,Region,5,142
W92000004,Region,6,1484
W92000004,Region,7,42
W92000004,Region,8,442
W92000004,Region,9,8742
W92000004,Region,10,9250
W92000004,Region,11,474
W92000004,Region,12,474
W92000004,Region,13,5
W92000004,Region,14,93
W92000004,Region,15,979
W92000004,Region,16,4003
W92000004,Region,17,153
W92000004,Region,18,0
W92000004,Region,19,24409
W92000004,Region,20,1148
W92000004,Region,21,1032
W92000004,Region,22,64
W92000004,Region,23,47
W92000004,Region,24,139
W92000004,Region,25,1039
E06000001,LA,-8,46
