code,geography,category,value
E92000001,Country,-8,0
E92000001,Country,1,45388724
E92000001,Country,2,190541
E92000001,Country,3,626443
E92000001,Country,4,478697
E92000001,Country,5,488
E92000001,Country,6,2612
E92000001,Country,7,314674
E92000001,Country,8,152697
E92000001,Country,9,252252
E92000001,Country,10,272019
E92000001,Country,11,152634
E92000001,Country,12,163848
E92000001,Country,13,270257
E92000001,Country,14,161596
E92000001,Country,15,718251
E92000001,Country,16,530320
E92000001,Country,17,550358
E92000001,Country,18,12567
E92000001,Country,19,124758
E92000001,Country,20,366307
E92000001,Country,21,165170
E92000001,Country,22,131753
E92000001,Country,23,266877
E92000001,Country,24,153124
E92000001,Country,25,133416
E92000001,Country,26,106912
E92000001,Country,27,211447
E92000001,Country,28,121346
E92000001,Country,29,263194
E92000001,Country,30,4960
E92000001,Country,31,106801
E92000001,Country,32,86229
E92000001,Country,33,202971
E92000001,Country,34,176072
E92000001,Country,35,117714
E92000001,Country,36,68166
E92000001,Country,37,84877
E92000001,Country,38,906962
E92000001,Country,39,616454
E92000001,Country,40,266290
E92000001,Country,41,141861
E92000001,Country,42,78466
E92000001,Country,43,149474
E92000001,Country,44,59674
E92000001,Country,45,39637
E92000001,Country,46,127739
E92000001,Country,47,12314
E92000001,Country,48,198656
E92000001,Country,49,66847
E92000001,Country,50,5787
E92000001,Country,51,22932
E92000001,Country,52,251256
E92000001,Country,53,141289
E92000001,Country,54,103235
E92000001,Country,55,109963
E92000001,Country,56,47842
E92000001,Country,57,46
E92000001,Country,58,12172
E92000001,Country,59,83
W92000004,Country,-8,0
W92000004,Country,1,659084
W92000004,Country,2,7803
W92000004,Country,3,21975
W92000004,Country,4,2202820
W92000004,Country,5,95
W92000004,Country,6,288
W92000004,Country,7,9998
W92000004,Country,8,2625
W92000004,Country,9,11114
W92000004,Country,10,4650
W92000004,Country,11,3664
W92000004,Country,12,3068
W92000004,Country,13,6469
W92000004,Country,14,2562
W92000004,Country,15,24832
W92000004,Country,16,8520
W92000004,Country,17,13710
W92000004,Country,18,260
W92000004,Country,19,2886
W92000004,Country,20,5784
W92000004,Country,21,5428
W92000004,Country,22,824
W92000004,Country,23,3891
W92000004,Country,24,2296
W92000004,Country,25,1528
W92000004,Country,26,2009
W92000004,Country,27,5733
W92000004,Country,28,2801
W92000004,Country,29,4137
W92000004,Country,30,113
W92000004,Country,31,2367
W92000004,Country,32,3164
W92000004,Country,33,8159
W92000004,Country,34,6304
W92000004,Country,35,3715
W92000004,Country,36,1226
W92000004,Country,37,816
W92000004,Country,38,13399
W92000004,Country,39,7103
W92000004,Country,40,6752
W92000004,Country,41,2435
W92000004,Country,42,1307
W92000004,Country,43,5542
W92000004,Country,44,1836
W92000004,Country,45,1287
W92000004,Country,46,3684
W92000004,Country,47,232
W92000004,Country,48,4625
W92000004,Country,49,2249
W92000004,Country,50,139
W92000004,Country,51,641
W92000004,Country,52,2969
W92000004,Country,53,865
W92000004,Country,54,1143
W92000004,Country,55,3008
W92000004,Country,56,1307
W92000004,Country,57,1
W92000004,Country,58,257
W92000004,Country,59,0
E12000001,Region,-8,0
E12000001,Region,1,2406581
E12000001,Region,2,8986
E12000001,Region,3,43434
E12000001,Region,4,8788
E12000001,Region,5,10
E12000001,Region,6,69
E12000001,Region,7,4824
E12000001,Region,8,1722
E12000001,Region,9,9992
E12000001,Region,10,3755
E12000001,Region,11,1812
E12000001,Region,12,2554
E12000001,Region,13,5415
E12000001,Region,14,1942
E12000001,Region,15,12131
E12000001,Region,16,7596
E12000001,Region,17,9707
E12000001,Region,18,271
E12000001,Region,19,1703
E12000001,Region,20,5130
E12000001,Region,21,4526
E12000001,Region,22,791
E12000001,Region,23,6301
E12000001,Region,24,3083
E12000001,Region,25,936
E12000001,Region,26,302
E12000001,Region,27,4126
E12000001,Region,28,2556
E12000001,Region,29,3794
E12000001,Region,30,72
E12000001,Region,31,4659
E12000001,Region,32,3516
E12000001,Region,33,7874
E12000001,Region,34,6676
E12000001,Region,35,3343
E12000001,Region,36,1054
E12000001,Region,37,1472
E12000001,Region,38,13868
E12000001,Region,39,9971
E12000001,Region,40,6739
E12000001,Region,41,1568
E12000001,Region,42,340
E12000001,Region,43,4343
E12000001,Region,44,1680
E12000001,Region,45,1130
E12000001,Region,46,3199
E12000001,Region,47,255
E12000001,Region,48,3460
E12000001,Region,49,1691
E12000001,Region,50,116
E12000001,Region,51,888
E12000001,Region,52,2188
E12000001,Region,53,309
E12000001,Region,54,756
E12000001,Region,55,2008
E12000001,Region,56,763
E12000001,Region,57,0
E12000001,Region,58,228
E12000001,Region,59,1
E12000002,Region,-8,0
E12000002,Region,1,6358250
E12000002,Region,2,35228
E12000002,Region,3,89025
E12000002,Region,4,69106
E12000002,Region,5,41
E12000002,Region,6,343
E12000002,Region,7,38379
E12000002,Region,8,7394
E12000002,Region,9,22169
E12000002,Region,10,23305
E12000002,Region,11,10829
E12000002,Region,12,17237
E12000002,Region,13,20561
E12000002,Region,14,8949
E12000002,Region,15,76688
E12000002,Region,16,33918
E12000002,Region,17,45719
E12000002,Region,18,546
E12000002,Region,19,5959
E12000002,Region,20,21521
E12000002,Region,21,19994
E12000002,Region,22,6308
E12000002,Region,23,29092
E12000002,Region,24,16320
E12000002,Region,25,7259
E12000002,Region,26,7490
E12000002,Region,27,12981
E12000002,Region,28,9726
E12000002,Region,29,19454
E12000002,Region,30,426
E12000002,Region,31,14724
E12000002,Region,32,12364
E12000002,Region,33,28881
E12000002,Region,34,22792
E12000002,Region,35,12770
E12000002,Region,36,3699
E12000002,Region,37,5871
E12000002,Region,38,60180
E12000002,Region,39,125110
E12000002,Region,40,23876
E12000002,Region,41,6049
E12000002,Region,42,1704
E12000002,Region,43,9633
E12000002,Region,44,4412
E12000002,Region,45,2432
E12000002,Region,46,12897
E12000002,Region,47,597
E12000002,Region,48,10995
