code,geography,category,value
E92000001,Country,households,23436085
W92000004,Country,households,1347114
E12000001,Region,households,1175680
E12000002,Region,households,3153404
E12000003,Region,households,2330658
E12000004,Region,households,2037332
E12000005,Region,households,2429493
E12000006,Region,households,2628782
E12000007,Region,households,3423890
E12000008,Region,households,3807966
E12000009,Region,households,2448881
W92000004,Region,households,1347114
E06000001,LA,households,40930
E06000002,LA,households,60262
E06000003,LA,households,61636
E06000004,LA,households,83757
E06000005,LA,households,48918
E06000006,LA,households,55951
E06000007,LA,households,90538
E06000008,LA,households,58767
E06000009,LA,households,64789
E06000010,LA,households,115472
E06000011,LA,households,152066
E06000012,LA,households,69826
E06000013,LA,households,73173
E06000014,LA,households,85459
E06000015,LA,households,105652
E06000016,LA,households,127387
E06000017,LA,households,16694
E06000018,LA,households,124745
E06000019,LA,households,82827
E06000020,LA,households,76510
E06000021,LA,households,110399
E06000022,LA,households,79250
E06000023,LA,households,191638
E06000024,LA,households,94648
E06000025,LA,households,118101
E06000026,LA,households,114558
E06000027,LA,households,62992
E06000030,LA,households,95862
E06000031,LA,households,84533
E06000032,LA,households,78940
E06000033,LA,households,78344
E06000034,LA,households,66377
E06000035,LA,households,111458
E06000036,LA,households,50248
E06000037,LA,households,66658
E06000038,LA,households,67683
E06000039,LA,households,52423
E06000040,LA,households,60932
E06000041,LA,households,69164
E06000042,LA,households,113102
E06000043,LA,households,121402
E06000044,LA,households,86155
E06000045,LA,households,102291
E06000046,LA,households,64775
E06000047,LA,households,234761
E06000049,LA,households,174856
E06000050,LA,households,155156
E06000051,LA,households,139579
E06000052,LA,households,250535
E06000053,LA,households,942
E06000054,LA,households,215081
E06000055,LA,households,74950
E06000056,LA,households,120755
E06000057,LA,households,146922
E06000058,LA,households,173842
E06000059,LA,households,169261
E06000060,LA,households,220328
E06000061,LA,households,148918
E06000062,LA,households,172641
E07000008,LA,households,52472
E07000009,LA,households,37203
E07000010,LA,households,44083
E07000011,LA,households,76880
E07000012,LA,households,66996
E07000026,LA,households,43973
E07000027,LA,households,31259
E07000028,LA,households,50663
E07000029,LA,households,30789
E07000030,LA,households,24613
E07000031,LA,households,47657
E07000032,LA,households,56277
E07000033,LA,households,35262
E07000034,LA,households,48058
E07000035,LA,households,32283
E07000036,LA,households,50334
E07000037,LA,households,40772
E07000038,LA,households,45987
E07000039,LA,households,45240
E07000040,LA,households,66788
E07000041,LA,households,52554
E07000042,LA,households,35633
E07000043,LA,households,43197
E07000044,LA,households,39335
E07000045,LA,households,59838
E07000046,LA,households,30457
E07000047,LA,households,24818
E07000061,LA,households,45610
E07000062,LA,households,40453
E07000063,LA,households,43688
E07000064,LA,households,42102
E07000065,LA,households,68266
E07000066,LA,households,76362
E07000067,LA,households,64986
E07000068,LA,households,32342
E07000069,LA,households,37389
E07000070,LA,households,75401
E07000071,LA,households,79710
E07000072,LA,households,54557
E07000073,LA,households,37857
E07000074,LA,households,27900
E07000075,LA,households,35557
E07000076,LA,households,67451
E07000077,LA,households,36958
E07000078,LA,households,52899
E07000079,LA,households,40597
E07000080,LA,households,37217
E07000081,LA,households,55407
E07000082,LA,households,52378
E07000083,LA,households,40931
E07000084,LA,households,76645
E07000085,LA,households,52718
E07000086,LA,households,56924
E07000087,LA,households,48639
E07000088,LA,households,35922
E07000089,LA,households,39964
E07000090,LA,households,53589
E07000091,LA,households,77566
E07000092,LA,households,39303
E07000093,LA,households,54708
E07000094,LA,households,51715
E07000095,LA,households,39849
E07000096,LA,households,63412
E07000098,LA,households,42682
E07000099,LA,households,56732
E07000102,LA,households,36858
E07000103,LA,households,39628
E07000105,LA,households,53583
E07000106,LA,households,63792
E07000107,LA,households,45696
E07000108,LA,households,50548
E07000109,LA,households,41724
E07000110,LA,households,71208
E07000111,LA,households,49013
E07000112,LA,households,48338
E07000113,LA,households,60495
E07000114,LA,households,62200
E07000115,LA,households,53573
E07000116,LA,households,48223
E07000117,LA,households,39872
E07000118,LA,households,50132
E07000119,LA,households,37606
E07000120,LA,households,34790
E07000121,LA,households,59978
E07000122,LA,households,38066
E07000123,LA,households,59607
E07000124,LA,households,26747
E07000125,LA,households,30561
E07000126,LA,households,48586
E07000127,LA,households,48533
E07000128,LA,households,50767
E07000129,LA,households,42575
E07000130,LA,households,73785
E07000131,LA,households,40413
E07000132,LA,households,49446
E07000133,LA,households,22599
E07000134,LA,households,44973
E07000135,LA,households,22617
E07000136,LA,households,29404
E07000137,LA,households,64754
E07000138,LA,households,42507
E07000139,LA,households,50989
E07000140,LA,households,40703
E07000141,LA,households,62850
E07000142,LA,households,42345
E07000143,LA,households,60359
E07000144,LA,households,57760
E07000145,LA,households,44544
E07000146,LA,households,67464
E07000147,LA,households,48374
E07000148,LA,households,64459
E07000149,LA,households,61381
E07000163,LA,households,26069
E07000164,LA,households,40802
E07000165,LA,households,71169
E07000166,LA,households,20944
E07000167,LA,households,24714
E07000168,LA,households,51123
E07000169,LA,households,39560
E07000170,LA,households,54508
E07000171,LA,households,51458
E07000172,LA,households,48361
E07000173,LA,households,51551
E07000174,LA,households,48030
E07000175,LA,households,53331
E07000176,LA,households,49883
E07000177,LA,households,65894
E07000178,LA,households,55238
