code,geography,catgory,value
E92000001,Country,-8,10448846
E92000001,Country,1,19527902
E92000001,Country,2,150393
E92000001,Country,3,45382
E92000001,Country,4,6037611
E92000001,Country,5,300421
E92000001,Country,6,12033302
E92000001,Country,7,629736
E92000001,Country,8,841329
E92000001,Country,9,2976317
E92000001,Country,10,2513060
W92000004,Country,-8,547240
W92000004,Country,1,1076796
W92000004,Country,2,7818
W92000004,Country,3,1948
W92000004,Country,4,338026
W92000004,Country,5,17570
W92000004,Country,6,648604
W92000004,Country,7,22998
W92000004,Country,8,43597
W92000004,Country,9,182796
W92000004,Country,10,164156
E12000001,Region,-8,467671
E12000001,Region,1,902146
E12000001,Region,2,5938
E12000001,Region,3,1465
E12000001,Region,4,290995
E12000001,Region,5,13526
E12000001,Region,6,564024
E12000001,Region,7,17474
E12000001,Region,8,45733
E12000001,Region,9,149907
E12000001,Region,10,135949
E12000002,Region,-8,1389541
E12000002,Region,1,2456830
E12000002,Region,2,18046
E12000002,Region,3,4731
E12000002,Region,4,807709
E12000002,Region,5,40414
E12000002,Region,6,1639520
E12000002,Region,7,67678
E12000002,Region,8,113653
E12000002,Region,9,399961
E12000002,Region,10,352477
E12000003,Region,-8,1018391
E12000003,Region,1,1884238
E12000003,Region,2,12734
E12000003,Region,3,3360
E12000003,Region,4,633040
E12000003,Region,5,28409
E12000003,Region,6,1114607
E12000003,Region,7,48834
E12000003,Region,8,83703
E12000003,Region,9,292453
E12000003,Region,10,256971
E12000004,Region,-8,879746
E12000004,Region,1,1755891
E12000004,Region,2,11235
E12000004,Region,3,3348
E12000004,Region,4,564931
E12000004,Region,5,24021
E12000004,Region,6,942110
E12000004,Region,7,44279
E12000004,Region,8,70238
E12000004,Region,9,254547
E12000004,Region,10,227673
E12000005,Region,-8,1146512
E12000005,Region,1,2065933
E12000005,Region,2,11517
E12000005,Region,3,4409
E12000005,Region,4,604687
E12000005,Region,5,27621
E12000005,Region,6,1252753
E12000005,Region,7,66731
E12000005,Region,8,90738
E12000005,Region,9,301410
E12000005,Region,10,282200
E12000006,Region,-8,1184019
E12000006,Region,1,2332740
E12000006,Region,2,14230
E12000006,Region,3,5448
E12000006,Region,4,702341
E12000006,Region,5,28038
E12000006,Region,6,1198289
E12000006,Region,7,56403
E12000006,Region,8,90238
E12000006,Region,9,337676
E12000006,Region,10,289237
E12000007,Region,-8,1693611
E12000007,Region,1,2566091
E12000007,Region,2,32125
E12000007,Region,3,10461
E12000007,Region,4,797010
E12000007,Region,5,62493
E12000007,Region,6,2498920
E12000007,Region,7,199540
E12000007,Region,8,140609
E12000007,Region,9,420733
E12000007,Region,10,278239
E12000008,Region,-8,1710000
E12000008,Region,1,3442625
E12000008,Region,2,28154
E12000008,Region,3,7953
E12000008,Region,4,983711
E12000008,Region,5,46086
E12000008,Region,6,1750591
E12000008,Region,7,86880
E12000008,Region,8,127842
E12000008,Region,9,492161
E12000008,Region,10,412550
E12000009,Region,-8,959355
E12000009,Region,1,2121408
E12000009,Region,2,16414
E12000009,Region,3,4207
E12000009,Region,4,653187
E12000009,Region,5,29817
E12000009,Region,6,1072488
E12000009,Region,7,41917
E12000009,Region,8,78574
E12000009,Region,9,327469
E12000009,Region,10,277763
W92000004,Region,-8,547240
W92000004,Region,1,1076796
W92000004,Region,2,7818
W92000004,Region,3,1948
W92000004,Region,4,338026
W92000004,Region,5,17570
W92000004,Region,6,648604
W92000004,Region,7,22998
W92000004,Region,8,43597
W92000004,Region,9,182796
W92000004,Region,10,164156
E06000001,LA,-8,17638
E06000001,LA,1,30406
E06000001,LA,2,172
E06000001,LA,3,48
E06000001,LA,4,10736
E06000001,LA,5,440
E06000001,LA,6,19902
E06000001,LA,7,547
E06000001,LA,8,1615
E06000001,LA,9,5186
E06000001,LA,10,4781
E06000002,LA,-8,29973
E06000002,LA,1,42245
E06000002,LA,2,240
E06000002,LA,3,89
E06000002,LA,4,14490
E06000002,LA,5,764
E06000002,LA,6,35523
E06000002,LA,7,1641
E06000002,LA,8,2519
E06000002,LA,9,7363
E06000002,LA,10,6572
E06000003,LA,-8,24182
E06000003,LA,1,47990
E06000003,LA,2,236
E06000003,LA,3,79
E06000003,LA,4,15483
E06000003,LA,5,640
E06000003,LA,6,27505
E06000003,LA,7,690
E06000003,LA,8,2230
E06000003,LA,9,8348
E06000003,LA,10,7921
E06000004,LA,-8,38565
E06000004,LA,1,69095
E06000004,LA,2,413
E06000004,LA,3,133
E06000004,LA,4,21627
E06000004,LA,5,1024
E06000004,LA,6,38194
E06000004,LA,7,1567
E06000004,LA,8,3320
E06000004,LA,9,10538
E06000004,LA,10,9305
E06000005,LA,-8,19673
E06000005,LA,1,37503
E06000005,LA,2,252
E06000005,LA,3,73
E06000005,LA,4,12614
E06000005,LA,5,566
E06000005,LA,6,21311
E06000005,LA,7,707
E06000005,LA,8,1983
E06000005,LA,9,6779
E06000005,LA,10,5355
E06000006,LA,-8,24515
E06000006,LA,1,42417
E06000006,LA,2,271
E06000006,LA,3,84
E06000006,LA,4,15226
E06000006,LA,5,624
E06000006,LA,6,28206
E06000006,LA,7,675
E06000006,LA,8,2139
E06000006,LA,9,7215
E06000006,LA,10,6225
E06000007,LA,-8,38243
E06000007,LA,1,78232
E06000007,LA,2,438
E06000007,LA,3,122
E06000007,LA,4,23946
E06000007,LA,5,954
E06000007,LA,6,40159
E06000007,LA,7,1375
E06000007,LA,8,2830
E06000007,LA,9,11513
E06000007,LA,10,10040
E06000008,LA,-8,35132
E06000008,LA,1,50767
E06000008,LA,2,249
E06000008,LA,3,81
E06000008,LA,4,13610
E06000008,LA,5,508
E06000008,LA,6,34071
E06000008,LA,7,2312
E06000008,LA,8,2500
E06000008,LA,9,7697
E06000008,LA,10,6321
E06000009,LA,-8,24593
E06000009,LA,1,38791
E06000009,LA,2,780
E06000009,LA,3,95
E06000009,LA,4,17262
E06000009,LA,5,1242
E06000009,LA,6,33024
E06000009,LA,7,1047
E06000009,LA,8,2783
E06000009,LA,9,10753
E06000009,LA,10,7646
E06000010,LA,-8,53108
E06000010,LA,1,71898
E06000010,LA,2,576
E06000010,LA,3,173
E06000010,LA,4,38324
E06000010,LA,5,1894
E06000010,LA,6,63253
E06000010,LA,7,2210
E06000010,LA,8,4659
E06000010,LA,9,15449
E06000010,LA,10,10882
E06000011,LA,-8,54029
E06000011,LA,1,142965
E06000011,LA,2,763
E06000011,LA,3,197
E06000011,LA,4,38566
E06000011,LA,5,1495
E06000011,LA,6,52918
E06000011,LA,7,2032
E06000011,LA,8,4619
E06000011,LA,9,18716
E06000011,LA,10,19740
