code,geography,category,value
E92000001,Country,-8,1803957
E92000001,Country,1,49652172
E92000001,Country,2,7349
E92000001,Country,3,696
E92000001,Country,4,159
E92000001,Country,5,6
E92000001,Country,6,255
E92000001,Country,7,560
E92000001,Country,8,511
E92000001,Country,9,12
E92000001,Country,10,1855
E92000001,Country,11,32
E92000001,Country,12,118630
E92000001,Country,13,221076
E92000001,Country,14,211997
E92000001,Country,15,157643
E92000001,Country,16,45208
E92000001,Country,17,590983
E92000001,Country,18,48508
E92000001,Country,19,28752
E92000001,Country,20,465933
E92000001,Country,21,117876
E92000001,Country,22,37871
E92000001,Country,23,85204
E92000001,Country,24,108942
E92000001,Country,25,75261
E92000001,Country,26,18511
E92000001,Country,27,12263
E92000001,Country,28,5918
E92000001,Country,29,4659
E92000001,Country,30,2572
E92000001,Country,31,2293
E92000001,Country,32,1415
E92000001,Country,33,5703
E92000001,Country,34,51885
E92000001,Country,35,13991
E92000001,Country,36,351
E92000001,Country,37,7620
E92000001,Country,38,17798
E92000001,Country,39,149
E92000001,Country,40,5356
E92000001,Country,41,89910
E92000001,Country,42,110651
E92000001,Country,43,195483
E92000001,Country,44,6618
E92000001,Country,45,64593
E92000001,Country,46,86277
E92000001,Country,47,48163
E92000001,Country,48,9725
E92000001,Country,49,267610
E92000001,Country,50,50622
E92000001,Country,51,288659
E92000001,Country,52,22794
E92000001,Country,53,194822
E92000001,Country,54,188205
E92000001,Country,55,10865
E92000001,Country,56,30691
E92000001,Country,57,123728
E92000001,Country,58,62990
E92000001,Country,59,12716
E92000001,Country,60,73292
E92000001,Country,61,30556
E92000001,Country,62,29831
E92000001,Country,63,53984
E92000001,Country,64,113940
E92000001,Country,65,22205
E92000001,Country,66,11894
E92000001,Country,67,18099
E92000001,Country,68,22078
E92000001,Country,69,7762
E92000001,Country,70,59127
E92000001,Country,71,11774
E92000001,Country,72,1700
E92000001,Country,73,64
E92000001,Country,74,144
E92000001,Country,75,1624
E92000001,Country,76,10654
E92000001,Country,77,22324
E92000001,Country,78,61373
E92000001,Country,79,918
E92000001,Country,80,19702
E92000001,Country,81,9822
E92000001,Country,82,10972
E92000001,Country,83,10044
E92000001,Country,84,2135
E92000001,Country,85,5440
E92000001,Country,86,10607
E92000001,Country,87,7304
E92000001,Country,88,4383
E92000001,Country,89,11994
E92000001,Country,90,14480
E92000001,Country,91,20739
E92000001,Country,92,1376
E92000001,Country,93,3383
E92000001,Country,94,7266
W92000004,Country,-8,89322
W92000004,Country,1,2917644
W92000004,Country,2,0
W92000004,Country,3,40
W92000004,Country,4,10
W92000004,Country,5,4
W92000004,Country,6,8
W92000004,Country,7,7
W92000004,Country,8,28
W92000004,Country,9,1
W92000004,Country,10,51
W92000004,Country,11,5
W92000004,Country,12,1628
W92000004,Country,13,3644
W92000004,Country,14,3065
W92000004,Country,15,2367
W92000004,Country,16,1213
W92000004,Country,17,20862
W92000004,Country,18,1416
W92000004,Country,19,1277
W92000004,Country,20,6020
W92000004,Country,21,1780
W92000004,Country,22,488
W92000004,Country,23,2152
W92000004,Country,24,2489
W92000004,Country,25,1414
W92000004,Country,26,553
W92000004,Country,27,240
W92000004,Country,28,102
W92000004,Country,29,82
W92000004,Country,30,68
W92000004,Country,31,67
W92000004,Country,32,75
W92000004,Country,33,136
W92000004,Country,34,442
W92000004,Country,35,97
W92000004,Country,36,6
W92000004,Country,37,260
W92000004,Country,38,208
W92000004,Country,39,10
W92000004,Country,40,0
W92000004,Country,41,1345
W92000004,Country,42,2327
W92000004,Country,43,8515
W92000004,Country,44,54
W92000004,Country,45,1850
W92000004,Country,46,1436
W92000004,Country,47,542
W92000004,Country,48,144
W92000004,Country,49,2239
W92000004,Country,50,638
W92000004,Country,51,2086
W92000004,Country,52,3
W92000004,Country,53,4671
W92000004,Country,54,751
W92000004,Country,55,157
W92000004,Country,56,558
W92000004,Country,57,1635
W92000004,Country,58,2018
W92000004,Country,59,298
W92000004,Country,60,1076
W92000004,Country,61,459
W92000004,Country,62,989
W92000004,Country,63,1571
W92000004,Country,64,4331
W92000004,Country,65,343
W92000004,Country,66,225
W92000004,Country,67,421
W92000004,Country,68,888
W92000004,Country,69,252
W92000004,Country,70,1772
W92000004,Country,71,228
W92000004,Country,72,22
W92000004,Country,73,4
W92000004,Country,74,1
W92000004,Country,75,9
W92000004,Country,76,180
W92000004,Country,77,501
W92000004,Country,78,867
W92000004,Country,79,3
W92000004,Country,80,55
W92000004,Country,81,120
W92000004,Country,82,103
W92000004,Country,83,110
W92000004,Country,84,14
W92000004,Country,85,52
W92000004,Country,86,166
W92000004,Country,87,185
W92000004,Country,88,51
W92000004,Country,89,167
W92000004,Country,90,277
W92000004,Country,91,893
W92000004,Country,92,155
W92000004,Country,93,188
W92000004,Country,94,280
E12000001,Region,-8,77559
E12000001,Region,1,2478459
E12000001,Region,2,120
E12000001,Region,3,12
E12000001,Region,4,15
E12000001,Region,5,0
E12000001,Region,6,6
E12000001,Region,7,1
E12000001,Region,8,39
E12000001,Region,9,0
E12000001,Region,10,15
E12000001,Region,11,0
E12000001,Region,12,1508
E12000001,Region,13,2556
E12000001,Region,14,2876
E12000001,Region,15,2057
E12000001,Region,16,914
E12000001,Region,17,9660
E12000001,Region,18,1460
E12000001,Region,19,1931
E12000001,Region,20,6101
E12000001,Region,21,1221
E12000001,Region,22,452
E12000001,Region,23,786
E12000001,Region,24,939
E12000001,Region,25,1741
E12000001,Region,26,411
E12000001,Region,27,185
E12000001,Region,28,61
E12000001,Region,29,88
E12000001,Region,30,34
E12000001,Region,31,65
E12000001,Region,32,41
E12000001,Region,33,57
E12000001,Region,34,652
E12000001,Region,35,131
E12000001,Region,36,7
E12000001,Region,37,174
E12000001,Region,38,301
E12000001,Region,39,0
E12000001,Region,40,4
E12000001,Region,41,1368
E12000001,Region,42,1328
E12000001,Region,43,8209
E12000001,Region,44,38
E12000001,Region,45,3355
E12000001,Region,46,3240
E12000001,Region,47,609
E12000001,Region,48,209
E12000001,Region,49,3878
E12000001,Region,50,923
E12000001,Region,51,3866
E12000001,Region,52,307
E12000001,Region,53,5103
E12000001,Region,54,280
E12000001,Region,55,218
E12000001,Region,56,1421
E12000001,Region,57,1362
E12000001,Region,58,1704
E12000001,Region,59,222
E12000001,Region,60,261
E12000001,Region,61,468
E12000001,Region,62,1144
E12000001,Region,63,1781
E12000001,Region,64,4786
E12000001,Region,65,271
E12000001,Region,66,150
E12000001,Region,67,418
E12000001,Region,68,780
E12000001,Region,69,269
E12000001,Region,70,1608
E12000001,Region,71,178
E12000001,Region,72,24
E12000001,Region,73,0
E12000001,Region,74,0
E12000001,Region,75,17
E12000001,Region,76,323
E12000001,Region,77,872
E12000001,Region,78,127
E12000001,Region,79,12
E12000001,Region,80,61
E12000001,Region,81,194
E12000001,Region,82,268
E12000001,Region,83,148
E12000001,Region,84,19
E12000001,Region,85,116
E12000001,Region,86,283
E12000001,Region,87,120
E12000001,Region,88,132
E12000001,Region,89,173
E12000001,Region,90,404
E12000001,Region,91,1034
E12000001,Region,92,47
E12000001,Region,93,136
E12000001,Region,94,109
E12000002,Region,-8,239026
E12000002,Region,1,6697979
E12000002,Region,2,1899
E12000002,Region,3,121
E12000002,Region,4,29
E12000002,Region,5,2
E12000002,Region,6,29
E12000002,Region,7,2
E12000002,Region,8,107
E12000002,Region,9,1
E12000002,Region,10,126
E12000002,Region,11,4
E12000002,Region,12,6588
E12000002,Region,13,18814
E12000002,Region,14,15525
E12000002,Region,15,11524
E12000002,Region,16,2737
E12000002,Region,17,65277
E12000002,Region,18,4938
E12000002,Region,19,4350
E12000002,Region,20,28982
E12000002,Region,21,6169
E12000002,Region,22,3616
E12000002,Region,23,8623
E12000002,Region,24,7732
E12000002,Region,25,5262
E12000002,Region,26,1381
E12000002,Region,27,617
E12000002,Region,28,341
E12000002,Region,29,289
E12000002,Region,30,237
E12000002,Region,31,143
E12000002,Region,32,121
E12000002,Region,33,378
E12000002,Region,34,1987
E12000002,Region,35,808
E12000002,Region,36,39
E12000002,Region,37,656
E12000002,Region,38,830
E12000002,Region,39,17
E12000002,Region,40,1118
E12000002,Region,41,5031
E12000002,Region,42,4640
E12000002,Region,43,30741
E12000002,Region,44,686
E12000002,Region,45,10592
E12000002,Region,46,11028
E12000002,Region,47,5327
E12000002,Region,48,665
E12000002,Region,49,59429
E12000002,Region,50,3322
E12000002,Region,51,26471
E12000002,Region,52,2555
E12000002,Region,53,17813
E12000002,Region,54,16153
E12000002,Region,55,748
