code,cx,cy
E02000001,532290,181746
E02004372,582476,110964
E02006584,524353,135416
E02006411,504326,170345
E02003401,470327,172514
E02005040,561566,169068
E02000269,516974,179730
E02006466,500972,157040
E02004783,435300,112716
E02005174,577677,136203
E02000213,532373,166484
E02005154,560891,157178
E02000487,556006,185780
E02000065,547667,180941
E02000881,538153,181605
E02003507,536117,105566
E02000784,522364,177239
E02000932,525005,175064
E02004688,461861,151262
E02001835,412017,295315
E02000605,520707,168342
E02003935,233267,84384
E02007028,300890,95421
E02004281,367583,83373
E02006595,518468,129651
E02000712,525614,167188
E02000619,531175,178718
E02004258,377733,115641
E02006372,517164,147599
E02000747,539973,181178
E02004699,471378,139234
E02003156,289491,66168
E02004202,294496,87198
E02000654,536708,177838
E02000193,530244,181559
E02000005,548630,186875
E02004183,254819,132446
E02001897,408509,285409
E02000293,531846,195539
E02003032,363378,174829
E02005115,592584,174683
E02003151,252712,53221
E02003319,573705,169727
E02000680,534869,172390
E02000758,542871,190489
E02003955,181937,61189
E02006089,356187,116350
E02003082,332092,162019
E02005149,573236,161681
E02000643,530396,172803
E02000577,524350,182020
E02004226,257281,113784
E02003428,486626,179385
E02006071,328696,137247
E02004156,292015,92778
E02000202,531525,168329
E02004377,578837,109369
E02004155,294798,92980
E02006564,488322,121233
E02003451,481358,168988
E02000943,528469,173706
E02003596,458373,81950
E02006366,514744,156161
E02000301,535131,193752
E02000583,524381,180610
E02003343,580060,165271
E02004144,300682,82734
E02000140,546702,169246
E02000912,536776,188134
E02004795,432660,95800
E02004187,271120,125866
E02000828,534388,176919
E02006578,527583,137150
E02000439,519280,190926
E02000557,529269,186573
E02003170,292346,56073
E02007111,533415,182841
E02003321,572057,169100
E02000186,528977,183426
E02000375,523198,180235
E02004731,451061,106788
E02005173,558341,138257
E02006853,537498,179542
E02003174,408011,95493
E02004819,435926,144931
E02001911,401434,284182
W02000331,327767,195991
E02003430,496469,177656
E02004273,334381,93039
E02003124,247141,60273
E02003455,471867,166782
E02003533,464446,102546
E02003164,288835,62190
E02006358,498633,149764
E02003924,164231,40151
E02004147,300207,81161
E02003589,449422,89313
E02004390,549811,99653
E02000028,526196,195586
E02003172,407483,96473
E02006462,496661,158536
E02004157,292803,92044
E02000467,553705,191801
E02005158,557474,148135
E02003496,527250,107191
E02005072,578323,156039
E02004770,472488,108156
E02003504,530954,105838
E02006993,539885,179307
E02000471,551191,190599
E02004203,277339,84047
E02006420,488784,160747
E02004252,401601,99810
E02000138,537992,169508
E02006995,538107,185055
E02004777,471865,99155
E02000335,543084,175740
E02000849,528706,164841
E02004158,291119,91855
E02004791,443599,103194
E02000567,532699,184736
E02006553,492335,100960
E02006832,560517,165545
E02000077,547016,176404
E02003152,250472,53155
E02004284,367921,79459
E02003163,292696,63796
E02003934,212656,84505
E02003202,406508,92691
E02000212,531408,166567
E02003403,468839,172038
E02000685,534848,171731
E02006387,525754,148991
E02006573,480513,97256
E02006557,492643,99860
E02003030,362185,175123
E02000266,513888,180111
E02006437,539080,143482
E02000081,549989,175362
E02000174,529356,185008
E02006534,524209,106081
E02006445,497174,144524
E02000969,525406,181850
E02000733,539384,183589
E02000031,526496,194160
E02000272,516353,179357
E02003408,496121,181858
E02005080,578261,152789
E02003134,246157,57027
E02006889,360694,173264
E02006613,534002,123968
E02000634,529786,175099
E02003576,444407,111577
E02003442,477764,173642
E02000210,533841,166841
W02000317,316418,210273
E02006457,504026,160545
E02000011,550252,185066
E02005134,635407,170288
E02004690,462740,150188
E02006925,542370,189177
E02000499,511346,187770
E02001840,409089,293724
E02004130,316408,100596
E02001919,408694,283100
E02000983,529451,178079
E02004286,367139,77862
E02003895,225699,64767
E02005039,557080,171286
E02003026,356193,175824
W02000346,343373,187345
E02005043,637015,152683
E02000906,536716,189811
E02006103,327964,125656
E02003948,146768,31122
E02003536,464726,101334
E02000090,545927,172205
E02003918,166969,43381
E02000515,505792,181312
E02003331,579800,167127
E02006662,415999,144283
E02005175,576573,130590
E02000649,530030,171376
E02002992,372628,165445
E02006989,246993,54961
E02003514,530574,104994
E02006388,528062,148591
E02003130,244694,58143
E02003522,533411,103695
E02006328,507652,164801
E02000532,520822,177766
E02001902,413321,284671
E02000947,525269,173163
E02003085,332925,159946
E02000851,526016,164679
E02003389,472761,176439
E02004702,480297,135220
E02000184,529351,183864
E02000377,522225,179781
E02006651,389893,177731
E02003076,342865,165901
E02006396,503359,168365
E02000411,534572,189700
E02004220,244983,129445
E02004422,562635,104452
