code,geography,category,value
E92000001,Country,pop,56490045
W92000004,Country,pop,3107492
E12000001,Region,pop,2647015
E12000002,Region,pop,7417393
E12000003,Region,pop,5480774
E12000004,Region,pop,4880056
E12000005,Region,pop,5950764
E12000006,Region,pop,6335075
E12000007,Region,pop,8799723
E12000008,Region,pop,9278063
E12000009,Region,pop,5701190
W92000004,Region,pop,3107492
E06000001,LA,pop,92334
E06000002,LA,pop,143922
E06000003,LA,pop,136536
E06000004,LA,pop,196594
E06000005,LA,pop,107807
E06000006,LA,pop,128475
E06000007,LA,pop,210969
E06000008,LA,pop,154735
E06000009,LA,pop,141033
E06000010,LA,pop,267010
E06000011,LA,pop,342217
E06000012,LA,pop,156966
E06000013,LA,pop,169674
E06000014,LA,pop,202821
E06000015,LA,pop,261354
E06000016,LA,pop,368569
E06000017,LA,pop,41050
E06000018,LA,pop,323627
E06000019,LA,pop,187039
E06000020,LA,pop,185523
E06000021,LA,pop,258375
E06000022,LA,pop,193406
E06000023,LA,pop,472462
E06000024,LA,pop,216727
E06000025,LA,pop,290423
E06000026,LA,pop,264693
E06000027,LA,pop,139324
E06000030,LA,pop,233414
E06000031,LA,pop,215676
E06000032,LA,pop,225259
E06000033,LA,pop,180685
E06000034,LA,pop,175997
E06000035,LA,pop,279771
E06000036,LA,pop,124600
E06000037,LA,pop,161447
E06000038,LA,pop,174235
E06000039,LA,pop,158498
E06000040,LA,pop,153495
E06000041,LA,pop,177499
E06000042,LA,pop,287057
E06000043,LA,pop,277107
E06000044,LA,pop,208002
E06000045,LA,pop,248912
E06000046,LA,pop,140460
E06000047,LA,pop,522062
E06000049,LA,pop,398771
E06000050,LA,pop,357150
E06000051,LA,pop,323608
E06000052,LA,pop,570304
E06000053,LA,pop,2058
E06000054,LA,pop,510336
E06000055,LA,pop,185228
E06000056,LA,pop,294251
E06000057,LA,pop,320565
E06000058,LA,pop,400192
E06000059,LA,pop,379578
E06000060,LA,pop,553081
E06000061,LA,pop,359525
E06000062,LA,pop,425726
E07000008,LA,pop,145676
E07000009,LA,pop,87762
E07000010,LA,pop,102457
E07000011,LA,pop,180832
E07000012,LA,pop,162116
E07000026,LA,pop,96156
E07000027,LA,pop,67404
E07000028,LA,pop,110025
E07000029,LA,pop,67063
E07000030,LA,pop,54734
E07000031,LA,pop,104449
E07000032,LA,pop,126205
E07000033,LA,pop,80277
E07000034,LA,pop,103569
E07000035,LA,pop,71536
E07000036,LA,pop,112902
E07000037,LA,pop,90930
E07000038,LA,pop,102000
