code,geography,category,value
E92000001,Country,popDenisty,433.5
W92000004,Country,popDenisty,149.9
E12000001,Region,popDenisty,308.5
E12000002,Region,popDenisty,525.8
E12000003,Region,popDenisty,355.8
E12000004,Region,popDenisty,312.4
E12000005,Region,popDenisty,457.8
E12000006,Region,popDenisty,331.4
E12000007,Region,popDenisty,5597.6
E12000008,Region,popDenisty,486.5
E12000009,Region,popDenisty,239.2
W92000004,Region,popDenisty,149.9
E06000001,LA,popDenisty,985.5
E06000002,LA,popDenisty,2671.2
E06000003,LA,popDenisty,557.1
E06000004,LA,popDenisty,959.3
E06000005,LA,popDenisty,545.9
E06000006,LA,popDenisty,1624.3
E06000007,LA,popDenisty,1168
E06000008,LA,popDenisty,1129.4
E06000009,LA,popDenisty,4041.1
E06000010,LA,popDenisty,3730.1
E06000011,LA,popDenisty,142.4
E06000012,LA,popDenisty,815
E06000013,LA,popDenisty,200.4
E06000014,LA,popDenisty,745.8
E06000015,LA,popDenisty,3349.5
E06000016,LA,popDenisty,5027.2
E06000017,LA,popDenisty,107.5
E06000018,LA,popDenisty,4337.6
E06000019,LA,popDenisty,85.8
E06000020,LA,popDenisty,639.1
E06000021,LA,popDenisty,2764.8
E06000022,LA,popDenisty,559.2
E06000023,LA,popDenisty,4308.1
E06000024,LA,popDenisty,579.9
E06000025,LA,popDenisty,584.3
E06000026,LA,popDenisty,3314.8
E06000027,LA,popDenisty,2215.6
E06000030,LA,popDenisty,1014.4
E06000031,LA,popDenisty,628.1
E06000032,LA,popDenisty,5196
E06000033,LA,popDenisty,4335.6
E06000034,LA,popDenisty,1074.2
E06000035,LA,popDenisty,1444.2
E06000036,LA,popDenisty,1139.2
E06000037,LA,popDenisty,229.3
E06000038,LA,popDenisty,4312.6
E06000039,LA,popDenisty,4871.5
E06000040,LA,popDenisty,781.1
E06000041,LA,popDenisty,991.7
E06000042,LA,popDenisty,930.1
E06000043,LA,popDenisty,3345.3
E06000044,LA,popDenisty,5149.8
E06000045,LA,popDenisty,4990.5
E06000046,LA,popDenisty,370
E06000047,LA,popDenisty,234.5
E06000049,LA,popDenisty,341.9
E06000050,LA,popDenisty,388.2
