code,label,population,households,popDensity,cx,cy
E12000001,North East,2647015,1175680,308.5,406372,568880
E12000002,North West,7417393,3153404,525.8,352910,461468
E12000003,Yorkshire and The Humber,5480774,2330658,355.8,447779,454503
E12000004,East Midlands,4880056,2037332,312.4,479827,337141
E12000005,West Midlands,5950764,2429493,457.8,381410,286686
E12000006,East of England,6335075,2628782,331.4,573143,264244
E12000007,London,8799723,3423890,5597.6,530856,180105
E12000008,South East,9278063,3807966,486.5,502873,156210
E12000009,South West,5701190,2448881,239.2,319859,122650
W92000004,Wales,3107492,1347114,149.9,281678,267845
