code,geography,category,value
E92000001,Country,1,53463370
E92000001,Country,2,2311039
E92000001,Country,3,715639
W92000004,Country,1,2946338
W92000004,Country,2,140606
W92000004,Country,3,20550
E12000001,Region,1,2511181
E12000001,Region,2,115042
E12000001,Region,3,20787
E12000002,Region,1,7049943
E12000002,Region,2,297829
E12000002,Region,3,69625
E12000003,Region,1,5191937
E12000003,Region,2,242176
E12000003,Region,3,46661
E12000004,Region,1,4604933
E12000004,Region,2,232547
E12000004,Region,3,42576
E12000005,Region,1,5680335
E12000005,Region,2,220542
E12000005,Region,3,49879
E12000006,Region,1,6042521
E12000006,Region,2,223587
E12000006,Region,3,68966
E12000007,Region,1,8270870
E12000007,Region,2,300516
E12000007,Region,3,228342
E12000008,Region,1,8748552
E12000008,Region,2,399569
E12000008,Region,3,129944
E12000009,Region,1,5363097
E12000009,Region,2,279231
E12000009,Region,3,58858
W92000004,Region,1,2946338
W92000004,Region,2,140606
W92000004,Region,3,20550
E06000001,LA,1,89127
E06000001,LA,2,2741
E06000001,LA,3,470
E06000002,LA,1,137981
E06000002,LA,2,4861
E06000002,LA,3,1082
E06000003,LA,1,132100
E06000003,LA,2,3739
E06000003,LA,3,692
E06000004,LA,1,189083
E06000004,LA,2,6210
E06000004,LA,3,1302
E06000005,LA,1,103809
E06000005,LA,2,3320
E06000005,LA,3,669
E06000006,LA,1,124325
E06000006,LA,2,3558
E06000006,LA,3,595
E06000007,LA,1,201749
E06000007,LA,2,7363
E06000007,LA,3,1862
E06000008,LA,1,150035
E06000008,LA,2,3765
E06000008,LA,3,938
E06000009,LA,1,136239
E06000009,LA,2,3974
E06000009,LA,3,823
E06000010,LA,1,253880
E06000010,LA,2,11498
E06000010,LA,3,1639
E06000011,LA,1,327879
E06000011,LA,2,11733
E06000011,LA,3,2603
E06000012,LA,1,151405
E06000012,LA,2,4655
E06000012,LA,3,906
E06000013,LA,1,163394
E06000013,LA,2,5162
E06000013,LA,3,1124
E06000014,LA,1,178370
E06000014,LA,2,21273
E06000014,LA,3,3178
E06000015,LA,1,248285
E06000015,LA,2,11132
E06000015,LA,3,1947
E06000016,LA,1,342339
E06000016,LA,2,20973
E06000016,LA,3,5259
E06000017,LA,1,37371
E06000017,LA,2,3105
E06000017,LA,3,573
E06000018,LA,1,274756
E06000018,LA,2,43112
E06000018,LA,3,5764
E06000019,LA,1,179049
E06000019,LA,2,6315
E06000019,LA,3,1670
E06000020,LA,1,177171
E06000020,LA,2,7290
E06000020,LA,3,1080
E06000021,LA,1,247543
E06000021,LA,2,9599
E06000021,LA,3,1227
E06000022,LA,1,169741
E06000022,LA,2,19582
E06000022,LA,3,4086
E06000023,LA,1,427459
E06000023,LA,2,37503
E06000023,LA,3,7503
E06000024,LA,1,207420
E06000024,LA,2,7427
E06000024,LA,3,1880
E06000025,LA,1,275339
E06000025,LA,2,12530
