code,geography,category,value
E92000001,Country,Female,28833712
E92000001,Country,Male,27656336
W92000004,Country,Female,1586490
W92000004,Country,Male,1521004
E12000001,Region,Female,1353618
E12000001,Region,Male,1293395
E12000002,Region,Female,3777256
E12000002,Region,Male,3640141
E12000003,Region,Female,2791685
E12000003,Region,Male,2689092
E12000004,Region,Female,2477865
E12000004,Region,Male,2402189
E12000005,Region,Female,3023193
E12000005,Region,Male,2927564
E12000006,Region,Female,3228097
E12000006,Region,Male,3106977
E12000007,Region,Female,4531622
E12000007,Region,Male,4268106
E12000008,Region,Female,4738825
E12000008,Region,Male,4539240
E12000009,Region,Female,2911551
E12000009,Region,Male,2789635
W92000004,Region,Female,1586490
W92000004,Region,Male,1521004
E06000001,LA,Female,47653
E06000001,LA,Male,44685
E06000002,LA,Female,73040
E06000002,LA,Male,70884
E06000003,LA,Female,70446
E06000003,LA,Male,66085
E06000004,LA,Female,100072
E06000004,LA,Male,96523
E06000005,LA,Female,55129
E06000005,LA,Male,52670
E06000006,LA,Female,65547
E06000006,LA,Male,62931
E06000007,LA,Female,106529
E06000007,LA,Male,104445
E06000008,LA,Female,78043
E06000008,LA,Male,76696
E06000009,LA,Female,71410
E06000009,LA,Male,69626
E06000010,LA,Female,133781
E06000010,LA,Male,133233
E06000011,LA,Female,174368
E06000011,LA,Male,167847
E06000012,LA,Female,80154
E06000012,LA,Male,76812
E06000013,LA,Female,85970
E06000013,LA,Male,83710
E06000014,LA,Female,105298
E06000014,LA,Male,97523
E06000015,LA,Female,131854
E06000015,LA,Male,129510
E06000016,LA,Female,186460
E06000016,LA,Male,182112
E06000017,LA,Female,19977
E06000017,LA,Male,21072
E06000018,LA,Female,164628
E06000018,LA,Male,159004
E06000019,LA,Female,95180
E06000019,LA,Male,91854
E06000020,LA,Female,94206
E06000020,LA,Male,91335
E06000021,LA,Female,129893
E06000021,LA,Male,128476
E06000022,LA,Female,99019
E06000022,LA,Male,94390
E06000023,LA,Female,237942
E06000023,LA,Male,234523
E06000024,LA,Female,111422
E06000024,LA,Male,105306
E06000025,LA,Female,146655
E06000025,LA,Male,143769
E06000026,LA,Female,134784
E06000026,LA,Male,129911
E06000027,LA,Female,71493
E06000027,LA,Male,67831
E06000030,LA,Female,117347
E06000030,LA,Male,116063
E06000031,LA,Female,109067
E06000031,LA,Male,106606
E06000032,LA,Female,112438
E06000032,LA,Male,112824
E06000033,LA,Female,92773
E06000033,LA,Male,87913
E06000034,LA,Female,89787
E06000034,LA,Male,86213
E06000035,LA,Female,142646
E06000035,LA,Male,137127
E06000036,LA,Female,63163
E06000036,LA,Male,61444
E06000037,LA,Female,81746
E06000037,LA,Male,79701
E06000038,LA,Female,87382
E06000038,LA,Male,86842
E06000039,LA,Female,80005
E06000039,LA,Male,78495
E06000040,LA,Female,78080
E06000040,LA,Male,75416
E06000041,LA,Female,90281
E06000041,LA,Male,87221
E06000042,LA,Female,145486
E06000042,LA,Male,141574
E06000043,LA,Female,141540
E06000043,LA,Male,135563
E06000044,LA,Female,104840
E06000044,LA,Male,103163
E06000045,LA,Female,123953
E06000045,LA,Male,124969
E06000046,LA,Female,72370
E06000046,LA,Male,68089
E06000047,LA,Female,266764
E06000047,LA,Male,255304
E06000049,LA,Female,203195
E06000049,LA,Male,195577
E06000050,LA,Female,182842
E06000050,LA,Male,174308
E06000051,LA,Female,163923
E06000051,LA,Male,159683
E06000052,LA,Female,293685
E06000052,LA,Male,276620
E06000053,LA,Female,1050
E06000053,LA,Male,1004
E06000054,LA,Female,258626
E06000054,LA,Male,251704
E06000055,LA,Female,94101
E06000055,LA,Male,91124
E06000056,LA,Female,149123
E06000056,LA,Male,145129
E06000057,LA,Female,163989
E06000057,LA,Male,156578
E06000058,LA,Female,204826
E06000058,LA,Male,195370
E06000059,LA,Female,195166
E06000059,LA,Male,184413
E06000060,LA,Female,282683
E06000060,LA,Male,270395
E06000061,LA,Female,182452
E06000061,LA,Male,177070
E06000062,LA,Female,215060
E06000062,LA,Male,210665
E07000008,LA,Female,72693
E07000008,LA,Male,72981
E07000009,LA,Female,44712
E07000009,LA,Male,43050
E07000010,LA,Female,52265
E07000010,LA,Male,50197
E07000011,LA,Female,91149
E07000011,LA,Male,89684
E07000012,LA,Female,82562
E07000012,LA,Male,79557
E07000026,LA,Female,49062
E07000026,LA,Male,47093
E07000027,LA,Female,33976
E07000027,LA,Male,33431
E07000028,LA,Female,56145
E07000028,LA,Male,53879
E07000029,LA,Female,33629
E07000029,LA,Male,33447
E07000030,LA,Female,27594
E07000030,LA,Male,27141
E07000031,LA,Female,53299
E07000031,LA,Male,51151
E07000032,LA,Female,64233
E07000032,LA,Male,61973
E07000033,LA,Female,40693
E07000033,LA,Male,39580
E07000034,LA,Female,52681
E07000034,LA,Male,50888
E07000035,LA,Female,36601
E07000035,LA,Male,34939
E07000036,LA,Female,57461
E07000036,LA,Male,55445
E07000037,LA,Female,46252
E07000037,LA,Male,44680
E07000038,LA,Female,52267
E07000038,LA,Male,49734
E07000039,LA,Female,54665
E07000039,LA,Male,52543
E07000040,LA,Female,78206
E07000040,LA,Male,72622
E07000041,LA,Female,67044
E07000041,LA,Male,63665
E07000042,LA,Female,42389
E07000042,LA,Male,40463
E07000043,LA,Female,50593
E07000043,LA,Male,48018
E07000044,LA,Female,45970
E07000044,LA,Male,42657
E07000045,LA,Female,69469
E07000045,LA,Male,65334
E07000046,LA,Female,34769
E07000046,LA,Male,33345
E07000047,LA,Female,29160
E07000047,LA,Male,27936
E07000061,LA,Female,53157
E07000061,LA,Male,48532
E07000062,LA,Female,46850
E07000062,LA,Male,44146
E07000063,LA,Female,51794
E07000063,LA,Male,48111
E07000064,LA,Female,48889
E07000064,LA,Male,44221
E07000065,LA,Female,83014
E07000065,LA,Male,77137
E07000066,LA,Female,96504
E07000066,LA,Male,91067
E07000067,LA,Female,79145
E07000067,LA,Male,76123
E07000068,LA,Female,39587
E07000068,LA,Male,37460
E07000069,LA,Female,46225
E07000069,LA,Male,43362
E07000070,LA,Female,92489
E07000070,LA,Male,89034
E07000071,LA,Female,98448
E07000071,LA,Male,94267
E07000072,LA,Female,69389
E07000072,LA,Male,65591
E07000073,LA,Female,47920
E07000073,LA,Male,45408
