code,geography,category,value
E92000001,Country,-8,0
E92000001,Country,1,41114478
E92000001,Country,2,709704
E92000001,Country,3,591690
E92000001,Country,4,107852
E92000001,Country,5,26614
E92000001,Country,6,13928
E92000001,Country,7,9963
E92000001,Country,8,3432728
W92000004,Country,-8,0
W92000004,Country,1,2288630
W92000004,Country,2,38101
W92000004,Country,3,31814
W92000004,Country,4,4534
W92000004,Country,5,1558
W92000004,Country,6,583
W92000004,Country,7,273
W92000004,Country,8,193921
E12000001,Region,-8,0
E12000001,Region,1,1983445
E12000001,Region,2,34016
E12000001,Region,3,25954
E12000001,Region,4,3836
E12000001,Region,5,1271
E12000001,Region,6,436
E12000001,Region,7,308
E12000001,Region,8,129694
E12000002,Region,-8,0
E12000002,Region,1,5430293
E12000002,Region,2,101710
E12000002,Region,3,73334
E12000002,Region,4,12342
E12000002,Region,5,3147
E12000002,Region,6,1416
E12000002,Region,7,973
E12000002,Region,8,402420
E12000003,Region,-8,0
E12000003,Region,1,4002966
E12000003,Region,2,63793
E12000003,Region,3,58585
E12000003,Region,4,10034
E12000003,Region,5,2710
E12000003,Region,6,1222
E12000003,Region,7,810
E12000003,Region,8,320180
E12000004,Region,-8,0
E12000004,Region,1,3589098
E12000004,Region,2,51369
E12000004,Region,3,50084
E12000004,Region,4,8278
E12000004,Region,5,2302
E12000004,Region,6,708
E12000004,Region,7,709
E12000004,Region,8,295499
E12000005,Region,-8,0
E12000005,Region,1,4316682
E12000005,Region,2,58009
E12000005,Region,3,50983
E12000005,Region,4,9413
E12000005,Region,5,2393
E12000005,Region,6,823
E12000005,Region,7,910
E12000005,Region,8,362116
E12000006,Region,-8,0
E12000006,Region,1,4642794
E12000006,Region,2,62516
E12000006,Region,3,58885
E12000006,Region,4,10664
E12000006,Region,5,3060
E12000006,Region,6,1044
E12000006,Region,7,965
E12000006,Region,8,368358
E12000007,Region,-8,0
E12000007,Region,1,6123195
E12000007,Region,2,158760
E12000007,Region,3,108140
E12000007,Region,4,26384
E12000007,Region,5,3505
E12000007,Region,6,4526
E12000007,Region,7,3067
E12000007,Region,8,676408
E12000008,Region,-8,0
E12000008,Region,1,6787148
E12000008,Region,2,112033
E12000008,Region,3,97831
E12000008,Region,4,16555
E12000008,Region,5,4887
E12000008,Region,6,2313
E12000008,Region,7,1356
E12000008,Region,8,532457
E12000009,Region,-8,0
E12000009,Region,1,4238858
E12000009,Region,2,67500
E12000009,Region,3,67894
E12000009,Region,4,10348
E12000009,Region,5,3339
E12000009,Region,6,1439
E12000009,Region,7,865
E12000009,Region,8,345597
W92000004,Region,-8,0
W92000004,Region,1,2288630
W92000004,Region,2,38101
W92000004,Region,3,31814
W92000004,Region,4,4534
W92000004,Region,5,1558
W92000004,Region,6,583
W92000004,Region,7,273
W92000004,Region,8,193921
E06000001,LA,-8,0
E06000001,LA,1,68070
E06000001,LA,2,1121
E06000001,LA,3,784
E06000001,LA,4,118
E06000001,LA,5,28
E06000001,LA,6,7
E06000001,LA,7,3
E06000001,LA,8,4554
E06000002,LA,-8,0
E06000002,LA,1,102027
E06000002,LA,2,1787
E06000002,LA,3,1385
E06000002,LA,4,314
E06000002,LA,5,80
E06000002,LA,6,18
E06000002,LA,7,29
E06000002,LA,8,8298
E06000003,LA,-8,0
E06000003,LA,1,102561
E06000003,LA,2,1492
E06000003,LA,3,995
E06000003,LA,4,167
E06000003,LA,5,63
E06000003,LA,6,10
E06000003,LA,7,8
E06000003,LA,8,7046
E06000004,LA,-8,0
E06000004,LA,1,144661
E06000004,LA,2,2283
E06000004,LA,3,1471
E06000004,LA,4,246
E06000004,LA,5,52
E06000004,LA,6,15
E06000004,LA,7,14
E06000004,LA,8,9268
E06000005,LA,-8,0
E06000005,LA,1,80549
E06000005,LA,2,1333
E06000005,LA,3,990
E06000005,LA,4,163
E06000005,LA,5,47
E06000005,LA,6,7
E06000005,LA,7,7
E06000005,LA,8,5010
E06000006,LA,-8,0
E06000006,LA,1,95532
E06000006,LA,2,1555
E06000006,LA,3,976
E06000006,LA,4,162
E06000006,LA,5,32
E06000006,LA,6,4
E06000006,LA,7,7
E06000006,LA,8,5676
E06000007,LA,-8,0
E06000007,LA,1,158539
E06000007,LA,2,2254
E06000007,LA,3,1704
E06000007,LA,4,267
E06000007,LA,5,72
E06000007,LA,6,22
E06000007,LA,7,30
E06000007,LA,8,9832
E06000008,LA,-8,0
E06000008,LA,1,107093
E06000008,LA,2,1221
E06000008,LA,3,981
E06000008,LA,4,244
E06000008,LA,5,50
E06000008,LA,6,4
E06000008,LA,7,23
E06000008,LA,8,9892
E06000009,LA,-8,0
E06000009,LA,1,102898
E06000009,LA,2,3794
E06000009,LA,3,1572
E06000009,LA,4,237
E06000009,LA,5,67
E06000009,LA,6,8
E06000009,LA,7,14
E06000009,LA,8,7749
E06000010,LA,-8,0
E06000010,LA,1,188281
E06000010,LA,2,3655
E06000010,LA,3,3522
E06000010,LA,4,605
E06000010,LA,5,179
E06000010,LA,6,48
E06000010,LA,7,49
E06000010,LA,8,17539
E06000011,LA,-8,0
E06000011,LA,1,262847
E06000011,LA,2,2995
E06000011,LA,3,2325
