code,geography,category,value
E92000001,Country,-8,0
E92000001,Country,1,41114478
E92000001,Country,2,709704
E92000001,Country,3,591690
E92000001,Country,4,158357
E92000001,Country,5,3432728
W92000004,Country,-8,0
W92000004,Country,1,2288630
W92000004,Country,2,38101
W92000004,Country,3,31814
W92000004,Country,4,6948
W92000004,Country,5,193921
E12000001,Region,-8,0
E12000001,Region,1,1983445
E12000001,Region,2,34016
E12000001,Region,3,25954
E12000001,Region,4,5851
E12000001,Region,5,129694
E12000002,Region,-8,0
E12000002,Region,1,5430293
E12000002,Region,2,101710
E12000002,Region,3,73334
E12000002,Region,4,17878
E12000002,Region,5,402420
E12000003,Region,-8,0
E12000003,Region,1,4002966
E12000003,Region,2,63793
E12000003,Region,3,58585
E12000003,Region,4,14776
E12000003,Region,5,320180
E12000004,Region,-8,0
E12000004,Region,1,3589098
E12000004,Region,2,51369
E12000004,Region,3,50084
E12000004,Region,4,12000
E12000004,Region,5,295499
E12000005,Region,-8,0
E12000005,Region,1,4316682
E12000005,Region,2,58009
E12000005,Region,3,50983
E12000005,Region,4,13539
E12000005,Region,5,362116
E12000006,Region,-8,0
E12000006,Region,1,4642794
E12000006,Region,2,62516
E12000006,Region,3,58885
E12000006,Region,4,15731
E12000006,Region,5,368358
E12000007,Region,-8,0
E12000007,Region,1,6123195
E12000007,Region,2,158760
E12000007,Region,3,108140
E12000007,Region,4,37482
E12000007,Region,5,676408
E12000008,Region,-8,0
E12000008,Region,1,6787148
E12000008,Region,2,112033
E12000008,Region,3,97831
E12000008,Region,4,25112
E12000008,Region,5,532457
E12000009,Region,-8,0
E12000009,Region,1,4238858
E12000009,Region,2,67500
E12000009,Region,3,67894
E12000009,Region,4,15991
E12000009,Region,5,345597
W92000004,Region,-8,0
W92000004,Region,1,2288630
W92000004,Region,2,38101
W92000004,Region,3,31814
W92000004,Region,4,6948
W92000004,Region,5,193921
E06000001,LA,-8,0
E06000001,LA,1,68070
E06000001,LA,2,1121
E06000001,LA,3,784
E06000001,LA,4,157
E06000001,LA,5,4554
E06000002,LA,-8,0
E06000002,LA,1,102027
E06000002,LA,2,1787
E06000002,LA,3,1385
E06000002,LA,4,441
E06000002,LA,5,8298
E06000003,LA,-8,0
E06000003,LA,1,102561
E06000003,LA,2,1492
E06000003,LA,3,995
E06000003,LA,4,248
E06000003,LA,5,7046
E06000004,LA,-8,0
E06000004,LA,1,144661
E06000004,LA,2,2283
E06000004,LA,3,1471
E06000004,LA,4,327
E06000004,LA,5,9268
E06000005,LA,-8,0
E06000005,LA,1,80549
E06000005,LA,2,1333
E06000005,LA,3,990
E06000005,LA,4,224
E06000005,LA,5,5010
E06000006,LA,-8,0
E06000006,LA,1,95532
E06000006,LA,2,1555
E06000006,LA,3,976
E06000006,LA,4,207
E06000006,LA,5,5676
E06000007,LA,-8,0
E06000007,LA,1,158539
E06000007,LA,2,2254
E06000007,LA,3,1704
E06000007,LA,4,390
E06000007,LA,5,9832
E06000008,LA,-8,0
E06000008,LA,1,107093
E06000008,LA,2,1221
E06000008,LA,3,981
E06000008,LA,4,321
E06000008,LA,5,9892
E06000009,LA,-8,0
E06000009,LA,1,102898
E06000009,LA,2,3794
E06000009,LA,3,1572
E06000009,LA,4,326
E06000009,LA,5,7749
E06000010,LA,-8,0
E06000010,LA,1,188281
E06000010,LA,2,3655
E06000010,LA,3,3522
E06000010,LA,4,880
E06000010,LA,5,17539
E06000011,LA,-8,0
E06000011,LA,1,262847
E06000011,LA,2,2995
E06000011,LA,3,2325
E06000011,LA,4,459
E06000011,LA,5,19514
E06000012,LA,-8,0
E06000012,LA,1,115780
E06000012,LA,2,1564
E06000012,LA,3,1400
E06000012,LA,4,300
E06000012,LA,5,8480
E06000013,LA,-8,0
E06000013,LA,1,126559
E06000013,LA,2,1565
E06000013,LA,3,1281
E06000013,LA,4,392
E06000013,LA,5,9670
E06000014,LA,-8,0
E06000014,LA,1,148921
E06000014,LA,2,3507
E06000014,LA,3,4904
E06000014,LA,4,1141
E06000014,LA,5,13610
E06000015,LA,-8,0
E06000015,LA,1,184221
E06000015,LA,2,2764
E06000015,LA,3,3040
E06000015,LA,4,932
E06000015,LA,5,18235
E06000016,LA,-8,0
E06000016,LA,1,250153
E06000016,LA,2,3291
E06000016,LA,3,5303
E06000016,LA,4,1420
E06000016,LA,5,30847
E06000017,LA,-8,0
E06000017,LA,1,31470
E06000017,LA,2,381
E06000017,LA,3,292
E06000017,LA,4,72
E06000017,LA,5,2083
E06000018,LA,-8,0
E06000018,LA,1,225477
E06000018,LA,2,4757
E06000018,LA,3,6742
E06000018,LA,4,1430
E06000018,LA,5,25917
E06000019,LA,-8,0
E06000019,LA,1,140948
E06000019,LA,2,1641
E06000019,LA,3,1420
E06000019,LA,4,367
E06000019,LA,5,12757
E06000020,LA,-8,0
E06000020,LA,1,134069
E06000020,LA,2,1974
E06000020,LA,3,1726
E06000020,LA,4,408
E06000020,LA,5,10497
E06000021,LA,-8,0
E06000021,LA,1,183110
E06000021,LA,2,2956
E06000021,LA,3,2782
E06000021,LA,4,677
E06000021,LA,5,16377
E06000022,LA,-8,0
