code,label,lng,lat,easting,northing,population,households,populationDensity
E06000001,Hartlepool,-1.2555,54.6688,448118,530661,92334,40930,985.5
E06000002,Middlesbrough,-1.2228,54.5426,450380,516653,143922,60262,2671.2
E06000003,Redcar and Cleveland,-1.0215,54.5535,463383,518023,136536,61636,557.1
E06000004,Stockton-on-Tees,-1.3290,54.5625,443484,518785,196594,83757,959.3
E06000005,Darlington,-1.5527,54.5488,429038,517147,107807,48918,545.9
E06000006,Halton,-2.7200,53.3438,352162,383230,128475,55951,1624.3
E06000007,Warrington,-2.5628,53.3985,362665,389223,210969,90538,1168
E06000008,Blackburn with Darwen,-2.4671,53.6922,369254,421850,154735,58767,1129.4
E06000009,Blackpool,-3.0355,53.8175,331921,436188,141033,64789,4041.1
E06000010,Kingston upon Hull,-0.3364,53.7601,509765,430588,267010,115472,3730.1
E06000011,East Riding of Yorkshire,-0.4822,53.8680,499908,442365,342217,152066,142.4
E06000012,North East Lincolnshire,-0.1339,53.5440,523749,406881,156966,69826,815
E06000013,North Lincolnshire,-0.5921,53.5943,493268,411782,169674,73173,200.4
E06000014,York,-1.0606,53.9586,461737,451799,202821,85459,745.8
E06000015,Derby,-1.4683,52.9128,435851,335169,261354,105652,3349.5
E06000016,Leicester,-1.1276,52.6383,459135,304861,368569,127387,5027.2
E06000017,Rutland,-0.6541,52.6607,491121,307844,41050,16694,107.5
E06000018,Nottingham,-1.1759,52.9612,455451,340739,323627,124745,4337.6
E06000019,Herefordshire,-2.7457,52.1038,349035,245285,187039,82827,85.8
E06000020,Telford and Wrekin,-2.4885,52.7302,367109,314837,185523,76510,639.1
E06000021,Stoke-on-Trent,-2.1652,53.0176,389018,346716,258375,110399,2764.8
E06000022,Bath and North East Somerset,-2.4744,51.3561,367057,162001,193406,79250,559.2
E06000023,Bristol,-2.7702,51.4526,346546,172919,472462,191638,4308.1
E06000024,North Somerset,-2.8000,51.3892,344429,165882,216727,94648,579.9
E06000025,South Gloucestershire,-2.4712,51.5474,367431,183263,290423,118101,584.3
E06000026,Plymouth,-4.1202,50.3912,249389,56735,264693,114558,3314.8
E06000027,Torbay,-3.5305,50.4408,291417,61223,139324,62992,2215.6
E06000030,Swindon,-1.7443,51.5713,417817,185857,233414,95862,1014.4
E06000031,Peterborough,-0.2538,52.6085,518343,302621,215676,84533,628.1
E06000032,Luton,-0.4245,51.8943,508515,222915,225259,78940,5196
E06000033,Southend-on-Sea,0.7290,51.5376,589363,185610,180685,78344,4335.6
E06000034,Thurrock,0.3741,51.5060,564863,181237,175997,66377,1074.2
E06000035,Medway,0.5700,51.4257,578769,172759,279771,111458,1444.2
