code,label,cx,cy,pop,households,popDen,deprivation,deprivation4
E12000001,North East,406372,568880,2647015,1175680,308.5,641384,1973
E12000002,North West,352910,461468,7417393,3153404,525.8,1680582,7150
E12000003,Yorkshire and The Humber,447779,454503,5480774,2330658,355.8,1239322,5125
E12000004,East Midlands,479827,337141,4880056,2037332,312.4,1057686,3738
E12000005,West Midlands,381410,286686,5950764,2429493,457.8,1314016,5595
E12000006,East of England,573143,264244,6335075,2628782,331.4,1325885,5351
E12000007,London,530856,180105,8799723,3423890,5597.6,1778418,13104
E12000008,South East,502873,156210,9278063,3807966,486.5,1826160,8034
E12000009,South West,319859,122650,5701190,2448881,239.2,1222895,4900
W92000004,Wales,281678,267845,3107492,1347114,149.9,728527,2395
