code,value
E02000001,77
E02000002,32
E02000003,29
E02000004,24
E02000005,28
E02000007,37
E02000008,33
E02000009,34
E02000010,33
E02000011,30
E02000012,23
E02000014,34
E02000015,39
E02000016,61
E02000017,41
E02000018,35
E02000019,31
E02000020,35
E02000021,33
E02000022,48
E02000023,38
E02000024,24
E02000025,26
E02000026,15
E02000027,26
E02000028,23
E02000029,26
E02000030,13
E02000031,21
E02000032,14
E02000033,25
E02000034,27
E02000035,31
E02000036,21
E02000037,17
E02000038,26
E02000039,18
E02000040,22
E02000041,30
E02000042,39
E02000043,18
E02000044,28
E02000045,34
E02000046,37
E02000047,36
E02000048,19
E02000049,39
E02000050,33
E02000051,29
E02000052,37
E02000054,31
E02000055,41
E02000056,19
E02000057,32
E02000058,32
E02000059,40
E02000060,33
E02000061,42
E02000062,47
E02000063,37
E02000064,46
E02000065,34
E02000067,32
E02000068,36
E02000069,25
E02000070,19
E02000071,22
E02000072,30
E02000073,15
E02000074,26
E02000075,16
E02000077,19
E02000078,16
E02000079,28
E02000080,21
E02000081,22
E02000082,16
E02000083,22
E02000084,14
E02000085,16
E02000086,13
E02000087,15
E02000088,13
E02000089,13
E02000090,27
E02000091,25
E02000092,24
E02000093,25
E02000094,29
E02000095,26
E02000096,19
E02000097,25
E02000098,30
E02000099,29
E02000100,22
E02000101,39
E02000102,38
E02000103,39
E02000104,32
E02000105,36
E02000106,46
E02000107,56
E02000108,31
E02000110,46
E02000111,40
E02000112,48
E02000113,46
E02000114,60
E02000115,56
E02000116,58
E02000117,55
E02000118,41
E02000119,50
E02000120,62
E02000121,44
E02000122,38
E02000123,61
E02000125,44
E02000126,62
E02000127,32
E02000128,16
E02000130,36
E02000131,47
E02000132,34
E02000133,11
E02000134,33
E02000135,50
E02000136,19
E02000137,21
E02000138,25
E02000139,28
E02000140,28
E02000142,19
E02000144,31
E02000145,28
E02000146,24
E02000147,15
E02000148,15
E02000149,22
E02000150,15
E02000151,12
E02000152,23
E02000153,11
E02000154,22
E02000155,18
E02000156,16
E02000157,12
E02000158,20
E02000159,10
E02000160,12
E02000161,12
E02000163,12
E02000165,8
E02000167,47
E02000168,56
E02000169,41
E02000170,53
E02000171,54
E02000172,66
E02000173,59
E02000175,63
E02000176,60
E02000177,65
E02000178,66
E02000179,55
E02000180,67
E02000181,59
E02000182,58
E02000183,58
E02000184,73
E02000185,70
E02000186,69
E02000187,74
E02000188,72
E02000191,81
E02000192,76
E02000193,82
E02000194,42
E02000195,24
E02000197,35
E02000198,41
E02000199,34
E02000200,44
E02000201,49
E02000202,33
E02000203,49
E02000204,36
E02000206,47
E02000207,38
E02000208,48
E02000209,31
E02000210,32
E02000211,15
E02000212,42
E02000213,58
E02000214,23
E02000215,51
E02000216,34
E02000217,48
E02000218,27
E02000219,15
E02000221,31
E02000222,30
E02000223,39
E02000224,29
E02000225,27
E02000226,13
E02000227,19
E02000228,11
E02000229,33
E02000230,26
E02000231,11
E02000232,13
E02000233,17
E02000234,21
E02000235,12
E02000236,10
E02000237,16
E02000238,28
E02000239,21
E02000240,31
E02000241,25
E02000242,23
E02000243,31
E02000244,30
E02000245,36
E02000246,27
E02000247,29
E02000248,35
E02000249,32
E02000250,23
E02000251,22
E02000252,57
E02000253,38
E02000254,24
E02000255,32
E02000256,42
E02000258,38
E02000259,28
E02000260,38
E02000261,53
E02000262,52
E02000263,39
E02000264,39
E02000265,47
E02000266,36
E02000267,36
E02000268,37
E02000269,33
E02000270,55
E02000271,35
E02000272,25
E02000275,36
E02000276,37
E02000277,28
E02000278,33
E02000279,32
E02000280,25
E02000281,27
E02000283,25
E02000284,28
E02000285,16
E02000286,24
E02000287,18
E02000288,35
E02000289,12
E02000290,41
E02000291,37
E02000292,26
E02000293,16
E02000294,31
E02000295,23
E02000296,32
E02000297,18
E02000298,16
E02000299,42
E02000300,38
E02000301,44
E02000302,23
E02000303,43
E02000304,16
E02000305,29
E02000306,53
E02000307,29
E02000308,35
E02000309,44
E02000311,31
E02000313,47
E02000314,38
E02000315,41
E02000317,49
E02000318,47
E02000319,45
E02000320,37
E02000321,49
E02000323,55
E02000324,44
E02000326,38
E02000327,48
E02000328,42
E02000329,35
E02000331,38
E02000332,29
E02000333,36
E02000334,27
E02000337,30
E02000339,31
E02000340,34
E02000341,33
E02000342,32
E02000343,27
E02000344,18
E02000345,55
E02000346,70
E02000347,58
E02000348,62
E02000350,61
E02000351,66
E02000352,57
E02000353,57
E02000354,62
E02000355,55
E02000356,59
E02000357,62
E02000358,67
E02000359,52
E02000360,67
E02000361,71
E02000362,60
E02000363,68
E02000364,64
E02000366,59
E02000367,68
E02000368,66
E02000369,70
E02000370,71
E02000372,62
E02000373,61
E02000374,51
E02000375,66
E02000376,67
E02000377,59
E02000378,67
E02000379,46
E02000380,50
E02000381,57
E02000382,54
E02000383,67
E02000384,68
E02000385,66
E02000386,66
E02000387,62
E02000388,61
E02000389,47
E02000390,52
E02000391,49
E02000392,54
E02000393,46
E02000394,54
E02000395,46
E02000396,45
E02000397,54
E02000398,57
E02000400,40
E02000401,44
E02000402,48
E02000403,58
E02000404,53
E02000405,27
E02000406,56
E02000407,62
E02000408,59
E02000409,55
E02000410,37
E02000411,58
E02000412,65
E02000413,34
E02000415,59
E02000416,54
E02000417,38
E02000418,31
E02000419,63
E02000420,63
E02000421,66
E02000422,59
E02000423,63
E02000424,49
E02000425,50
E02000426,38
E02000427,59
E02000428,61
E02000429,43
E02000430,51
E02000431,48
E02000432,59
E02000433,24
E02000434,22
E02000435,19
E02000436,9
E02000437,21
E02000438,22
E02000439,27
E02000440,12
E02000441,21
E02000442,20
E02000443,34
E02000444,18
E02000445,33
E02000447,17
E02000448,20
E02000449,25
E02000451,16
E02000452,42
E02000454,11
E02000455,48
E02000456,29
E02000457,24
E02000459,34
E02000460,26
E02000461,26
E02000462,28
E02000463,23
E02000465,26
E02000466,20
E02000467,34
E02000468,17
E02000469,27
E02000470,18
E02000471,12
E02000472,16
E02000473,15
E02000474,24
E02000475,20
E02000477,14
E02000478,10
E02000479,29
E02000480,30
E02000481,17
E02000482,14
E02000483,27
E02000484,16
E02000485,19
E02000486,21
E02000487,8
E02000488,15
E02000489,21
E02000490,21
E02000491,24
E02000492,15
E02000493,27
E02000494,16
E02000495,23
E02000496,16
E02000497,17
E02000498,16
E02000499,16
E02000500,18
E02000501,14
E02000502,19
E02000503,13
E02000504,10
E02000506,12
E02000507,14
E02000508,29
E02000509,36
E02000510,19
E02000512,24
E02000513,27
E02000514,21
E02000515,31
E02000516,21
E02000517,24
E02000518,24
E02000519,31
E02000521,23
E02000522,26
E02000523,31
E02000524,24
E02000526,37
E02000529,24
E02000530,30
E02000531,36
E02000532,33
E02000533,33
E02000534,22
E02000535,24
E02000536,27
E02000537,31
E02000538,30
E02000539,29
E02000540,43
E02000541,39
E02000542,43
E02000543,49
E02000544,21
E02000545,32
E02000546,28
E02000547,29
E02000548,27
E02000549,24
E02000550,32
E02000551,32
E02000552,21
E02000553,22
E02000554,64
E02000555,58
E02000556,65
E02000558,70
E02000559,58
E02000560,69
E02000561,53
E02000562,61
E02000563,68
E02000564,73
E02000565,66
E02000566,60
E02000567,68
E02000568,70
E02000569,66
E02000570,60
E02000571,69
E02000572,70
E02000573,68
E02000574,73
E02000575,75
E02000576,78
E02000577,66
E02000578,56
E02000579,53
E02000580,67
E02000581,62
E02000582,63
E02000583,51
E02000584,52
E02000585,51
E02000586,53
E02000587,53
E02000588,56
E02000589,67
E02000590,64
E02000591,69
E02000592,59
E02000593,65
E02000594,49
E02000595,51
E02000596,53
E02000597,60
E02000598,17
E02000599,11
E02000600,33
E02000601,33
E02000602,42
E02000603,27
E02000604,28
E02000605,21
E02000606,38
E02000607,23
E02000608,40
E02000609,18
E02000610,37
E02000611,12
E02000612,13
E02000613,21
E02000614,21
E02000615,16
E02000616,13
E02000617,18
E02000619,68
E02000620,68
E02000621,73
E02000622,64
E02000623,66
E02000624,65
E02000625,66
E02000626,63
E02000627,64
E02000628,70
E02000629,60
E02000630,58
E02000631,53
E02000632,62
E02000633,67
E02000634,64
E02000635,60
E02000636,43
E02000637,58
E02000638,58
E02000639,63
E02000640,45
E02000641,58
E02000642,49
E02000643,52
E02000644,44
E02000645,48
E02000646,51
E02000647,39
E02000648,49
E02000649,54
E02000650,48
E02000651,46
E02000652,37
E02000653,63
E02000654,60
E02000655,59
E02000657,61
E02000658,55
E02000659,50
E02000660,54
E02000661,48
E02000662,49
E02000663,47
E02000665,46
E02000666,43
E02000667,36
E02000668,33
E02000669,49
E02000670,53
E02000671,44
E02000672,56
E02000673,43
E02000674,32
E02000675,31
E02000676,40
E02000677,32
E02000678,35
E02000679,44
E02000680,47
E02000681,41
E02000682,36
E02000683,41
E02000685,46
E02000686,46
E02000687,44
E02000689,32
E02000690,19
E02000691,38
E02000692,38
E02000693,48
E02000694,39
E02000695,34
E02000696,43
E02000697,42
E02000698,20
E02000699,31
E02000700,42
E02000701,36
E02000702,34
E02000703,23
E02000704,37
E02000705,26
E02000706,43
E02000707,30
E02000708,20
E02000709,18
E02000710,34
E02000711,34
E02000712,31
E02000713,16
E02000714,48
E02000715,47
E02000716,46
E02000717,50
E02000718,45
E02000719,54
E02000720,41
E02000721,51
E02000722,59
E02000723,44
E02000724,41
E02000725,67
E02000727,48
E02000728,42
E02000729,48
E02000730,47
E02000731,51
E02000732,52
E02000733,53
E02000734,53
E02000735,53
E02000736,42
E02000737,42
E02000739,51
E02000740,54
E02000741,47
E02000742,41
E02000743,59
E02000744,53
E02000745,40
E02000746,46
E02000747,63
E02000748,40
E02000749,48
E02000751,17
E02000752,25
E02000753,24
E02000754,22
E02000755,21
E02000756,22
E02000757,29
E02000758,20
E02000759,25
E02000760,26
E02000762,19
E02000763,23
E02000764,32
E02000765,30
E02000767,25
E02000768,21
E02000770,27
E02000772,32
E02000773,28
E02000774,32
E02000776,30
E02000777,26
E02000779,47
E02000781,23
E02000782,47
E02000783,39
E02000784,26
E02000785,26
E02000786,31
E02000787,31
E02000788,25
E02000789,37
E02000791,38
E02000792,29
E02000793,22
E02000794,21
E02000795,17
E02000796,21
E02000797,33
E02000798,20
E02000801,21
E02000802,20
E02000803,22
E02000805,26
E02000806,18
E02000808,75
E02000810,67
E02000812,70
E02000813,67
E02000814,57
E02000815,77
E02000816,62
E02000817,63
E02000818,73
E02000819,66
E02000820,71
E02000821,64
E02000822,69
E02000823,65
E02000824,61
E02000825,59
E02000826,64
E02000827,70
E02000828,63
E02000829,59
E02000830,52
E02000831,54
E02000832,51
E02000833,56
E02000834,45
E02000836,35
E02000837,26
E02000838,41
E02000839,38
E02000841,28
E02000842,15
E02000843,25
E02000844,22
E02000845,18
E02000846,19
E02000847,17
E02000848,14
E02000849,22
E02000850,16
E02000851,41
E02000852,23
E02000853,22
E02000854,20
E02000855,18
E02000856,24
E02000857,31
E02000858,30
E02000859,23
E02000860,39
E02000861,10
E02000863,10
E02000864,64
E02000865,67
E02000867,65
E02000868,68
E02000869,66
E02000870,62
E02000871,65
E02000872,73
E02000873,64
E02000874,66
E02000875,66
E02000876,71
E02000877,66
E02000878,76
E02000879,63
E02000880,70
E02000881,64
E02000882,59
E02000883,62
E02000884,79
E02000885,65
E02000886,64
E02000887,65
E02000888,63
E02000889,69
E02000890,58
E02000893,56
E02000894,55
E02000895,25
E02000896,24
E02000897,26
E02000898,26
E02000899,26
E02000900,27
E02000902,29
E02000903,37
E02000904,36
E02000905,40
E02000906,48
E02000907,52
E02000908,56
E02000909,42
E02000910,53
E02000911,56
E02000912,43
E02000913,38
E02000914,52
E02000915,45
E02000916,51
E02000917,50
E02000918,50
E02000919,50
E02000920,53
E02000921,52
E02000922,45
E02000923,50
E02000925,59
E02000926,54
E02000927,53
E02000928,37
E02000929,64
E02000930,53
E02000931,42
E02000932,50
E02000933,39
E02000934,53
E02000935,52
E02000936,51
E02000937,37
E02000938,42
E02000939,28
E02000940,55
E02000941,36
E02000942,33
E02000943,50
E02000944,47
E02000945,48
E02000946,41
E02000947,37
E02000948,48
E02000949,40
E02000950,39
E02000951,51
E02000952,50
E02000953,45
E02000954,42
E02000955,50
E02000956,57
E02000957,53
E02000958,34
E02000959,46
E02000960,55
E02000961,55
E02000962,66
E02000963,57
E02000964,65
E02000965,61
E02000966,57
E02000967,69
E02000968,70
E02000969,65
E02000970,65
E02000971,73
E02000973,66
E02000975,72
E02000976,73
E02000977,76
E02000978,46
E02000979,69
E02000980,71
E02000981,65
E02000982,69
E02000983,68
E02000984,7
E02000985,12
E02000986,16
E02000987,27
E02000988,29
E02000989,13
E02000990,16
E02000991,20
E02000992,14
E02000993,36
E02000994,39
E02000995,21
E02000996,38
E02000997,16
E02000998,37
E02000999,54
E02001000,31
E02001001,23
E02001002,22
E02001003,9
E02001004,41
E02001005,36
E02001006,30
E02001007,18
E02001008,32
E02001009,29
E02001010,32
E02001011,12
E02001012,20
E02001013,11
E02001014,25
E02001015,36
E02001016,30
E02001017,20
E02001018,10
E02001019,18
E02001020,11
E02001021,11
E02001022,20
E02001023,17
E02001024,12
E02001025,36
E02001026,39
E02001027,28
E02001029,29
E02001030,9
E02001031,23
E02001032,20
E02001033,25
E02001034,41
E02001035,12
E02001036,19
E02001037,12
E02001038,29
E02001039,29
E02001040,16
E02001041,27
E02001042,24
E02001043,22
E02001044,15
E02001045,37
E02001046,35
E02001047,35
E02001048,30
E02001049,25
E02001050,44
E02001051,38
E02001052,35
E02001053,51
E02001055,43
E02001056,46
E02001061,44
E02001062,49
E02001063,54
E02001064,41
E02001065,42
E02001066,51
E02001067,41
E02001068,49
E02001069,51
E02001070,47
E02001072,37
E02001073,26
E02001074,33
E02001075,40
E02001076,40
E02001077,23
E02001078,25
E02001079,33
E02001080,40
E02001081,23
E02001082,31
E02001083,28
E02001084,28
E02001085,31
E02001086,27
E02001087,24
E02001088,31
E02001089,15
E02001090,25
E02001091,26
E02001092,32
E02001093,36
E02001094,46
E02001095,35
E02001096,31
