date,anomaly
1850-01-01,-0.675
1850-02-01,-0.333
1850-03-01,-0.591
1850-04-01,-0.589
1850-05-01,-0.509
1850-06-01,-0.344
1850-07-01,-0.160
1850-08-01,-0.208
1850-09-01,-0.385
1850-10-01,-0.533
1850-11-01,-0.283
1850-12-01,-0.404
1851-01-01,-0.201
1851-02-01,-0.469
1851-03-01,-0.646
1851-04-01,-0.542
1851-05-01,-0.198
1851-06-01,-0.137
1851-07-01,-0.097
1851-08-01,-0.102
1851-09-01,-0.091
1851-10-01,-0.008
1851-11-01,-0.082
1851-12-01,-0.228
1852-01-01,-0.375
1852-02-01,-0.477
1852-03-01,-0.560
1852-04-01,-0.585
1852-05-01,-0.127
1852-06-01,-0.084
1852-07-01,0.005
1852-08-01,-0.136
1852-09-01,-0.002
1852-10-01,-0.172
1852-11-01,-0.305
1852-12-01,0.065
1853-01-01,-0.233
1853-02-01,-0.404
1853-03-01,-0.280
1853-04-01,-0.386
1853-05-01,-0.268
1853-06-01,-0.142
1853-07-01,-0.083
1853-08-01,-0.057
1853-09-01,-0.250
1853-10-01,-0.392
1853-11-01,-0.411
1853-12-01,-0.337
1854-01-01,-0.381
1854-02-01,-0.361
1854-03-01,-0.243
1854-04-01,-0.334
1854-05-01,-0.290
1854-06-01,-0.299
1854-07-01,-0.179
1854-08-01,-0.239
1854-09-01,-0.217
1854-10-01,-0.095
1854-11-01,-0.410
1854-12-01,-0.450
1855-01-01,-0.159
1855-02-01,-0.313
1855-03-01,-0.344
1855-04-01,-0.218
1855-05-01,-0.387
1855-06-01,-0.333
1855-07-01,-0.333
1855-08-01,-0.200
1855-09-01,-0.271
1855-10-01,-0.195
1855-11-01,-0.389
1855-12-01,-0.420
1856-01-01,-0.076
1856-02-01,-0.337
1856-03-01,-0.358
1856-04-01,-0.316
1856-05-01,-0.285
1856-06-01,-0.214
1856-07-01,-0.225
1856-08-01,-0.238
1856-09-01,-0.388
1856-10-01,-0.438
1856-11-01,-0.552
1856-12-01,-0.418
1857-01-01,-0.495
1857-02-01,-0.435
1857-03-01,-0.479
1857-04-01,-0.644
1857-05-01,-0.659
1857-06-01,-0.304
1857-07-01,-0.411
1857-08-01,-0.369
1857-09-01,-0.380
1857-10-01,-0.473
1857-11-01,-0.685
1857-12-01,-0.274
