Date,Pollster,Answer,Percent
2023-09-15,Deltapoll,Join,49
2023-09-15,Deltapoll,Stay out,38
2023-09-15,Deltapoll,no answer / don't know,13
2023-09-15,Omnisis,Join,50
2023-09-15,Omnisis,Stay out,31
2023-09-15,Omnisis,no answer / don't know,19
2023-09-08,Omnisis,Join,47
2023-09-08,Omnisis,Stay out,32
2023-09-08,Omnisis,no answer / don't know,21
2023-09-04,Kantar,Join,34
2023-09-04,Kantar,Stay out,27
2023-09-04,Kantar,no answer / don't know,39
2023-09-04,Deltapoll,Join,46
2023-09-04,Deltapoll,Stay out,37
2023-09-04,Deltapoll,no answer / don't know,17
2023-09-01,Omnisis,Join,50
2023-09-01,Omnisis,Stay out,32
2023-09-01,Omnisis,no answer / don't know,18
2023-08-25,Deltapoll,Join,48
2023-08-25,Deltapoll,Stay out,35
2023-08-25,Deltapoll,no answer / don't know,17
2023-08-24,Omnisis,Join,48
2023-08-24,Omnisis,Stay out,31
2023-08-24,Omnisis,no answer / don't know,21
2023-08-23,BMG Research,Join,47
2023-08-23,BMG Research,Stay out,39
2023-08-23,BMG Research,no answer / don't know,14
2023-08-21,Deltapoll,Join,46
2023-08-21,Deltapoll,Stay out,34
2023-08-21,Deltapoll,no answer / don't know,20
2023-08-19,Redfield & Wilton,Join,57
2023-08-19,Redfield & Wilton,Stay out,35
2023-08-19,Redfield & Wilton,no answer / don't know,8
2023-08-18,Omnisis,Join,48
2023-08-18,Omnisis,Stay out,31
2023-08-18,Omnisis,no answer / don't know,21
2023-08-11,YouGov,Join,49
2023-08-11,YouGov,Stay out,32
2023-08-11,YouGov,no answer / don't know,19
2023-08-11,Deltapoll,Join,48
2023-08-11,Deltapoll,Stay out,34
2023-08-11,Deltapoll,no answer / don't know,18
2023-08-11,Omnisis,Join,50
2023-08-11,Omnisis,Stay out,30
2023-08-11,Omnisis,no answer / don't know,20
2023-08-09,YouGov,Join,50
2023-08-09,YouGov,Stay out,30
2023-08-09,YouGov,no answer / don't know,20
2023-08-07,Deltapoll,Join,50
2023-08-07,Deltapoll,Stay out,35
2023-08-07,Deltapoll,no answer / don't know,15
2023-08-04,Omnisis,Join,48
2023-08-04,Omnisis,Stay out,31
2023-08-04,Omnisis,no answer / don't know,21
2023-07-31,Deltapoll,Join,46
2023-07-31,Deltapoll,Stay out,38
2023-07-31,Deltapoll,no answer / don't know,16
2023-07-28,Omnisis,Join,50
2023-07-28,Omnisis,Stay out,31
2023-07-28,Omnisis,no answer / don't know,19
2023-07-26,BMG Research,Join,46
2023-07-26,BMG Research,Stay out,39
2023-07-26,BMG Research,no answer / don't know,15
2023-07-24,Deltapoll,Join,51
2023-07-24,Deltapoll,Stay out,34
2023-07-24,Deltapoll,no answer / don't know,15
2023-07-21,Omnisis,Join,48
2023-07-21,Omnisis,Stay out,32
2023-07-21,Omnisis,no answer / don't know,20
2023-07-20,YouGov,Join,49
2023-07-20,YouGov,Stay out,33
2023-07-20,YouGov,no answer / don't know,18
2023-07-17,Deltapoll,Join,48
2023-07-17,Deltapoll,Stay out,38
2023-07-17,Deltapoll,no answer / don't know,14
2023-07-14,Omnisis,Join,48
2023-07-14,Omnisis,Stay out,34
2023-07-14,Omnisis,no answer / don't know,18
2023-07-10,Deltapoll,Join,47
2023-07-10,Deltapoll,Stay out,38
2023-07-10,Deltapoll,no answer / don't know,15
2023-07-07,Omnisis,Join,49
2023-07-07,Omnisis,Stay out,32
2023-07-07,Omnisis,no answer / don't know,19
2023-07-03,Deltapoll,Join,48
2023-07-03,Deltapoll,Stay out,36
2023-07-03,Deltapoll,no answer / don't know,16
2023-06-30,Omnisis,Join,47
2023-06-30,Omnisis,Stay out,32
2023-06-30,Omnisis,no answer / don't know,21
2023-06-29,BMG Research,Join,45
2023-06-29,BMG Research,Stay out,40
2023-06-29,BMG Research,no answer / don't know,15
2023-06-26,Deltapoll,Join,49
2023-06-26,Deltapoll,Stay out,38
2023-06-26,Deltapoll,no answer / don't know,13
2023-06-23,Omnisis,Join,50
2023-06-23,Omnisis,Stay out,31
2023-06-23,Omnisis,no answer / don't know,19
2023-06-19,YouGov,Join,45
2023-06-19,YouGov,Stay out,32
2023-06-19,YouGov,no answer / don't know,23
2023-06-19,More in Common,Join,44
2023-06-19,More in Common,Stay out,32
2023-06-19,More in Common,no answer / don't know,24
2023-06-19,Deltapoll,Join,47
2023-06-19,Deltapoll,Stay out,37
2023-06-19,Deltapoll,no answer / don't know,16
2023-06-17,Redfield & Wilton,Join,55
2023-06-17,Redfield & Wilton,Stay out,36
2023-06-17,Redfield & Wilton,no answer / don't know,9
2023-06-16,Omnisis,Join,47
2023-06-16,Omnisis,Stay out,31
2023-06-16,Omnisis,no answer / don't know,22
2023-06-09,Omnisis,Join,47
2023-06-09,Omnisis,Stay out,32
2023-06-09,Omnisis,no answer / don't know,21
2023-06-05,Deltapoll,Join,51
2023-06-05,Deltapoll,Stay out,36
2023-06-05,Deltapoll,no answer / don't know,13
2023-06-02,Public First,Join,48
2023-06-02,Public First,Stay out,32
2023-06-02,Public First,no answer / don't know,20
2023-06-02,Omnisis,Join,49
2023-06-02,Omnisis,Stay out,31
2023-06-02,Omnisis,no answer / don't know,20
2023-05-31,BMG Research,Join,49
2023-05-31,BMG Research,Stay out,36
2023-05-31,BMG Research,no answer / don't know,15
2023-05-26,Omnisis,Join,47
2023-05-26,Omnisis,Stay out,33
2023-05-26,Omnisis,no answer / don't know,20
2023-05-22,Kantar,Join,37
2023-05-22,Kantar,Stay out,29
2023-05-22,Kantar,no answer / don't know,34
2023-05-22,Deltapoll,Join,48
2023-05-22,Deltapoll,Stay out,38
2023-05-22,Deltapoll,no answer / don't know,14
2023-05-18,Omnisis,Join,45
2023-05-18,Omnisis,Stay out,36
2023-05-18,Omnisis,no answer / don't know,19
2023-05-16,YouGov,Join,46
2023-05-16,YouGov,Stay out,33
2023-05-16,YouGov,no answer / don't know,21
2023-05-15,Deltapoll,Join,46
2023-05-15,Deltapoll,Stay out,39
2023-05-15,Deltapoll,no answer / don't know,15
2023-05-12,Omnisis,Join,47
2023-05-12,Omnisis,Stay out,33
