easting	northing	region
280659	192712	8
276785	361054	8
390269	808414	11
282595	663812	11
485608	154233	6
404805	301786	4
375894	388826	3
330515	362929	8
440335	349578	1
344154	761754	11
257069	362365	8
509661	115619	6
448837	355316	1
595119	140286	6
392715	400227	3
483456	204614	6
448756	233222	6
546443	184033	2
434216	408843	5
439247	405052	5
324422	478349	3
568619	192232	9
465566	152611	6
467296	385002	1
374574	164641	10
421137	424608	5
527734	175498	2
496229	185336	6
539882	166538	2
505498	249803	9
533320	179092	2
357974	630351	11
535737	182673	2
516568	434848	5
571134	118780	6
550843	176530	2
331361	387672	3
402382	284036	4
410784	291861	4
409186	282697	4
413100	288213	4
407011	288067	4
403280	280555	4
406616	292361	4
406557	280942	4
413083	284778	4
401203	522875	7
367229	427697	3
384585	402094	3
332126	440434	3
332127	434290	3
318128	207698	8
418538	560178	7
428776	577729	7
496032	101165	6
446272	367640	1
372551	411473	3
373371	405872	3
366013	408430	3
333255	396798	3
538054	350144	1
441051	302136	1
412345	92729	10
406977	93710	10
483661	164683	6
417303	435356	5
416100	429777	5
411529	433349	5
576930	234192	9
303928	245788	8
516626	177073	2
556599	199993	9
521777	185053	2
518411	186622	2
286224	180236	8
307812	138159	10
485027	413956	5
536167	104175	6
531130	107791	6
362584	172664	10
341766	173149	10
358542	169781	10
358909	173225	10
614690	321581	9
542907	170607	2
399141	274341	4
533545	204030	9
449837	341761	1
475908	222195	6
385552	431318	3
412461	333591	4
378625	414027	3
379628	406632	3
597596	265246	9
315662	190424	8
400661	424589	5
534251	176315	2
546164	256738	9
401290	312776	4
615297	156533	6
318870	178465	8
317886	182238	8
312408	178860	8
338735	553058	3
260084	229575	8
528087	164186	2
580373	185197	9
274631	94932	10
620061	262920	9
458070	310935	1
573011	161516	6
387638	386329	3
571550	206630	9
525980	177272	2
394964	221414	10
495123	198730	6
438895	372455	1
485909	114869	6
538820	192685	2
387814	164506	10
525432	194517	2
359560	418258	3
411864	98900	10
529648	180445	2
339476	366750	3
428577	541528	7
617504	219651	9
516044	412804	5
324069	341443	8
300281	359269	8
270693	666789	11
599638	225420	9
409559	410792	5
379192	362683	3
314431	509870	3
498962	287104	1
436381	281102	4
430428	281658	4
432609	277320	4
526723	137997	6
371362	351707	3
535831	164811	2
532035	168434	2
532132	161033	2
269612	677743	11
299669	203104	8
551126	184102	2
428468	515414	7
557015	171792	6
466159	268573	1
318536	373068	8
392043	395611	3
421742	357512	1
433997	335676	1
436664	332493	1
415829	160771	10
422167	414332	5
459916	403947	5
457527	410342	5
462722	401384	5
629913	147353	6
392889	291516	4
391711	288052	4
532650	173388	2
307735	608571	11
348147	735541	11
334953	735052	11
305343	688809	11
519411	181305	2
514351	183374	2
514095	180049	2
441837	542460	7
559412	100187	6
447837	113689	6
304999	91532	10
257564	673712	11
473346	133258	6
542504	182655	2
269891	643757	11
251425	653927	11
536213	149067	6
519132	105724	6
496472	456362	5
356174	357198	3
328892	672855	11
325009	675629	11
326405	669470	11
317995	666773	11
534909	193974	2
338762	375917	3
439496	437653	5
543045	175110	2
532791	198229	2
529886	195211	2
542599	200351	9
521495	160696	6
446823	336068	1
547692	179271	2
512779	163187	6
293598	92301	10
285180	682238	11
454237	106492	6
589491	154841	6
510655	175170	2
358296	182726	10
525255	188791	2
609237	133470	6
367692	215506	10
339909	432332	3
501637	389172	1
343297	385221	3
425623	561446	7
462010	342807	1
580486	167161	6
258529	664023	11
265821	665003	11
257079	668756	11
261191	668313	11
253064	668947	11
257877	659915	11
253528	663329	11
328431	699651	11
383038	216525	10
458391	101260	6
255696	196141	8
502733	325149	1
566242	170320	6
525938	409249	5
647867	311260	9
541060	178250	2
501196	144068	6
533670	186604	2
535113	184464	2
396768	285056	4
408003	427336	5
486624	431510	5
350453	383589	3
522987	179908	2
525517	184657	2
466661	291749	1
546332	209792	9
434470	459461	5
516586	191445	2
514306	187440	2
447828	530302	7
605744	225865	9
587243	116604	6
471247	104306	6
507955	178965	2
395180	389468	3
504669	210651	9
441347	416031	5
521454	191557	2
463946	197179	6
344822	230751	4
541048	215054	9
519129	199197	9
384836	573930	7
385527	410696	3
408411	386510	1
516195	220524	9
528834	184563	2
556346	188124	2
529501	189361	2
519570	130702	6
435555	550984	7
526780	106656	6
416232	417202	5
521053	266192	9
375113	428526	3
544685	190978	2
544678	187361	2
228675	671321	11
270012	815846	11
617187	243968	9
530897	185899	2
531744	183527	2
319996	195894	8
433210	562636	7
404934	442412	5
437166	263047	4
525358	180098	2
483713	281738	1
254690	634611	11
519151	165760	2
512772	430298	5
508943	432898	5
506352	427965	5
367046	172646	10
343390	395113	3
286992	650065	11
351485	455722	3
430682	431932	5
434265	435216	5
430999	438851	5
424807	441959	5
425334	433763	5
461645	305368	1
458977	302313	1
457029	304521	1
366235	399155	3
544294	109450	6
536667	176383	2
538841	173501	2
535911	171132	2
539536	187502	2
411177	318354	4
495863	370843	1
295749	673582	11
335780	389226	3
337651	395148	3
338974	389567	3
339632	393016	3
304368	664158	11
248434	204737	8
456053	319488	1
533954	379126	1
351133	287212	4
505979	223700	9
509265	220650	9
392065	374086	3
483940	178248	6
575553	144179	6
358404	402494	3
586554	201448	9
386849	398875	3
386526	395160	3
383950	392346	3
455747	364411	1
461077	118135	6
419118	279227	4
308144	205127	8
449334	518116	7
463794	516205	7
330398	660428	11
503898	237551	9
438816	340162	1
394050	94365	10
598357	309918	9
532677	127839	6
396371	253804	4
486741	246392	6
485851	235355	6
527096	168661	2
513671	148603	6
340049	207897	8
303707	303960	8
350443	468501	3
430079	425744	5
277605	656627	11
278474	204172	8
475949	359298	1
445829	173361	6
380740	348360	4
422475	565459	7
427098	565475	7
420583	569809	7
328139	186081	8
288662	73401	10
433942	105651	6
417724	108077	6
444549	422807	5
476806	263468	1
476601	261350	1
266041	131649	10
388740	111569	10
423774	551927	7
509939	254139	9
542724	294860	9
435864	372083	1
470492	152773	6
533579	228187	9
367160	161892	10
351024	252550	4
348205	330161	4
348213	169135	10
417933	191261	10
626217	166233	6
429166	569379	7
425245	294209	4
519356	286789	9
403444	542098	7
443907	151868	6
440231	317299	1
570614	328614	9
396863	181090	10
622569	308098	9
458182	341281	1
453792	343501	1
454723	337655	1
432890	291654	4
293634	715069	11
292472	187595	8
398653	406885	3
390852	405543	3
547612	173314	2
544987	163773	2
452711	206517	6
448523	205379	6
243726	668326	11
238872	660861	11
388352	441294	3
425206	400523	5
356300	536493	3
285904	753573	11
524962	303903	9
247773	59056	10
306289	186361	8
402846	90568	10
536824	180707	2
463893	103849	6
353312	430747	3
421223	436688	5
523997	173947	2
585776	193054	9
472920	173391	6
466892	173238	6
457311	522599	7
401450	260793	4
526352	152623	6
296993	196273	8
369869	444136	3
417503	496875	5
520083	173612	2
392691	415192	3
578184	174110	6
598107	189146	9
551231	190975	2
434932	129843	6
376677	420680	3
442134	392550	5
450767	386569	5
445228	280536	4
509173	189054	2
502670	166122	6
462031	331407	1
265897	659071	11
481662	312510	1
559173	224842	9
379842	400319	3
412606	132980	10
486314	500078	5
493229	404542	5
431603	524113	7
332811	403218	3
453172	438084	5
551962	159042	6
435568	390993	5
435418	386392	5
427684	387078	5
436086	383144	5
440381	385083	5
461499	357975	1
412372	439547	5
347467	308056	4
593202	166626	6
402953	465963	5
501627	352490	1
497146	180044	6
413575	279849	4
361557	133942	10
444370	111854	6
440204	114201	6
584688	186863	9
332345	416933	3
569406	183874	9
538081	253620	9
429765	326458	1
387006	84077	10
556142	265102	9
