name,longitude,latitude
Alma-Marceau,2.3006256,48.8649686
Arts et Métiers,2.3561316,48.8654414
Assemblée Nationale,2.3210551,48.860697
Avenue Émile Zola,2.2953191,48.8470132
Bastille,2.3688579,48.852987
Belleville,2.3769463,48.8720479
Bercy,2.3799474,48.8401549
Bonne Nouvelle,2.3487498,48.8706233
Bourse,2.3414739,48.8686296
Bréguet-Sabin,2.3704333,48.8566333
Cadet,2.3447481,48.8760464
Cambronne,2.3029457,48.8475232
Campo-Formio,2.3589273,48.8356545
Cardinal Lemoine,2.351772,48.8465283
Censier - Daubenton,2.3519334,48.8406473
Champs-Élysées - Clemenceau,2.3138853,48.8678013
Charles de Gaulle — Étoile,2.295508,48.8744088
Charonne,2.3853565,48.8547441
Château d'Eau,2.3563063,48.8728919
Châtelet,2.3464367,48.8601084
Chaussée d'Antin - La Fayette,2.3333126,48.8729876
Chemin Vert,2.3681089,48.8574497
Cité,2.3475476,48.8552968
Cluny-La Sorbonne,2.3442177,48.8511281
Colonel Fabien,2.3710197,48.8774215
Commerce,2.2938643,48.8447112
Concorde,2.3221445,48.8661544
Convention,2.2966292,48.8373091
Couronnes,2.3805811,48.8690435
Dugommier,2.3896692,48.8390472
Dupleix,2.2936611,48.8504095
Duroc,2.3166375,48.8468544
École Militaire,2.3060728,48.8546647
Edgar Quinet,2.3250319,48.8411108
Étienne Marcel,2.3493931,48.8639526
Faidherbe — Chaligny,2.3842222,48.8501609
Falguière,2.317965,48.8444916
Félix Faure,2.2917792,48.8426775
Filles du Calvaire,2.3666124,48.8633194
Franklin D. Roosevelt,2.3099266,48.8690339
Gaîté,2.3224866,48.8386332
Gare d'Austerlitz,2.3670677,48.8405119
Gare de l'Est,2.3579127,48.8762027
Gare de Lyon,2.3739596,48.8434008
George V,2.3004148,48.8720617
Goncourt,2.3710845,48.8699553
Grands Boulevards,2.3434953,48.8714412
Havre - Caumartin,2.3273189,48.8736792
Hôtel de Ville,2.3515852,48.8575899
Iéna,2.2937783,48.8646725
Invalides,2.3145846,48.860322
Jacques Bonsergent,2.3607546,48.8711191
Jourdain,2.38933,48.8750944
Jussieu,2.354801,48.8459626
Kléber,2.2935185,48.8716801
La Motte-Picquet - Grenelle,2.2981916,48.8489809
La Tour Maubourg,2.3103234,48.8575602
Le Peletier,2.3399663,48.8748242
Ledru-Rollin,2.3760274,48.8512945
Les Gobelins,2.3527513,48.8356445
Les Halles,2.3458118,48.8621801
Louvre — Rivoli,2.3411235,48.8608027
Mabillon,2.3349474,48.8528994
Madeleine,2.3252553,48.8698297
Maubert Mutualité,2.3483786,48.8501284
Ménilmontant,2.3836703,48.8663246
Miromesnil,2.314468,48.8736855
Montgallet,2.3901962,48.844304
Montparnasse-Bienvenüe,2.3210144,48.8421006
Notre-Dame de Lorette,2.3385437,48.8759935
Notre-Dame des Champs,2.3286803,48.8452749
Oberkampf,2.3694165,48.8640529
Odéon,2.3393369,48.8522428
Opéra,2.33233,48.8706446
Palais Royal - Musée du Louvre,2.3360431,48.8624906
Parmentier,2.3739112,48.8653786
Pasteur,2.3125908,48.8429314
Père Lachaise,2.3874348,48.8629496
Philippe Auguste,2.3901666,48.8582563
Place Monge,2.3522772,48.8429053
Poissonnière,2.3487446,48.8771197
Pont Marie,2.3565905,48.8537872
Pont Neuf,2.3418394,48.8586746
Pyramides,2.3344687,48.8657452
Pyrénées,2.3852638,48.8738565
Quai de la Gare,2.3728539,48.8370598
Quai de la Rapée,2.3658953,48.8464943
Quatre Septembre,2.3359026,48.8695954
Rambuteau,2.353809,48.86178
Raspail,2.3307591,48.8389619
Réaumur - Sébastopol,2.3526084,48.8662481
Rennes,2.3278803,48.8481093
République,2.3630675,48.8676607
Reuilly — Diderot,2.3868055,48.8473591
Richard Lenoir,2.3720741,48.8602134
Richelieu Drouot,2.3396056,48.8718846
Rue des Boulets,2.3887914,48.8525808
Rue du Bac,2.3256659,48.8557241
Rue Saint-Maur,2.3794812,48.8643338
Saint-Ambroise,2.3747956,48.8610516
Saint-Augustin,2.3218162,48.8744582
Saint-François-Xavier,2.3144012,48.851398
Saint-Germain-des-Prés,2.3344604,48.853638
Saint-Lazare,2.3241246,48.8756126
Saint-Michel,2.3435309,48.8533014
Saint-Paul,2.3603522,48.8553789
Saint-Philippe du Roule,2.3100827,48.8723362
Saint-Placide,2.3270286,48.8471196
Saint-Sébastien - Froissart,2.3672267,48.8610965
Saint-Sulpice,2.3307247,48.8511006
Ségur,2.3074897,48.8470114
Sentier,2.3465656,48.867518
Sèvres-Babylone,2.3269335,48.851378
Sèvres-Lecourbe,2.3095848,48.8456163
Solférino,2.3230256,48.8586528
Strasbourg - Saint-Denis,2.3542855,48.8693002
Sully - Morland,2.3618174,48.8513954
Temple,2.3615138,48.8665948
Trinité d'Estienne d'Orves,2.3326415,48.8763251
Tuileries,2.330436,48.864244
Vaneau,2.3218878,48.8491427
Varenne,2.3150585,48.8568023
Vaugirard,2.3012923,48.8395785
Vavin,2.3290114,48.8422164
Volontaires,2.3080031,48.8415194
Voltaire,2.3798044,48.858158
