week,qType,rank,question,relFreq
2020-01-05,how,1,How to make a face mask,0
2020-01-12,how,1,How to make a face mask,0.37
2020-01-19,how,1,How to make a face mask,0
2020-01-26,how,1,How to make a face mask,0.57
2020-02-02,how,1,How to make a face mask,0.30
2020-02-09,how,1,How to make a face mask,1
2020-02-16,how,1,How to make a face mask,0.49
2020-02-23,how,1,How to make a face mask,1
2020-03-01,how,1,How to make a face mask,2
2020-03-08,how,1,How to make a face mask,1
2020-03-15,how,1,How to make a face mask,4
2020-03-22,how,1,How to make a face mask,11
2020-03-29,how,1,How to make a face mask,19
2020-04-05,how,1,How to make a face mask,13
2020-04-12,how,1,How to make a face mask,25
2020-04-19,how,1,How to make a face mask,45
2020-04-26,how,1,How to make a face mask,52
2020-05-03,how,1,How to make a face mask,42
2020-05-10,how,1,How to make a face mask,100
2020-05-17,how,1,How to make a face mask,38
2020-05-24,how,1,How to make a face mask,21
2020-05-31,how,1,How to make a face mask,50
2020-06-07,how,1,How to make a face mask,39
2020-06-14,how,1,How to make a face mask,32
2020-06-21,how,1,How to make a face mask,17
2020-06-28,how,1,How to make a face mask,15
2020-07-05,how,1,How to make a face mask,19
2020-07-12,how,1,How to make a face mask,54
2020-07-19,how,1,How to make a face mask,31
2020-07-26,how,1,How to make a face mask,20
2020-08-02,how,1,How to make a face mask,13
2020-08-09,how,1,How to make a face mask,6
2020-08-16,how,1,How to make a face mask,7
2020-08-23,how,1,How to make a face mask,6
2020-08-30,how,1,How to make a face mask,8
2020-09-06,how,1,How to make a face mask,4
2020-09-13,how,1,How to make a face mask,5
2020-09-20,how,1,How to make a face mask,5
2020-09-27,how,1,How to make a face mask,4
2020-10-04,how,1,How to make a face mask,4
2020-10-11,how,1,How to make a face mask,3
2020-10-18,how,1,How to make a face mask,3
2020-10-25,how,1,How to make a face mask,3
2020-11-01,how,1,How to make a face mask,4
2020-11-08,how,1,How to make a face mask,4
2020-11-15,how,1,How to make a face mask,1
2020-11-22,how,1,How to make a face mask,2
2020-11-29,how,1,How to make a face mask,1
2020-12-06,how,1,How to make a face mask,1
2020-12-13,how,1,How to make a face mask,2
2020-12-20,how,1,How to make a face mask,1
2020-01-05,how,2,How to make hand sanitizer,0
2020-01-12,how,2,How to make hand sanitizer,0
2020-01-19,how,2,How to make hand sanitizer,0
2020-01-26,how,2,How to make hand sanitizer,0
2020-02-02,how,2,How to make hand sanitizer,0
2020-02-09,how,2,How to make hand sanitizer,0
2020-02-16,how,2,How to make hand sanitizer,0
2020-02-23,how,2,How to make hand sanitizer,2
2020-03-01,how,2,How to make hand sanitizer,49
2020-03-08,how,2,How to make hand sanitizer,84
2020-03-15,how,2,How to make hand sanitizer,100
2020-03-22,how,2,How to make hand sanitizer,25
