GSSCode,name,year,dwellingsPerHectaire
E09000001,City of London,2001,15.90
E09000001,City of London,2002,16.25
E09000001,City of London,2003,16.28
E09000001,City of London,2004,16.71
E09000001,City of London,2005,17.06
E09000001,City of London,2006,17.06
E09000001,City of London,2007,17.07
E09000001,City of London,2008,17.21
E09000001,City of London,2009,17.36
E09000001,City of London,2010,17.33
E09000001,City of London,2011,17.51
E09000001,City of London,2012,17.56
E09000001,City of London,2013,17.67
E09000001,City of London,2014,19.06
E09000001,City of London,2015,19.78
E09000001,City of London,2016,20.02
E09000001,City of London,2017,20.05
E09000001,City of London,2018,20.48
E09000001,City of London,2019,20.66
E09000002,Barking and Dagenham,2001,18.07
E09000002,Barking and Dagenham,2002,18.13
E09000002,Barking and Dagenham,2003,18.21
E09000002,Barking and Dagenham,2004,18.23
E09000002,Barking and Dagenham,2005,18.32
E09000002,Barking and Dagenham,2006,18.39
E09000002,Barking and Dagenham,2007,18.48
E09000002,Barking and Dagenham,2008,18.66
E09000002,Barking and Dagenham,2009,18.74
E09000002,Barking and Dagenham,2010,18.77
E09000002,Barking and Dagenham,2011,18.80
E09000002,Barking and Dagenham,2012,18.90
E09000002,Barking and Dagenham,2013,19.03
E09000002,Barking and Dagenham,2014,19.22
E09000002,Barking and Dagenham,2015,19.36
E09000002,Barking and Dagenham,2016,19.55
E09000002,Barking and Dagenham,2017,19.71
E09000002,Barking and Dagenham,2018,19.82
E09000002,Barking and Dagenham,2019,20.06
E09000003,Barnet,2001,15.05
E09000003,Barnet,2002,15.08
E09000003,Barnet,2003,15.20
E09000003,Barnet,2004,15.32
E09000003,Barnet,2005,15.44
E09000003,Barnet,2006,15.56
E09000003,Barnet,2007,15.61
E09000003,Barnet,2008,15.76
E09000003,Barnet,2009,15.88
E09000003,Barnet,2010,15.98
E09000003,Barnet,2011,16.06
E09000003,Barnet,2012,16.31
E09000003,Barnet,2013,16.47
E09000003,Barnet,2014,16.59
E09000003,Barnet,2015,16.75
E09000003,Barnet,2016,16.91
E09000003,Barnet,2017,17.12
E09000003,Barnet,2018,17.38
E09000003,Barnet,2019,17.63
E09000004,Bexley,2001,14.25
E09000004,Bexley,2002,14.30
E09000004,Bexley,2003,14.35
E09000004,Bexley,2004,14.46
E09000004,Bexley,2005,14.50
E09000004,Bexley,2006,14.53
E09000004,Bexley,2007,14.58
E09000004,Bexley,2008,14.63
E09000004,Bexley,2009,14.68
E09000004,Bexley,2010,14.75
E09000004,Bexley,2011,14.78
E09000004,Bexley,2012,14.82
E09000004,Bexley,2013,14.88
E09000004,Bexley,2014,14.96
E09000004,Bexley,2015,15.09
E09000004,Bexley,2016,15.07
E09000004,Bexley,2017,15.19
E09000004,Bexley,2018,15.23
E09000004,Bexley,2019,15.31
E09000005,Brent,2001,23.46
E09000005,Brent,2002,23.78
E09000005,Brent,2003,24.02
E09000005,Brent,2004,24.16
E09000005,Brent,2005,24.31
E09000005,Brent,2006,24.70
E09000005,Brent,2007,24.97
E09000005,Brent,2008,25.22
E09000005,Brent,2009,25.50
E09000005,Brent,2010,25.77
E09000005,Brent,2011,25.93
E09000005,Brent,2012,26.06
E09000005,Brent,2013,26.21
E09000005,Brent,2014,26.38
E09000005,Brent,2015,26.74
E09000005,Brent,2016,26.98
E09000005,Brent,2017,27.30
E09000005,Brent,2018,27.46
E09000005,Brent,2019,27.86
E09000006,Bromley,2001,8.57
E09000006,Bromley,2002,8.59
E09000006,Bromley,2003,8.61
E09000006,Bromley,2004,8.65
E09000006,Bromley,2005,8.70
E09000006,Bromley,2006,8.75
E09000006,Bromley,2007,8.81
E09000006,Bromley,2008,8.87
E09000006,Bromley,2009,8.90
E09000006,Bromley,2010,8.95
E09000006,Bromley,2011,8.99
E09000006,Bromley,2012,9.03
E09000006,Bromley,2013,9.08
E09000006,Bromley,2014,9.09
E09000006,Bromley,2015,9.12
E09000006,Bromley,2016,9.16
E09000006,Bromley,2017,9.22
E09000006,Bromley,2018,9.26
E09000006,Bromley,2019,9.30
E09000007,Camden,2001,42.73
E09000007,Camden,2002,43.09
E09000007,Camden,2003,43.35
E09000007,Camden,2004,43.53
E09000007,Camden,2005,43.86
E09000007,Camden,2006,44.22
E09000007,Camden,2007,44.52
E09000007,Camden,2008,44.75
E09000007,Camden,2009,45.23
E09000007,Camden,2010,45.50
E09000007,Camden,2011,45.82
E09000007,Camden,2012,45.98
E09000007,Camden,2013,46.24
E09000007,Camden,2014,46.45
E09000007,Camden,2015,46.65
E09000007,Camden,2016,47.10
E09000007,Camden,2017,47.65
E09000007,Camden,2018,48.08
E09000007,Camden,2019,48.46
E09000008,Croydon,2001,16.33
E09000008,Croydon,2002,16.35
E09000008,Croydon,2003,16.39
E09000008,Croydon,2004,16.44
E09000008,Croydon,2005,16.48
E09000008,Croydon,2006,16.53
E09000008,Croydon,2007,16.61
E09000008,Croydon,2008,16.75
E09000008,Croydon,2009,16.90
E09000008,Croydon,2010,17.02
E09000008,Croydon,2011,17.12
E09000008,Croydon,2012,17.20
E09000008,Croydon,2013,17.31
E09000008,Croydon,2014,17.45
E09000008,Croydon,2015,17.63
E09000008,Croydon,2016,17.87
E09000008,Croydon,2017,18.20
E09000008,Croydon,2018,18.44
E09000008,Croydon,2019,18.62
E09000009,Ealing,2001,21.66
E09000009,Ealing,2002,21.71
E09000009,Ealing,2003,21.77
E09000009,Ealing,2004,21.86
E09000009,Ealing,2005,21.95
E09000009,Ealing,2006,22.10
E09000009,Ealing,2007,22.34
E09000009,Ealing,2008,22.60
E09000009,Ealing,2009,22.75
E09000009,Ealing,2010,22.85
E09000009,Ealing,2011,22.90
E09000009,Ealing,2012,23.02
E09000009,Ealing,2013,23.20
E09000009,Ealing,2014,23.34
E09000009,Ealing,2015,23.50
E09000009,Ealing,2016,23.63
E09000009,Ealing,2017,23.78
E09000009,Ealing,2018,24.04
E09000009,Ealing,2019,24.36
E09000010,Enfield,2001,13.74
E09000010,Enfield,2002,13.88
E09000010,Enfield,2003,14.02
E09000010,Enfield,2004,14.15
E09000010,Enfield,2005,14.24
E09000010,Enfield,2006,14.31
E09000010,Enfield,2007,14.44
E09000010,Enfield,2008,14.59
E09000010,Enfield,2009,14.67
E09000010,Enfield,2010,14.75
E09000010,Enfield,2011,14.85
E09000010,Enfield,2012,14.88
E09000010,Enfield,2013,14.95
E09000010,Enfield,2014,15.01
E09000010,Enfield,2015,15.06
E09000010,Enfield,2016,15.14
E09000010,Enfield,2017,15.25
E09000010,Enfield,2018,15.30
E09000010,Enfield,2019,15.36
E09000011,Greenwich,2001,18.92
E09000011,Greenwich,2002,19.03
E09000011,Greenwich,2003,19.18
E09000011,Greenwich,2004,19.47
E09000011,Greenwich,2005,19.79
E09000011,Greenwich,2006,20.06
E09000011,Greenwich,2007,20.21
E09000011,Greenwich,2008,20.27
E09000011,Greenwich,2009,20.33
E09000011,Greenwich,2010,20.35
E09000011,Greenwich,2011,20.46
E09000011,Greenwich,2012,20.72
E09000011,Greenwich,2013,20.74
E09000011,Greenwich,2014,20.96
E09000011,Greenwich,2015,21.19
E09000011,Greenwich,2016,21.53
E09000011,Greenwich,2017,22.00
E09000011,Greenwich,2018,22.38
E09000011,Greenwich,2019,22.68
E09000012,Hackney,2001,45.78
E09000012,Hackney,2002,46.49
E09000012,Hackney,2003,47.36
E09000012,Hackney,2004,48.08
E09000012,Hackney,2005,48.68
E09000012,Hackney,2006,49.32
E09000012,Hackney,2007,50.08
E09000012,Hackney,2008,51.08
E09000012,Hackney,2009,52.33
E09000012,Hackney,2010,53.37
E09000012,Hackney,2011,53.76
E09000012,Hackney,2012,54.37
E09000012,Hackney,2013,54.79
E09000012,Hackney,2014,55.38
E09000012,Hackney,2015,56.04
E09000012,Hackney,2016,56.47
E09000012,Hackney,2017,57.10
E09000012,Hackney,2018,57.76
E09000012,Hackney,2019,58.56
E09000013,Hammersmith and Fulham,2001,44.94
E09000013,Hammersmith and Fulham,2002,45.05
E09000013,Hammersmith and Fulham,2003,45.24
E09000013,Hammersmith and Fulham,2004,45.59
E09000013,Hammersmith and Fulham,2005,45.86
E09000013,Hammersmith and Fulham,2006,46.24
E09000013,Hammersmith and Fulham,2007,46.62
E09000013,Hammersmith and Fulham,2008,46.93
E09000013,Hammersmith and Fulham,2009,47.22
E09000013,Hammersmith and Fulham,2010,47.74
E09000013,Hammersmith and Fulham,2011,48.03
E09000013,Hammersmith and Fulham,2012,48.30
E09000013,Hammersmith and Fulham,2013,48.55
E09000013,Hammersmith and Fulham,2014,48.91
E09000013,Hammersmith and Fulham,2015,49.71
E09000013,Hammersmith and Fulham,2016,49.92
E09000013,Hammersmith and Fulham,2017,50.49
E09000013,Hammersmith and Fulham,2018,51.38
E09000013,Hammersmith and Fulham,2019,51.99
E09000014,Haringey,2001,31.64
E09000014,Haringey,2002,31.87
E09000014,Haringey,2003,32.14
E09000014,Haringey,2004,32.34
E09000014,Haringey,2005,32.83
E09000014,Haringey,2006,33.22
E09000014,Haringey,2007,33.73
E09000014,Haringey,2008,34.11
E09000014,Haringey,2009,34.56
E09000014,Haringey,2010,34.94
E09000014,Haringey,2011,35.20
E09000014,Haringey,2012,35.63
E09000014,Haringey,2013,35.82
E09000014,Haringey,2014,35.98
E09000014,Haringey,2015,36.03
E09000014,Haringey,2016,36.11
E09000014,Haringey,2017,36.36
E09000014,Haringey,2018,36.77
E09000014,Haringey,2019,36.96
E09000015,Harrow,2001,16.00
E09000015,Harrow,2002,16.04
E09000015,Harrow,2003,16.16
E09000015,Harrow,2004,16.26
E09000015,Harrow,2005,16.39
E09000015,Harrow,2006,16.52
E09000015,Harrow,2007,16.66
E09000015,Harrow,2008,16.75
E09000015,Harrow,2009,16.92
E09000015,Harrow,2010,17.04
E09000015,Harrow,2011,17.15
E09000015,Harrow,2012,17.24
E09000015,Harrow,2013,17.38
E09000015,Harrow,2014,17.44
E09000015,Harrow,2015,17.52
E09000015,Harrow,2016,17.70
E09000015,Harrow,2017,17.83
E09000015,Harrow,2018,17.97
E09000015,Harrow,2019,18.21
E09000016,Havering,2001,8.19
E09000016,Havering,2002,8.23
E09000016,Havering,2003,8.26
E09000016,Havering,2004,8.32
E09000016,Havering,2005,8.36
E09000016,Havering,2006,8.40
E09000016,Havering,2007,8.49
E09000016,Havering,2008,8.52
E09000016,Havering,2009,8.59
E09000016,Havering,2010,8.63
E09000016,Havering,2011,8.67
E09000016,Havering,2012,8.67
E09000016,Havering,2013,8.69
E09000016,Havering,2014,8.70
E09000016,Havering,2015,8.76
E09000016,Havering,2016,8.85
E09000016,Havering,2017,8.89
E09000016,Havering,2018,8.91
E09000016,Havering,2019,8.95
E09000017,Hillingdon,2001,8.56
E09000017,Hillingdon,2002,8.58
E09000017,Hillingdon,2003,8.62
E09000017,Hillingdon,2004,8.67
E09000017,Hillingdon,2005,8.70
E09000017,Hillingdon,2006,8.75
E09000017,Hillingdon,2007,8.77
E09000017,Hillingdon,2008,8.82
E09000017,Hillingdon,2009,8.89
E09000017,Hillingdon,2010,8.95
E09000017,Hillingdon,2011,8.98
E09000017,Hillingdon,2012,9.07
E09000017,Hillingdon,2013,9.19
E09000017,Hillingdon,2014,9.24
