id,sGroup,sTime,Villaines,Fougeres,Tinteniac,Loudeac,St Nicolas,Carhaix,Brest,Carhaix2,Loudeac2,Tinteniac2,Fougeres2,Villaines2,Mortagne,Dreux,Guyancourt
A086,80h,2015-08-16T16:01Z,22954,33321,39852,50075,56134,60052,70418,80977,91369,102850,109915,122394,133875,144446,152785
B207,80h,2015-08-16T16:16Z,22140,32402,38937,49102,55264,59171,70113,81072,91963,102911,110533,124073,136043,146531,155289
B037,80h,2015-08-16T16:15Z,22087,32394,38941,49103,55766,59539,70113,81062,91943,102902,110532,124061,136016,146521,155294
B029,80h,2015-08-16T16:16Z,22157,32482,38960,49140,55256,59178,70135,81068,91896,102939,110551,124215,136069,146577,155300
B201,80h,2015-08-16T16:16Z,22112,32879,39412,49816,55260,59217,70285,81233,91920,103383,110580,124440,136045,146640,155301
B008,80h,2015-08-16T16:15Z,22095,32409,38988,49128,55275,59197,70164,81097,91969,102953,110554,124123,136058,146575,155312
B147,80h,2015-08-16T16:15Z,22102,32438,38992,49143,55270,59207,70145,81090,91949,102935,110563,124091,136063,146573,155315
B216,80h,2015-08-16T16:16Z,22079,32405,38963,49103,55234,59157,70101,81047,91926,102925,110434,123814,136019,146494,155614
A224,80h,2015-08-16T16:01Z,22955,33292,39867,49995,56155,60066,71016,81948,92810,103817,111426,125040,136892,147430,156176
A190,80h,2015-08-16T16:01Z,22967,33290,39865,49994,56151,60061,71006,81953,92831,103801,111418,124993,136898,147428,156178
A074,80h,2015-08-16T16:01Z,22976,33296,39834,50004,56160,60060,71010,81956,92783,103796,111427,124966,136912,147438,156190
A098,80h,2015-08-16T16:01Z,22976,33299,39844,50016,56168,60079,71012,81948,92784,103817,111433,124953,136905,147435,156191
A227,80h,2015-08-16T16:01Z,22997,33314,39888,50041,56184,60089,71021,81984,92853,103840,111445,125015,136941,147468,156195
A147,80h,2015-08-16T16:01Z,23014,33329,39894,50031,56155,60099,71043,81992,92856,103801,111434,124956,136930,147428,156203
A064,80h,2015-08-16T16:01Z,22988,33306,39880,50497,56680,60441,71040,81988,92839,103839,111442,125002,136906,147451,156211
A121,80h,2015-08-16T16:01Z,22977,33301,39847,50001,56674,60436,71031,81957,92810,103816,111432,124990,136913,147433,156217
A085,80h,2015-08-16T16:01Z,22980,33301,39849,50015,56678,60456,71043,81972,92829,103836,111460,124991,136442,147328,156235
A122,80h,2015-08-16T16:01Z,22971,33302,39864,50020,56673,60436,71022,81962,92833,103806,111437,125073,136950,151945,162416
C034,80h,2015-08-16T16:31Z,23818,34828,41492,52692,59142,63202,74178,85810,97480,109229,117524,131467,143551,154409,163054
B011,80h,2015-08-16T16:16Z,22077,32410,38964,49117,55270,59233,70143,81087,91945,103573,110575,124147,143551,154256,163740
B090,80h,2015-08-16T16:16Z,22988,34052,40771,52245,60075,64108,75114,86719,98404,110141,118450,132389,144466,155315,163961
A084,80h,2015-08-16T16:01Z,22976,34629,41655,52945,60089,64562,76017,87577,99262,110995,119382,133244,145408,157438,166699
A229,80h,2015-08-16T16:01Z,23092,33297,39846,50004,56156,60069,71008,81968,92785,103815,111440,125252,142726,155898,166828
A149,80h,2015-08-16T16:01Z,22989,33297,39881,50362,58448,63128,75959,87631,99319,111038,119341,133276,145458,157477,166953
A225,80h,2015-08-16T16:00Z,23010,33329,39874,50026,56677,60975,74736,87632,99330,111027,119360,133299,145451,157503,166961
A214,80h,2015-08-16T16:00Z,22974,33317,39865,50047,56186,60104,71023,81980,92867,104239,119118,133263,145439,157469,166963
B184,80h,2015-08-16T16:16Z,23066,34050,41246,53209,60081,64135,75132,86737,98428,110391,118454,132371,144552,156808,167800
A206,80h,2015-08-16T16:00Z,22986,33308,39843,50017,56173,60077,71075,82557,95516,110583,119089,133274,148068,159193,168125
A191,80h,2015-08-16T16:00Z,23004,33321,39915,50041,56171,60089,71056,81999,92855,106116,119421,135351,149202,159822,168425
A173,80h,2015-08-16T16:01Z,22993,33316,39893,50046,56177,60104,71640,84967,97146,109944,119431,135351,149206,159836,168531
A062,80h,2015-08-16T16:01Z,25840,36737,43310,54522,60955,65058,76086,87722,99310,111131,119356,134675,148073,159485,168890
A007,80h,2015-08-16T16:01Z,22959,33299,39842,50032,56171,60080,71009,81979,92840,103999,113187,134689,148094,159569,168906
C106,80h,2015-08-16T16:31Z,23786,35435,42806,54268,61180,65427,77171,89352,101560,114234,122828,137598,149250,160259,169778
B027,80h,2015-08-16T16:16Z,22135,34047,41253,53168,60056,64111,75117,88149,100494,112858,122446,138539,150224,161206,170677
A003,80h,2015-08-16T16:01Z,25753,36685,43350,54521,60932,65007,76007,87625,99308,111065,119348,135892,149205,161059,171092
F086,90h,2015-08-16T17:16Z,21926,32925,39312,49882,56860,60186,71050,83933,96322,108890,130556,143203,153585,163376,171815
C047,80h,2015-08-16T16:31Z,24382,35854,43069,54544,63190,67352,80282,91800,103828,119272,127911,143072,154278,164501,172578
B235,80h,2015-08-16T16:16Z,22090,34962,41943,53233,61345,65805,77619,92601,105916,121040,129984,143969,155212,165408,173525
B129,80h,2015-08-16T16:15Z,22986,34038,40788,52961,59882,64106,76611,89172,101828,115209,124175,139454,152248,164527,173538
C164,80h,2015-08-16T16:31Z,24983,36113,43393,55345,62687,66825,79156,91828,103848,119154,127903,143057,154572,165995,174222
A009,80h,2015-08-16T16:01Z,23044,34428,41693,52997,60089,64540,76018,87626,99350,111050,120456,138755,151650,164543,174429
B204,80h,2015-08-16T16:16Z,23013,34031,40752,52078,59198,63590,75097,86706,98455,113275,127562,143946,155767,166873,175250
B034,80h,2015-08-16T16:16Z,22977,34704,42388,53599,60974,65331,77665,92026,106092,121019,129993,144026,155913,166876,175723
A054,80h,2015-08-16T16:01Z,24587,35624,43337,55169,63564,67815,80088,92926,107287,122222,130843,144927,156626,167758,175870
A222,80h,2015-08-16T16:01Z,23274,36664,43292,54494,60952,64998,76029,89541,101996,116094,125735,141747,154239,166069,175940
A099,80h,2015-08-16T16:01Z,24572,35621,43302,55160,63558,67811,80081,92946,107270,122213,130836,144973,156776,167752,175990
A101,80h,2015-08-16T16:01Z,24576,35612,43329,55161,63541,67809,80125,92916,107270,122208,130858,144851,156629,167758,175991
A058,80h,2015-08-16T16:01Z,24609,35640,43330,55190,63592,67841,80112,92954,107307,122216,130854,145031,156715,167787,176023
A168,80h,2015-08-16T16:01Z,22983,33307,39853,50055,56177,60085,71049,82911,97172,114450,125222,144862,156621,167792,176023
D238,80h,2015-08-16T16:45Z,24025,34979,42085,53709,60597,65041,77413,91035,103566,118242,127048,142185,156197,167094,176513
B205,80h,2015-08-16T16:16Z,22078,32401,38960,49101,55240,59166,70135,90486,106254,124571,132443,147065,157885,168489,177120
B237,80h,2015-08-16T16:16Z,25251,36751,44228,56473,63763,68799,82326,95253,109060,123018,132099,145794,157965,168887,178259
B136,80h,2015-08-16T16:16Z,23045,34777,41970,53658,61515,65939,78129,92647,105923,121060,130217,145785,157987,168907,178313
A057,80h,2015-08-16T16:01Z,24554,35611,43351,55158,63570,67827,80104,92928,107285,122224,130857,145055,156681,168473,178597
A038,80h,2015-08-16T16:01Z,24537,36084,43314,55381,63292,67299,79710,94649,107788,122411,130964,146758,159063,169794,178604
A020,80h,2015-08-16T16:01Z,22967,33321,40730,54063,61876,66243,78593,93575,107089,122271,130832,144932,156755,168478,178609
A185,80h,2015-08-16T16:01Z,23924,34954,42827,54525,61316,65578,78543,92439,105658,120122,129705,144853,156608,167878,179063
A014,80h,2015-08-16T16:01Z,24475,35834,43285,54487,63239,67280,79429,94570,108725,122187,130789,146644,158857,169744,179170
A040,80h,2015-08-16T16:01Z,25656,36639,43299,54519,63282,67313,79464,94611,108766,122224,130861,146850,159136,169809,179209
A088,80h,2015-08-16T16:01Z,23142,34622,41663,54181,62018,66238,78548,93518,107178,122266,130908,146780,158878,169827,179439
A006,80h,2015-08-16T16:01Z,22969,33299,39843,50672,57925,62810,75931,89058,102504,116213,125730,146926,158818,170075,179507
A204,80h,2015-08-16T16:01Z,23907,35631,42856,54555,60972,65019,76073,90067,101992,117642,126609,146952,158889,170102,179537
D034,80h,2015-08-16T16:46Z,25029,37413,44825,56532,64616,68908,80577,94167,108107,121288,130664,145546,157950,169105,181508
C010,80h,2015-08-16T16:31Z,23808,35603,42468,53702,61502,65513,77377,92781,105003,120115,136219,150542,162929,172670,182413
