pin,freq
0000,66124
0001,3198
0002,611
0003,422
0004,358
0005,346
0006,291
0007,7870
0008,573
0009,1144
0010,663
0011,1410
0012,949
0013,837
0014,350
0015,292
0016,251
0017,301
0018,326
0019,231
0020,342
0021,442
0022,440
0023,486
0024,977
0025,344
0026,185
0027,322
0028,185
0029,182
0030,144
0031,204
0032,257
0033,332
0034,150
0035,187
0036,145
0037,104
0038,159
0039,108
0040,101
0041,221
0042,223
0043,103
0044,191
0045,245
0046,109
0047,119
0048,159
0049,244
0050,106
0051,80
0052,131
0053,126
0054,121
0055,195
0056,137
0057,117
0058,96
0059,106
0060,196
0061,123
0062,124
0063,184
0064,296
0065,121
0066,213
0067,117
0068,173
0069,839
0070,6170
0071,630
0072,371
0073,185
0074,269
0075,244
0076,224
0077,1890
0078,746
0079,631
0080,548
0081,155
0082,181
0083,1104
0084,96
0085,131
0086,104
0087,177
0088,295
0089,229
0090,347
0091,133
0092,179
0093,139
0094,166
0095,65
0096,115
0097,135
0098,664
0099,844
0100,343
0101,3135
0102,1535
0103,834
0104,755
0105,685
0106,551
0107,627
0108,667
0109,623
0110,1030
0111,924
0112,906
0113,657
0114,859
0115,640
0116,802
0117,750
0118,725
0119,766
0120,1172
0121,1423
0122,902
0123,5276
0124,1929
0125,1372
0126,689
0127,769
0128,946
0129,783
0130,782
0131,694
0132,167
0133,143
0134,292
0135,143
0136,119
0137,221
0138,226
0139,80
0140,253
0141,152
0142,216
0143,459
0144,221
0145,278
0146,60
0147,1478
0148,148
0149,126
0150,157
0151,102
0152,431
0153,230
0154,161
0155,126
0156,160
0157,228
0158,253
0159,349
0160,79
0161,105
0162,149
0163,105
0164,103
0165,147
0166,220
0167,130
0168,198
0169,138
0170,116
0171,124
0172,157
0173,92
0174,112
0175,167
0176,93
0177,158
0178,105
0179,189
0180,173
0181,90
0182,132
0183,69
0184,129
0185,83
0186,89
0187,488
0188,305
0189,297
0190,537
0191,190
0192,214
0193,99
0194,81
0195,69
0196,165
0197,74
0198,106
0199,176
0200,210
0201,634
0202,2049
0203,1268
0204,1052
0205,813
0206,735
0207,541
0208,823
0209,835
0210,1147
0211,723
0212,859
0213,1103
0214,1352
0215,751
0216,634
0217,819
0218,763
0219,764
0220,915
0221,762
0222,712
0223,741
0224,781
0225,954
0226,595
0227,667
0228,803
0229,241
0230,341
0231,163
0232,122
0233,159
0234,164
0235,211
0236,111
0237,72
0238,129
0239,112
0240,132
0241,141
0242,676
0243,252
0244,103
0245,146
0246,156
0247,130
0248,170
0249,151
0250,298
0251,124
0252,106
0253,72
0254,111
0255,132
0256,154
0257,152
0258,856
0259,66
0260,108
0261,60
0262,95
0263,95
0264,82
0265,80
0266,64
0267,113
0268,96
0269,146
0270,155
0271,117
0272,134
0273,86
0274,142
0275,107
0276,107
0277,91
0278,117
0279,133
0280,91
0281,115
0282,214
0283,68
0284,100
0285,103
0286,114
0287,157
0288,163
0289,100
0290,101
0291,96
0292,57
0293,66
0294,61
0295,90
0296,55
0297,109
0298,65
0299,66
0300,169
0301,852
0302,932
0303,2009
0304,883
0305,894
0306,698
0307,699
0308,661
0309,598
0310,915
0311,1205
0312,880
0313,1053
0314,1112
0315,949
0316,1479
0317,823
0318,946
0319,830
0320,696
0321,1576
0322,769
0323,927
0324,728
0325,871
0326,1057
0327,899
0328,784
0329,611
0330,801
0331,832
0332,109
0333,348
0334,76
0335,96
0336,109
0337,180
0338,133
0339,105
0340,67
0341,127
0342,356
0343,188
0344,171
0345,226
0346,190
0347,147
0348,70
0349,144
0350,113
0351,394
0352,166
0353,76
0354,129
0355,119
0356,139
0357,353
0358,144
0359,87
0360,102
0361,121
0362,57
0363,82
0364,148
0365,114
0366,71
0367,96
0368,74
0369,404
0370,101
0371,126
0372,124
0373,75
0374,59
0375,104
0376,82
0377,69
0378,120
0379,76
0380,65
0381,61
0382,80
0383,96
0384,62
0385,186
0386,127
0387,168
0388,73
0389,59
0390,67
0391,105
0392,63
0393,58
0394,77
0395,79
0396,86
0397,83
0398,96
0399,85
0400,121
0401,595
0402,931
0403,603
0404,1405
0405,829
0406,640
0407,717
0408,859
0409,559
0410,935
0411,1724
0412,1052
0413,939
0414,810
0415,820
0416,940
0417,807
0418,709
0419,852
0420,2263
0421,649
0422,627
0423,945
0424,730
0425,758
0426,788
0427,685
0428,936
0429,698
0430,531
0431,226
0432,108
0433,84
0434,85
0435,86
0436,56
0437,85
0438,61
0439,38
0440,108
0441,139
0442,212
0443,58
0444,118
0445,124
0446,67
0447,49
0448,89
0449,70
0450,135
0451,120
0452,86
0453,133
0454,117
0455,155
0456,318
0457,105
0458,99
0459,105
0460,66
0461,78
0462,105
0463,86
0464,83
0465,71
0466,83
0467,88
0468,87
0469,98
0470,93
0471,81
0472,80
0473,70
0474,106
0475,93
0476,116
0477,140
0478,116
0479,278
0480,61
0481,77
0482,143
0483,96
0484,160
0485,171
0486,795
0487,113
0488,113
0489,106
0490,78
0491,94
0492,59
0493,128
0494,81
0495,112
0496,60
0497,75
0498,67
0499,60
0500,166
0501,869
0502,933
0503,555
0504,744
0505,1940
0506,724
0507,814
0508,536
0509,865
0510,1077
0511,705
0512,968
0513,857
0514,669
0515,988
0516,740
0517,859
0518,658
0519,642
0520,658
0521,866
0522,721
0523,848
0524,794
0525,953
0526,765
0527,684
0528,597
0529,577
0530,591
0531,611
0532,177
0533,105
0534,137
0535,192
0536,83
0537,55
0538,64
0539,108
0540,93
0541,76
0542,113
0543,72
0544,51
0545,78
0546,113
0547,91
0548,64
0549,83
0550,242
0551,118
0552,103
0553,75
0554,100
0555,281
0556,86
0557,69
0558,83
0559,69
0560,123
0561,106
0562,107
0563,105
0564,119
0565,69
0566,101
0567,146
0568,81
0569,112
0570,106
0571,185
0572,90
0573,95
0574,128
0575,61
0576,115
0577,260
0578,89
0579,86
0580,87
0581,81
0582,109
0583,77
0584,372
0585,89
0586,104
0587,103
0588,248
0589,51
0590,87
0591,70
0592,144
0593,47
0594,95
0595,58
0596,65
0597,63
0598,87
0599,107
0600,115
0601,681
0602,621
0603,563
0604,1283
0605,522
0606,926
0607,710
0608,499
0609,571
0610,812
0611,877
0612,804
0613,807
0614,735
0615,679
0616,782
0617,714
0618,602
0619,553
0620,610
0621,572
0622,865
0623,620
0624,812
0625,1086
0626,568
0627,481
0628,606
0629,495
0630,470
0631,77
0632,81
0633,89
0634,92
0635,42
0636,71
0637,79
0638,72
0639,68
0640,92
0641,82
0642,92
0643,60
0644,76
0645,125
0646,62
0647,48
0648,74
0649,77
0650,78
0651,63
0652,168
0653,112
0654,114
0655,154
0656,70
0657,115
0658,84
0659,57
0660,123
0661,111
0662,80
0663,203
0664,87
0665,74
0666,800
0667,110
0668,107
0669,103
0670,54
0671,64
0672,52
0673,53
0674,62
0675,41
0676,86
0677,87
0678,146
0679,61
0680,83
0681,67
0682,91
0683,112
0684,202
0685,74
0686,126
0687,70
0688,101
0689,170
0690,300
0691,350
0692,54
0693,64
0694,71
0695,102
0696,51
0697,84
0698,90
0699,87
0700,155
0701,702
0702,577
