properties.DZCode,x,y
S01006506,-2.2825214924811803,57.08634693861275
S01006507,-2.272909055314066,57.10261044745531
S01006508,-2.2741471531208814,57.098898783248494
S01006509,-2.2676667362946343,57.09949100746934
S01006510,-2.263390943114102,57.09850813033716
S01006511,-2.257156572469837,57.09966399174761
S01006512,-2.3142661954225145,57.115980002419946
S01006513,-2.2265144772030334,57.108831895202755
S01006514,-2.2390941572479792,57.10086146482405
S01006515,-2.253558600398703,57.11496475383999
S01006516,-2.217035083860974,57.107841035682526
S01006517,-2.2378634310880425,57.13131945207084
S01006518,-2.2054400897527198,57.11399818765781
S01006519,-2.1973648804546775,57.11638390099501
S01006520,-2.206076915708237,57.117732062917455
S01006521,-2.1585152423331633,57.11913527113529
S01006522,-2.1744139967915097,57.12321817696768
S01006523,-2.1751540593046896,57.118789738799094
S01006524,-2.18871711785036,57.11072413896558
S01006525,-2.1888765254527667,57.11694653051701
S01006526,-2.145612649294603,57.122036143007726
S01006527,-2.144981392326967,57.12043567959468
S01006528,-2.1374293368150497,57.1201286977169
S01006529,-2.1245684348435345,57.12358275694492
S01006530,-2.129299420804264,57.12281921437781
S01006531,-2.133895376081737,57.123851939062334
S01006532,-2.1248773482730043,57.12954748156502
S01006533,-2.1316440774350163,57.13181689271041
S01006534,-2.1246701212218353,57.13323519381464
S01006535,-2.1188000768171773,57.133375522375665
S01006536,-2.1170985904866364,57.13719436784499
S01006537,-2.1499478870143434,57.126960854152145
S01006538,-2.144734676904808,57.12467026154347
S01006539,-2.131859114283971,57.12862135807145
S01006540,-2.1385002768356185,57.12819163283497
S01006541,-2.145580725404639,57.13071244260447
S01006542,-2.1560940174854735,57.13303170223711
S01006543,-2.156862489609186,57.129489299972064
S01006544,-2.145963617852982,57.13847380809589
S01006545,-2.139505738830102,57.13409779243436
S01006546,-2.147321328809053,57.135199832882876
S01006547,-2.190092126695554,57.1351399211963
S01006548,-2.163128918706356,57.13651366171132
S01006549,-2.151979828217826,57.14225124467546
S01006550,-2.1578307678779836,57.13871520603768
S01006551,-2.173818789567577,57.13874253705567
S01006552,-2.1662811063105765,57.145312916526606
S01006553,-2.155725400232733,57.147079299916335
S01006554,-2.1513881498665604,57.149345819662855
S01006555,-2.170399898878317,57.148557538425294
S01006556,-2.161097872858061,57.14845769523511
S01006557,-2.1768299788100762,57.15002089892637
S01006558,-2.122959654513636,57.15126466532058
S01006559,-2.127617710010681,57.147862053803756
S01006560,-2.1330889310537304,57.14881562044182
S01006561,-2.1340057887328845,57.150993143273716
S01006562,-2.1426581415605392,57.14975826178267
S01006563,-2.13550138473201,57.15433493072287
S01006564,-2.1137123425117306,57.14760356343496
S01006565,-2.1095080754166853,57.15010296335544
S01006566,-2.1162214955570393,57.15192483269586
S01006567,-2.1134736798254683,57.149727859107685
S01006568,-2.11781595090143,57.14866058429898
S01006569,-2.121456026889058,57.14940221320584
S01006570,-2.122923922165839,57.14728586883737
S01006571,-2.1220179970631503,57.143406725498714
S01006572,-2.14231784707315,57.14532595922503
S01006573,-2.1324263134973487,57.14598182922822
S01006574,-2.1353639196042185,57.14233524471609
S01006575,-2.1282731639614827,57.13652045554324
S01006576,-2.1233479422690147,57.1377739034872
S01006577,-2.1281104204402372,57.139885997729785
S01006578,-2.1193454361401285,57.140302371627726
S01006579,-2.1161700847084757,57.14009960043206
S01006580,-2.1228064061974266,57.14089376311644
S01006581,-2.1348339267851393,57.137046731821236
S01006582,-2.1074034241172592,57.14245811372491
S01006583,-2.110664303562739,57.140649601425835
S01006584,-2.1151912355461864,57.14532001662867
S01006585,-2.110484668570763,57.144922338755215
S01006586,-2.1042798364593733,57.14719175374931
S01006587,-2.0932458956059694,57.14245881659082
S01006588,-2.09824928234414,57.14581025535508
S01006589,-2.092888081665521,57.14747018948208
S01006590,-2.1025291009838702,57.14215546561232
S01006591,-2.101076979922003,57.140328471196234
S01006592,-2.0983903029876996,57.13642272115204
S01006593,-2.100783831141899,57.13839979942572
S01006594,-2.112421330377542,57.135850741073895
S01006595,-2.1100697100592427,57.13863199367445
S01006596,-2.1056101490069254,57.138261727280984
S01006597,-2.112843605206171,57.13873235594169
S01006598,-2.101494910826903,57.132736429758836
S01006599,-2.120676773238863,57.128381338886214
S01006600,-2.1122341775417386,57.1299847706657
S01006601,-2.112625856430642,57.13348553446374
S01006602,-2.1074452809486686,57.13465560951804
S01006603,-2.116191200420326,57.11733867252587
S01006604,-2.1115304487112216,57.121522026083234
S01006605,-2.107378176123319,57.120609880873616
S01006606,-2.114937862209295,57.123337654633254
S01006607,-2.1012848386429166,57.122803111343345
S01006608,-2.1032533318189404,57.10283205390826
S01006609,-2.098274239662839,57.11929596475538
S01006610,-2.1058908780868655,57.11806226814255
S01006611,-2.110869887479453,57.116959642079614
S01006612,-2.1139538243426763,57.11376463281859
S01006613,-2.0943021531299335,57.09734776161768
S01006614,-2.0873376158046004,57.09503161210168
S01006615,-2.0997086330686403,57.0949886942175
S01006616,-2.0868124606994702,57.097930344846866
S01006617,-2.0823197509759557,57.10025202923715
S01006618,-2.088481900544902,57.101047543847336
S01006619,-2.0739784373284187,57.10452747984124
S01006620,-2.084012168694889,57.10546010373742
S01006621,-2.0873745379435156,57.1066828978663
S01006622,-2.0895741701663146,57.10476276149178
S01006623,-2.0747063373423997,57.121723365258525
S01006624,-2.092575147349287,57.133829337128724
S01006625,-2.0887271709191757,57.132944845573114
S01006626,-2.0851463643055803,57.134618608096815
S01006627,-2.0852080215024213,57.13802952416786
S01006628,-2.0892825101519583,57.13682832935103
S01006629,-2.08673121508779,57.13149222337154
S01006630,-2.087716861512814,57.12969590534855
S01006631,-2.0629732232458275,57.13872707021191
S01006632,-2.079894892191212,57.13477180402577
S01006633,-2.079605270635251,57.13184961229192
S01006634,-2.071970543886268,57.13283053387835
S01006635,-2.0763571185901193,57.135026610873965
S01006636,-2.0686875152501334,57.135665579367206
S01006637,-2.0823384274853804,57.14744286265051
S01006638,-2.090698933619415,57.153012009328556
S01006639,-2.0922378854086885,57.150483612276574
S01006640,-2.0805569050384127,57.1511815863715
S01006641,-2.0879002848451274,57.15455878664184
S01006642,-2.096711885464678,57.15406641974481
S01006643,-2.093007564157942,57.15527653325953
S01006644,-2.0907169361191937,57.15717726044629
S01006645,-2.103258110227937,57.15325107082529
S01006646,-2.0991280777736447,57.15016931502902
S01006647,-2.098304520866695,57.151598431783896
S01006648,-2.105953297197669,57.15143780585401
S01006649,-2.109042715625868,57.15493796711404
S01006650,-2.111711337934269,57.15764512178868
S01006651,-2.106926367047356,57.1567804888046
S01006652,-2.103106259395625,57.15479396036832
S01006653,-2.1167042403947676,57.1586343388868
S01006654,-2.122814285773782,57.15973751099689
S01006655,-2.120892445360307,57.15542088581072
S01006656,-2.112452865170199,57.153564921239585
S01006657,-2.1151102036681237,57.16264330841916
S01006658,-2.1033777327675556,57.15800373720024
S01006659,-2.108581999679834,57.15949709056939
S01006660,-2.112071460815903,57.161682487837844
S01006661,-2.1064642656261037,57.16154245515406
S01006662,-2.1079129541382917,57.16489302331304
S01006663,-2.0989708356170875,57.16179568498942
S01006664,-2.1025460063707957,57.16018107371626
S01006665,-2.0974674690040733,57.15929692713271
S01006666,-2.0835538965147893,57.161274273154696
S01006667,-2.0934214402072393,57.16429077724065
S01006668,-2.091741713277901,57.16217196195585
S01006669,-2.099014081393591,57.16452091766345
S01006670,-2.0903885622134166,57.15966609864387
S01006671,-2.1008395774331854,57.17266651029211
S01006672,-2.0981881081985287,57.1673397008171
S01006673,-2.095783151727821,57.16941415224321
S01006674,-2.0855871029947255,57.17083580264783
S01006675,-2.115834952488461,57.17003505199262
S01006676,-2.1113771296099095,57.17097473265265
S01006677,-2.1119659690038466,57.16761354752515
S01006678,-2.11508241166322,57.17398805546716
S01006679,-2.126395883098276,57.17303126013126
S01006680,-2.120808016842159,57.173977214574066
S01006681,-2.142183303253535,57.175060073317674
S01006682,-2.122132775947879,57.16822244412297
S01006683,-2.118437266783966,57.16754009186917
S01006684,-2.1237300158436767,57.17069713028924
S01006685,-2.136544424011377,57.17168186626957
S01006686,-2.139546394381604,57.16863631363906
S01006687,-2.1344316857444765,57.16867420363017
S01006688,-2.1321063634139605,57.163812606485266
S01006689,-2.1248884799711165,57.16457369038785
S01006690,-2.1285200434221387,57.16641038506798
S01006691,-2.1191303813479347,57.16225958858631
S01006692,-2.1208395866542844,57.16413747146219
S01006693,-2.1286380932949562,57.169484465443325
S01006694,-2.146813551655642,57.15607560430621
S01006695,-2.1363851955464983,57.16117499725847
S01006696,-2.1413185904031082,57.16092785753371
S01006697,-2.1392433669562996,57.15840642625067
S01006698,-2.1442297463836253,57.157721390909536
S01006699,-2.133815373033115,57.16111557612309
S01006700,-2.12982382345522,57.159268641217864
S01006701,-2.1673436038399334,57.152783711160154
S01006702,-2.1595172809908596,57.15880876365341
S01006703,-2.15996781657768,57.1535130489906
S01006704,-2.1661861526334008,57.1558067182206
S01006705,-2.157153084569476,57.15728420198013
S01006706,-2.156410523845228,57.155569553252974
S01006707,-2.151829863857292,57.154632426880525
S01006708,-2.172544088065764,57.15398092323726
S01006709,-2.1754127856689505,57.15153780450166
S01006710,-2.1824452389970457,57.15403297553813
S01006711,-2.1785458119061074,57.155121934596224
S01006712,-2.17236696895363,57.15679087832633
S01006713,-2.1651314314998844,57.15903870174614
S01006714,-2.149638465910353,57.15988752067378
S01006715,-2.152416108847767,57.16465197650413
S01006716,-2.1469146353923594,57.163363130916224
S01006717,-2.1558838887627707,57.16041194631175
S01006718,-2.142942856113025,57.16408612503194
S01006719,-2.170304495478316,57.163385019989065
S01006720,-2.1700906989852546,57.167416131456946
S01006721,-2.16628094316639,57.16499812409218
S01006722,-2.1586219509685973,57.16294040007336
S01006723,-2.1624553083699407,57.16341590133337
S01006724,-2.156630302785545,57.16751925364147
S01006725,-2.165001412234315,57.167528310225855
S01006726,-2.1472780288624564,57.17072324646746
S01006727,-2.1532452601957557,57.17056151131272
S01006728,-2.1592776504543343,57.17141718835699
S01006729,-2.1427500651082743,57.16774750041316
S01006730,-2.1644962244853807,57.17012488370452
S01006731,-2.1681188696164826,57.17001957767169
S01006732,-2.233414297987448,57.17267991428718
S01006733,-2.219599038139291,57.16110110367116
S01006734,-2.226108878342389,57.15837513629073
S01006735,-2.223196890197177,57.15475908616666
S01006736,-2.2109533986329444,57.16083599043804
S01006737,-2.2038244538612326,57.1526177948397
S01006738,-2.1712297522442388,57.17935134360958
S01006739,-2.159637876179487,57.176070467020374
S01006740,-2.1806577175980495,57.17535178600751
S01006741,-2.1870628756806596,57.17356861648713
S01006742,-2.190257996067708,57.17211811355157
S01006743,-2.176373688087413,57.188246949633154
S01006744,-2.1823790354735655,57.1829109933452
S01006745,-2.1808717893775165,57.17915911831515
S01006746,-2.189819353948169,57.17626377668815
S01006747,-2.192973473513444,57.18246335095182
S01006748,-2.2003377968593605,57.20231796038558
S01006749,-2.177257026150431,57.20835545755114
S01006750,-2.178615012240348,57.21101080355504
S01006751,-2.1870939966178584,57.20918669751428
S01006752,-2.1835249311065046,57.208568887021
S01006753,-2.1869675846226104,57.205312227317044
S01006754,-2.179208716070093,57.20397981316583
S01006755,-2.2370172426796433,57.211792031950466
S01006756,-2.1264626025356606,57.17608193421858
S01006757,-2.13897559967742,57.18217869559061
S01006758,-2.1354529891405467,57.18082249334332
S01006759,-2.1336131580039055,57.17874655603258
S01006760,-2.1342583029986097,57.183733896478415
S01006761,-2.146028699477147,57.18097645306262
S01006762,-2.150024809483978,57.1978443199757
S01006763,-2.123679996940608,57.20033380109919
S01006764,-2.128184977208965,57.19427886979356
