properties.InterZone,x,y
S02001236,-2.3041797230733936,57.108370151906136
S02001237,-2.240553415226975,57.12159794829654
S02001238,-2.181215984094886,57.115798277930125
S02001239,-2.133237175952465,57.122073088074615
S02001240,-2.123329355807595,57.13314987542658
S02001241,-2.1425357123232818,57.128145153617254
S02001242,-2.1502856918149083,57.13432509730935
S02001243,-2.1849645488352034,57.13606122956215
S02001244,-2.162191903273885,57.14843993819159
S02001245,-2.135320927057088,57.151861994169835
S02001246,-2.1169644780955195,57.149128139756115
S02001247,-2.1328740250749347,57.143977020589624
S02001248,-2.128017395675324,57.13824535828369
S02001249,-2.1077286119494127,57.14508003583088
S02001250,-2.0943791820804734,57.14333978336456
S02001251,-2.10525584522743,57.13777780663718
S02001252,-2.109153751526318,57.13145336425312
S02001253,-2.111276572036586,57.12144395300518
S02001254,-2.103460573692705,57.10369462907257
S02001255,-2.08892791802831,57.09752209351205
S02001256,-2.07530891024851,57.1185788326068
S02001257,-2.0875831864764938,57.133991796404615
S02001258,-2.066900567137727,57.1369397664007
S02001259,-2.083193544524183,57.14922741024071
S02001260,-2.093015223491395,57.15518533936866
S02001261,-2.104412779516435,57.15336301044236
S02001262,-2.118316639221186,57.15721614005089
S02001263,-2.1049106059172824,57.16146540964701
S02001264,-2.0878920721345566,57.16188791575452
S02001265,-2.093233624830164,57.17115162943709
S02001266,-2.1160564282260474,57.17179725469046
S02001267,-2.1359573049573277,57.17314055209012
S02001268,-2.129061397606478,57.16616598322935
S02001269,-2.138550964030434,57.15912968858873
S02001270,-2.1592804888400505,57.15499286612134
S02001271,-2.17500614399897,57.15520500682957
S02001272,-2.150208261085732,57.162755509029395
S02001273,-2.1633956772374927,57.16540781469578
S02001274,-2.1528198193127572,57.1700376696138
S02001275,-2.230062505263604,57.17013403750445
S02001276,-2.16992565136476,57.17692378068671
S02001277,-2.1952267904805463,57.1958046258348
S02001278,-2.2335467785181757,57.211459678303584
S02001279,-2.135433728528627,57.17963772998939
S02001280,-2.1486016522319016,57.197736020324854
S02001281,-2.1178716732012,57.19061549238522
S02001282,-2.11227792574323,57.18079646240753
S02001283,-2.0939285827902343,57.18456654742336
S02001284,-2.0958419059376268,57.206144235551086
S02001285,-3.3244282881814318,57.04543853365974
S02001286,-2.720422703329314,57.00944738932995
S02001287,-2.5177518593742776,56.85222998134713
S02001288,-2.4914204934623587,56.803273514743374
S02001289,-2.4047297709807376,56.8940012327236
S02001290,-2.282530506741755,56.973464810008515
