properties.HBCode,x,y
S08000015,-4.533195969828372,55.43405097568195
S08000016,-2.788280642892211,55.577211364347896
S08000017,-3.9577534834696073,55.07070088768525
S08000019,-4.241360064841146,56.20985920843515
S08000020,-2.781419074984438,57.29970295107288
S08000022,-4.736750309399299,57.36251267013822
S08000024,-3.0965069748354317,55.904157667384446
S08000025,-3.0954310807870007,58.988708382656384
S08000026,-1.2959875194372448,60.373405853365604
S08000028,-6.66051588283261,58.13122195832054
S08000029,-3.1245596290525035,56.228581298903485
S08000030,-3.5561156730431027,56.610129045886204
S08000031,-4.450026696860365,55.881716907986636
S08000032,-3.8404656685886582,55.669733580809
