id,year,title,artist,theme,spotifyUrl
1,1916,Jerusalem,"William Blake, Charles Hubert and Hastings Parry",People and places,
2,1922,Things Are Worse in Russia,Sam Mayo,People and places,
3,1928,Empty Bed Blues,Bessie Smith,Sex,http://open.spotify.com/track/3WJNDpUfN9RiWbVNSXteoD
4,1928,"Let’s Do It, Let’s Fall in Love",Cole Porter,Love,
5,1928,T for Texas,Jimmie Rodgers,People and places,http://open.spotify.com/track/5pOTmneH4pTmhxaSLtrTM0
6,1928,St James Infirmary Blues,Louis Armstrong,Life and death,http://open.spotify.com/track/7J76OkHtp3A7ufswzoXdT1
7,1928,Frankie and Johnny,Mae West,Life and death,
8,1928,Stack O’ Lee,Mississippi John Hurt,People and places,http://open.spotify.com/track/2s4dwHpeGqoXNUXoyXyG1O
9,1929,How Can a Poor Man Stand Such Times and Live?,Blind Alfred Reed,Politics and protest,http://open.spotify.com/track/0kKl93KcM7R4qtU7wp4ake
10,1929,(What Did I Do To Be So) Black And Blue,Louis Armstrong,Politics and protest,http://open.spotify.com/track/7ogRU94YDmyoE1MkMbrddk
11,1931,Minnie the Moocher,Cab Calloway,People and places,http://open.spotify.com/track/1Ns0szGnyIV7BLkWsrkdVu
12,1931,Devil Got My Woman,Skip James,Heartbreak,http://open.spotify.com/track/0PIFpAuiiowI88mPS6KYsj
14,1932,Brother Can You Spare a Dime?,Bing Crosby,Politics and protest,http://open.spotify.com/track/2Ei1sEtJU0ENRvk3sKZx0X
15,1935,Will the Circle Be Unbroken (By and By),The Carter Family,Life and death,
16,1936,Cross Road Blues,Robert Johnson,People and places,
17,1938,Begin the Beguine,Artie Shaw,Party songs,http://open.spotify.com/track/7zZoN83WXRCiVCyzdCFihV
18,1938,The Bourgeois Blues,Leadbelly,Politics and protest,http://open.spotify.com/track/4gMvW0NSjknhTQOsIIFIkQ
19,1939,Strange Fruit,Billie Holliday,Politics and protest,http://open.spotify.com/track/67q3zVsJsPRks4k0eomEWy
20,1939,Over the Rainbow,Judy Garland,People and places,http://open.spotify.com/track/1jNQ6e4Mze7QA3hPWbTv3B
21,1939,Zing! Went the Strings of My Heart,Judy Garland,Love,http://open.spotify.com/track/2vIuGZHuGRqcydnsVFC7Vp
22,1940,Do Re Mi,Woody Guthrie,People and places,http://open.spotify.com/track/2IsUkc97tIzMBQg67y3lVP
23,1941,Gloomy Sunday,Billie Holiday,Life and death,http://open.spotify.com/track/3kksPdaT31d5IcoP6GPu5I
24,1941,Me and My Chauffeur Blues,Memphis Minnie,People and places,http://open.spotify.com/track/1BrAqEZyBw7t4Qk5LdPq7w
25,1944,Cocktails for Two,Spike Jones and His City Slickers,Party songs,http://open.spotify.com/track/3JmwSgu1vxYXdblOJMXUQz
26,1944,This Land Is Your Land,Woody Guthrie,Politics and protest,http://open.spotify.com/track/7CNaYAdLyi86kofGafReiT
27,1946,Choo Choo Ch’Boogie,Louis Jordan and His Tympany Five,People and places,http://open.spotify.com/track/1bPpdLPZIi24zchWIGkI3H
28,1946,(Get Your Kicks On) Route 66,Nat King Cole,People and places,http://open.spotify.com/track/3k0jloXIBRigk9z7TSxr48
29,1949,I’m So Lonesome I Could Cry,Hank Williams,Life and death,http://open.spotify.com/track/3bAWaK1KyeFpww4xK8ztyO
