pclass,survived,sex
1,0,female
1,0,male
1,0,female
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,female
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,female
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,female
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
1,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
2,0,male
2,0,male
2,0,male
2,0,female
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
2,0,female
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,male
2,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,female
3,0,female
3,0,female
3,0,female
3,0,female
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,female
3,0,female
3,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,female
3,0,female
3,0,male
3,0,female
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,female
3,0,female
3,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,female
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
3,0,male
