pclass,survived,sex,age
1,1,female,29
1,1,male,0.9167
1,0,female,2
1,0,male,30
1,0,female,25
1,1,male,48
1,1,female,63
1,0,male,39
1,1,female,53
1,0,male,71
1,0,male,47
1,1,female,18
1,1,female,24
1,1,female,26
1,1,male,80
1,0,male,24
1,1,female,50
1,1,female,32
1,0,male,36
1,1,male,37
1,1,female,47
1,1,male,26
1,1,female,42
1,1,female,29
1,0,male,25
1,1,male,25
1,1,female,19
1,1,female,35
1,1,male,28
1,0,male,45
1,1,male,40
1,1,female,30
1,1,female,58
1,0,male,42
1,1,female,45
1,1,female,22
1,0,male,41
1,0,male,48
1,1,female,44
1,1,female,59
1,1,female,60
1,1,female,41
1,0,male,45
1,1,male,42
1,1,female,53
1,1,male,36
1,1,female,58
1,0,male,33
1,0,male,28
1,0,male,17
1,1,male,11
1,1,female,14
1,1,male,36
1,1,female,36
1,0,male,49
1,0,male,36
1,1,female,76
1,0,male,46
1,1,female,47
1,1,male,27
1,1,female,33
1,1,female,36
1,1,female,30
1,1,male,45
1,0,male,27
1,1,female,26
1,1,female,22
1,0,male,47
1,1,female,39
1,0,male,37
1,1,female,64
1,1,female,55
1,0,male,70
1,1,female,36
1,1,female,64
1,0,male,39
1,1,female,38
1,1,male,51
1,1,male,27
1,1,female,33
1,0,male,31
1,1,female,27
1,1,male,31
1,1,female,17
1,1,male,53
1,1,male,4
1,1,female,54
1,0,male,50
1,1,female,27
1,1,female,48
1,1,female,48
1,1,male,49
1,0,male,39
1,1,female,23
1,1,female,38
1,1,female,54
1,0,female,36
1,1,male,36
1,0,male,30
1,1,female,24
1,1,female,28
1,1,female,23
1,0,male,19
1,0,male,64
1,1,female,60
1,1,female,30
1,1,male,50
1,1,male,43
1,1,female,22
1,1,male,60
1,1,female,48
1,0,male,37
1,1,female,35
1,0,male,47
1,1,female,35
1,1,female,22
1,1,female,45
1,0,male,24
1,1,male,49
1,0,male,71
1,1,male,53
1,1,female,19
1,0,male,38
1,1,female,58
1,1,male,23
1,1,female,45
1,0,male,46
1,1,male,25
1,1,female,25
1,1,male,48
1,1,female,49
1,0,male,45
1,1,female,35
1,0,male,40
1,1,male,27
1,1,female,24
1,0,male,55
1,1,female,52
1,0,male,42
1,0,male,55
1,1,female,16
1,1,female,44
1,1,female,51
1,0,male,42
1,1,female,35
1,1,male,35
1,1,male,38
1,1,female,35
1,1,female,38
1,0,female,50
1,1,male,49
1,0,male,46
1,0,male,50
1,0,male,32.5
1,0,male,58
1,0,male,41
1,1,male,42
1,1,female,45
1,1,female,39
1,1,female,49
1,1,female,30
1,1,male,35
1,0,male,42
1,1,female,55
1,1,female,16
1,1,female,51
1,0,male,29
1,1,female,21
1,0,male,30
1,1,female,58
1,1,female,15
1,0,male,30
1,1,female,16
1,0,male,19
1,1,female,18
1,1,female,24
1,0,male,46
1,0,male,54
1,1,male,36
1,0,male,28
1,0,male,65
1,0,male,44
1,1,female,33
1,1,female,37
1,1,male,30
1,0,male,55
1,0,male,47
1,0,male,37
1,1,female,31
1,1,female,23
1,0,male,58
1,1,female,19
1,0,male,64
1,1,female,39
1,1,female,22
1,0,male,65
1,0,male,28.5
1,0,male,45.5
1,0,male,23
1,0,male,29
1,1,female,22
1,0,male,18
1,1,female,17
1,1,female,30
1,1,male,52
1,0,male,47
1,1,female,56
1,0,male,38
1,0,male,22
1,1,female,43
1,0,male,31
1,1,male,45
1,1,female,33
1,0,male,46
1,0,male,36
1,1,female,33
1,0,male,55
1,1,female,54
1,0,male,33
1,1,male,13
1,1,female,18
1,1,female,21
1,0,male,61
