longitude,latitude,region
-3.7253032,51.620514,8.0
-3.8431773,53.13237,8.0
-2.1625226,57.16656,11.0
-3.8770301,55.85323,11.0
-0.7739543,51.28078,6.0
-1.9304786,52.613823,4.0
-2.3639913,53.39572,3.0
-3.0406742,53.158943,8.0
-1.3998531,53.04196,1.0
-2.9146578,56.74414,11.0
-4.1382513,53.13922,8.0
-0.44092813,50.929565,6.0
-1.2721851,53.09283,1.0
0.7872009,51.128567,6.0
-2.1112957,53.498703,3.0
-0.7928919,51.73401,6.0
-1.2912955,51.995293,6.0
0.11009325,51.53618,2.0
-1.484741,53.575092,5.0
-1.4092408,53.540665,5.0
-3.1599345,54.195335,3.0
0.43348244,51.60365,9.0
-1.0615661,51.268852,6.0
-0.9903228,53.35763,1.0
-2.3667476,51.38021,10.0
-1.6811912,53.71748,5.0
-0.16259195,51.464016,2.0
-0.6132788,51.558678,6.0
0.00864184,51.380627,2.0
-0.459967,52.136444,9.0
-0.080869675,51.495026,2.0
-2.6679277,55.565067,11.0
-0.044695597,51.526634,2.0
-0.23170012,53.796906,5.0
0.43461698,50.94302,6.0
0.17028071,51.467606,2.0
-3.0333724,53.38143,3.0
-1.9663866,52.454266,4.0
-1.8424934,52.52451,4.0
-1.8662968,52.442154,4.0
-1.8085,52.491665,4.0
-1.8981835,52.490463,4.0
-1.9532049,52.422966,4.0
-1.9039168,52.52907,4.0
-1.9050078,52.42642,4.0
-1.8088843,52.460785,4.0
-1.9828926,54.601086,7.0
-2.4983869,53.74463,3.0
-2.233947,53.51531,3.0
-3.0333908,53.855698,3.0
-3.0320175,53.800484,3.0
-3.187735,51.761932,8.0
-1.7121907,54.935978,7.0
-1.5506432,55.093204,7.0
-0.6385948,50.802048,6.0
-1.3087081,53.20383,1.0
-2.4162526,53.599113,3.0
-2.4033828,53.548817,3.0
-2.5147104,53.57138,3.0
-3.0068395,53.46369,3.0
0.05722764,53.03077,1.0
-1.3951268,52.615448,1.0
-1.8264551,50.734,10.0
-1.9025022,50.742912,10.0
-0.7994128,51.375015,6.0
-1.7386883,53.81422,5.0
-1.7572489,53.764114,5.0
-1.8264575,53.79634,5.0
0.5747544,51.977997,9.0
-3.404077,52.10204,8.0
-0.32190236,51.480568,2.0
0.2635329,51.67685,9.0
-0.24500568,51.5512,2.0
-0.29300246,51.56602,2.0
-3.6409106,51.509537,8.0
-3.3190334,51.135223,10.0
-0.7161395,53.615273,5.0
-0.06821629,50.821068,6.0
-0.13839287,50.854733,6.0
-2.5398724,51.451687,10.0
-2.8395216,51.454285,10.0
-2.5977,51.425484,10.0
-2.5928226,51.456474,10.0
1.179614,52.749172,9.0
0.05371764,51.416443,2.0
-2.0140526,52.367107,4.0
-0.068139054,51.719078,9.0
-1.259344,52.970898,1.0
-0.89832413,51.893124,6.0
-2.2207313,53.778008,3.0
-1.816206,52.89962,4.0
-2.3246481,53.622356,3.0
-2.3089986,53.555927,3.0
0.8932799,52.24988,9.0
-3.2192798,51.606285,8.0
-1.991466,53.71773,5.0
-0.068521224,51.46985,2.0
0.13681476,52.189503,9.0
-1.9823527,52.71264,4.0
1.0848918,51.267227,6.0
-3.170204,51.499252,8.0
-3.1852567,51.533028,8.0
-3.263373,51.50184,8.0
-2.9561493,54.86857,3.0
-4.0371957,51.947006,8.0
-0.16159643,51.36227,2.0
0.59942174,51.536823,9.0
-3.7781875,50.740383,10.0
1.2203366,52.220486,9.0
-1.1422378,52.692986,1.0
0.48181763,51.32639,6.0
-2.1872811,53.373684,3.0
0.48282892,51.7321,9.0
-0.18719628,51.48035,2.0
-2.0746007,51.891235,10.0
-0.62559545,51.679264,6.0
-1.4185592,53.247704,1.0
-0.77899957,50.926846,6.0
0.0036713702,51.61585,2.0
-2.1765013,51.37944,10.0
-0.1889367,51.635452,2.0
-2.6134298,53.659252,3.0
-1.8330735,50.789505,10.0
-0.13323912,51.508038,2.0
-2.9073985,53.19438,3.0
-1.5573479,54.76791,7.0
1.1554791,51.83307,9.0
-0.24789797,53.598976,5.0
-3.1319861,52.964954,8.0
-3.4915686,53.121246,8.0
-4.0684447,55.876915,11.0
0.8998739,51.89154,9.0
-1.8570535,53.59363,5.0
-2.3126752,53.16087,3.0
-3.3220875,54.47698,3.0
-0.5444782,52.472897,1.0
-1.4663947,52.42669,4.0
-1.5538899,52.43205,4.0
-1.5222336,52.392925,4.0
-0.19044082,51.127205,6.0
-2.428798,53.06184,3.0
-0.050192226,51.366093,2.0
-0.10334346,51.399544,2.0
-0.10469842,51.33301,2.0
-4.091002,55.97498,11.0
-3.4537938,51.717636,8.0
0.17759351,51.535564,2.0
-1.5615753,54.533237,7.0
0.2569658,51.42336,6.0
-1.0309795,52.311275,1.0
-3.2223802,53.248363,8.0
-2.1213078,53.457203,3.0
-1.6766312,53.114357,1.0
-1.4958383,52.917435,1.0
-1.4565336,52.888645,1.0
-1.774131,51.34577,10.0
-1.6663142,53.625072,5.0
-1.0975931,53.52879,5.0
-1.1324534,53.58653,5.0
-1.0557805,53.505424,5.0
1.2881703,51.17911,6.0
-2.1062455,52.52147,4.0
-2.12352,52.490307,4.0
-0.09265489,51.44392,2.0
-3.457087,55.3625,11.0
-2.8441098,56.509132,11.0
-3.0583296,56.5031,11.0
-3.5225992,56.082752,11.0
-0.28038418,51.51802,2.0
-0.3526078,51.537663,2.0
-0.35737318,51.50783,2.0
-1.351126,54.775356,7.0
0.2598104,50.779305,6.0
-1.3208206,50.920643,6.0
-3.3470652,50.715584,10.0
-4.2817726,55.935368,11.0
-0.9540105,51.09391,6.0
0.05278095,51.524803,2.0
-4.0702596,55.669888,11.0
-4.369123,55.75589,11.0
-0.0507113,51.224514,6.0
-0.30943996,50.838745,6.0
-0.5299142,53.99432,5.0
-2.6561708,53.110165,3.0
-3.1400638,55.943523,11.0
-3.2029912,55.96785,11.0
-3.1789496,55.912743,11.0
-3.312638,55.887154,11.0
-0.05228653,51.628384,2.0
-2.919849,53.27669,3.0
-1.4013419,53.83366,5.0
0.057518654,51.45687,2.0
-0.0812541,51.667126,2.0
-0.124356106,51.64068,2.0
0.061340116,51.683792,9.0
-0.2574243,51.332355,6.0
-1.3050417,52.919994,1.0
0.126095,51.493065,2.0
-0.3816925,51.356537,6.0
-3.508725,50.720524,10.0
-3.8436048,56.019325,11.0
-1.2308433,50.855362,6.0
0.7145413,51.26119,6.0
-0.40844828,51.46466,2.0
-2.6027708,51.541855,10.0
-0.19353722,51.584038,2.0
0.9847418,51.06238,6.0
-2.470333,51.8372,10.0
-2.9134967,53.783848,3.0
-0.4731638,53.38962,1.0
-2.8535132,53.360817,3.0
-1.6014999,54.94706,7.0
-1.0779014,52.97903,1.0
0.591852,51.37478,6.0
-4.261271,55.848663,11.0
-4.1453753,55.859547,11.0
-4.2869077,55.890728,11.0
-4.220985,55.887955,11.0
-4.3511524,55.891235,11.0
-4.2695265,55.81159,11.0
-4.3407035,55.84094,11.0
-3.1546152,56.184162,11.0
-2.247657,51.847042,10.0
-1.1726658,50.80792,6.0
-4.0870743,51.645477,8.0
-0.47714898,52.814102,1.0
0.38886893,51.407505,6.0
-0.0999065,53.56476,5.0
1.6624068,52.642395,9.0
0.030219343,51.485584,2.0
-0.5533928,51.18685,6.0
-0.07298201,51.56245,2.0
-0.052998483,51.542873,2.0
-2.0490112,52.46343,4.0
-1.8801414,53.74236,5.0
-0.68710524,53.77275,5.0
-2.7457387,53.34687,3.0
-0.22935767,51.5047,2.0
-0.19123285,51.546825,2.0
-1.0190048,52.519543,1.0
0.11926478,51.76766,9.0
-1.4752555,54.030014,5.0
-0.31772023,51.609745,2.0
-0.35193577,51.574215,2.0
