longitude,latitude,region
-0.05228653,51.628384,2.0
-7.5582614,54.948387,0
-4.195688,51.7208,8.0
-4.737774,49.95214,0
-1.3280882,55.211216,0
-1.8570535,53.59363,5.0
1.5449079,50.756443,0
-3.265393,50.86238,10.0
-3.8388958,49.694534,0
-3.4841576,59.191807,0
-8.258142,54.63862,0
-5.836474,52.537148,0
-1.8210757,57.000626,0
-5.601894,52.544525,0
-6.597437,55.263992,0
-7.1702905,53.863678,0
-3.735296,58.638763,0
-2.777096,53.85688,3.0
-1.238398,53.373558,5.0
-0.42547458,51.58974,2.0
-4.3546233,51.199535,0
-5.3937526,49.79708,0
-2.5977,51.425484,10.0
-5.69901,56.395576,0
-0.29300246,51.56602,2.0
-2.3053598,53.49919,3.0
-4.730003,49.814632,0
-7.394022,53.716053,0
-2.1872811,53.373684,3.0
-5.4542227,53.650158,0
-3.3190334,51.135223,10.0
-4.0176907,58.77214,0
-1.6364105,55.171432,7.0
2.0555882,51.42829,0
-6.511458,52.237885,0
-0.5412338,56.167118,0
-2.7708685,52.866425,4.0
-2.5103548,53.48803,3.0
-7.84581,55.210434,0
-3.7253032,51.620514,8.0
0.6418863,50.780415,0
-6.675285,58.014717,0
-3.7902217,54.23695,0
-1.2308433,50.855362,6.0
-2.2931712,49.984085,0
-1.9610738,50.71469,10.0
-0.8270813,55.207428,0
-4.361665,51.337044,0
-2.0466318,51.528683,10.0
-1.351126,54.775356,7.0
-6.392901,55.68456,0
-6.0837116,52.666546,0
-7.4798727,56.191753,0
1.179614,52.749172,9.0
-5.0293097,51.046333,0
2.130395,52.251858,0
-1.9199988,51.803665,10.0
1.3009433,53.654484,0
-1.5681452,56.17497,0
-1.3761021,53.639183,5.0
-3.7553828,53.41195,0
0.31212106,51.89937,9.0
-5.5352135,54.611275,0
-7.906946,55.620853,0
-2.0811605,55.900677,0
-0.11465033,54.373074,0
-0.24448141,52.465992,9.0
-2.3246481,53.622356,3.0
-1.5650308,56.449986,0
-5.6338305,55.709404,0
-5.5945287,49.51561,0
1.7927246,51.02403,0
-8.0125065,54.651108,0
-3.0339737,53.328655,3.0
-6.1638007,51.011375,0
-6.9859023,56.350418,0
-7.5964794,55.222164,0
-3.284918,56.1062,11.0
-1.0711555,55.4846,0
-5.820239,55.015545,0
-5.1636195,49.66591,0
-4.132963,51.34143,0
-6.37748,50.86583,0
-0.24741428,51.609726,2.0
-2.9713895,50.531002,0
-5.838335,57.767532,0
1.75945,50.612007,0
-7.0550737,52.904484,0
-5.3257833,52.00197,0
-2.0545084,52.182457,4.0
-7.5798965,56.87608,0
-6.185329,58.444695,0
-5.384174,49.659664,0
-3.76084,51.72304,8.0
-4.293155,58.767532,0
0.39332047,51.121315,6.0
0.4163241,55.051544,0
-7.4474034,54.1269,0
-6.011204,54.587883,12.0
-6.711431,58.288723,0
0.2569658,51.42336,6.0
-1.0373552,56.85954,0
-6.570706,57.192505,0
-5.1067276,58.61294,0
1.0112838,52.973965,0
-4.2220225,57.79742,11.0
-2.0920203,52.56242,4.0
-5.116235,55.58605,0
1.1554791,51.83307,9.0
-3.5405865,54.10283,0
-2.4324481,51.55597,10.0
0.017379504,52.163567,9.0
-6.20171,58.581783,0
-5.0219026,54.34996,0
2.195544,52.938015,0
-2.6246285,57.961597,0
-2.5860002,50.791286,10.0
-2.9115338,58.647236,0
-4.968187,50.084156,0
-0.77026343,52.427216,1.0
-6.6305985,51.131496,0
-2.3499873,53.446674,3.0
-7.96968,56.0312,0
-5.83586,49.78327,0
-4.751648,55.741825,11.0
-3.7211907,56.31612,11.0
-4.58233,55.274113,11.0
-4.2817726,55.935368,11.0
1.5345576,50.619057,0
-2.3565698,58.100113,0
-1.3946873,53.361095,5.0
-4.5234156,54.22382,0
-0.21919037,51.419502,2.0
-6.9252825,57.867565,0
-0.101902895,51.53525,2.0
-7.3591623,53.442123,0
-5.2451744,54.068905,0
-1.563453,56.587482,0
0.6297028,54.49675,0
-5.514678,51.445778,0
-7.2240567,56.202858,0
1.2796388,53.37979,0
-4.501529,49.682114,0
-2.08174,56.175697,0
0.8570258,51.566345,9.0
-4.515065,54.086403,0
-5.7777405,51.850643,0
-0.35445797,54.514156,0
