longitude,latitude,region
-6.281003,55.582436,0
-7.3344502,52.37687,0
-5.962357,56.15054,0
-6.428285,53.67686,0
-3.0697768,58.566383,0
-3.63225,53.728657,0
0.9283553,53.626812,0
-4.298455,53.921654,0
-5.7791176,51.821594,0
-3.616491,53.912952,0
-8.232516,54.988804,0
0.5070458,51.09816,2.0
-5.4655023,56.440582,0
-6.5244656,56.133217,0
-2.8547747,56.71608,0
-5.423254,52.830566,0
-5.678573,50.053257,0
-7.406706,52.516594,0
-2.4912238,57.685715,0
-0.56359637,52.221268,9.0
-1.619001,51.64289,6.0
-7.417376,54.353054,0
-5.9548454,52.79463,0
-6.761749,51.674,0
-5.0969205,58.48009,0
0.9365881,51.917416,9.0
-3.7270265,55.0951,0
-5.9561043,56.629402,0
0.1342837,55.865135,0
-6.454496,50.326164,0
-1.9262394,55.975224,0
-4.311092,59.299633,0
-0.46632764,51.83823,2.0
-2.215834,57.572876,0
-1.4159149,54.741764,7.0
-5.053751,55.503048,0
-5.3302426,57.840675,0
-5.2610974,54.578728,0
-3.019548,53.06445,3.0
-2.0452354,55.63704,0
-4.4315567,54.526554,0
-6.5684667,56.51891,0
0.07287705,54.517868,0
-0.82607913,51.54609,2.0
-4.2607903,51.314823,0
-2.5035064,52.6031,4.0
-2.1138756,56.591335,0
1.1015173,52.91928,0
-1.4578743,51.08307,6.0
-5.556524,50.179203,0
-2.3857563,54.51654,5.0
0.9090878,51.743332,2.0
-1.6045215,50.66542,6.0
-4.244931,50.326546,0
-0.3058715,55.335957,0
-5.194124,59.01309,0
-2.619264,56.40011,0
-2.7843957,53.6185,3.0
0.8337258,52.91797,0
-5.7959957,58.72144,0
-3.9186103,58.341522,0
-0.6746436,52.325657,6.0
-2.7554598,52.586895,4.0
-2.935066,51.829105,8.0
-1.2935855,53.359512,5.0
-5.3839116,51.59487,0
-1.8141364,55.206886,7.0
-2.0880377,50.909492,10.0
-4.6756377,50.327023,0
-6.3768654,58.233852,0
-2.155738,53.991493,3.0
1.1349449,53.343285,0
-5.854212,50.8471,0
-5.470148,53.68641,0
-0.057358958,51.21957,2.0
-5.7745743,56.46021,0
0.36334777,55.179222,0
-5.5416436,52.4007,0
-1.0524099,53.42288,5.0
-5.4866467,55.106407,0
-1.8631786,53.29934,3.0
-2.3152235,50.995667,10.0
1.4758868,51.183876,6.0
-1.0892268,53.79941,5.0
-2.9038732,50.24938,0
-3.6084805,55.714703,11.0
-6.343184,50.053295,0
-3.978266,52.973194,8.0
-5.620385,53.278816,0
-1.7139884,57.69281,0
-0.59147185,54.592216,0
-3.200627,53.59267,3.0
-5.166777,55.776497,0
-2.8989682,55.83897,0
-7.1145663,56.921383,0
-1.4045432,51.69619,6.0
-3.3582752,54.185215,0
-3.5574527,56.3993,11.0
-0.24266206,51.840397,2.0
-5.1404395,49.65764,0
-1.6062899,57.220028,0
-6.041507,54.028538,0
-6.1087823,49.457233,0
1.5674385,50.890465,0
-6.500285,54.275406,0
-1.3963171,55.897564,0
-1.4655347,50.292267,0
-4.696417,52.93838,0
0.6486585,52.138103,9.0
0.0042566205,52.673088,9.0
-1.2840271,54.193096,5.0
-5.4836144,58.94573,0
-3.7303615,53.061222,8.0
0.7800477,54.60555,0
-6.369022,54.45107,12.0
-3.8515015,50.1,0
-4.5330415,55.288067,0
-4.228137,51.51069,0
-4.4383583,57.644012,11.0
0.88801694,53.334274,0
-2.5161664,57.496643,0
-1.2158365,52.120323,1.0
-5.9346023,51.95876,0
-6.653872,54.436764,12.0
-0.93401,54.691578,0
-7.308434,56.631844,0
1.188386,51.369762,6.0
-5.493055,56.946545,0
-3.189429,58.72249,0
-2.6334853,50.2983,0
-5.3336806,58.019073,0
-5.6985755,53.60101,0
-7.19289,54.471523,0
-7.3153915,52.902645,0
-6.803414,56.9735,0
-1.2776461,52.25018,4.0
-2.9292934,50.702457,0
-7.173442,53.089516,0
-3.0836368,50.402657,0
-2.7524247,50.125896,0
-3.0632808,52.234898,4.0
-2.0060663,51.917088,4.0
-0.036667425,52.52886,9.0
-7.633576,54.789566,0
-2.4643803,55.192722,7.0
-6.851285,57.561893,0
-3.8604927,49.930103,0
-3.8246014,50.91259,10.0
-3.2384982,57.36789,11.0
-0.14054969,51.544773,2.0
-3.4190664,53.825573,3.0
-4.0127597,52.791,8.0
-5.718615,54.765217,12.0
-5.650774,53.433807,0
-4.8832498,57.156746,0
-7.9652467,53.78954,0
-8.217905,54.323727,0
-4.3681026,53.351837,0
-3.480913,56.78821,11.0
-5.9452395,52.241585,0
-3.1441066,50.23067,0
0.114597306,50.638687,6.0
-6.317925,54.138367,0
-2.2617245,55.052204,7.0
-1.5961821,52.593033,4.0
-7.5541387,56.73956,0
-0.19247232,53.61942,5.0
-2.4109893,53.217487,3.0
-2.8754373,54.95874,3.0
-3.4199958,51.293552,8.0
-1.7429627,56.31397,0
-4.4016805,54.2297,0
-5.278237,52.156174,0
-5.4169283,49.44895,0
-6.587988,52.359367,0
-0.7310819,52.46828,1.0
-2.7165072,51.36387,10.0
-0.8764441,53.19073,1.0
-4.5894814,59.2529,0
-5.489616,50.44817,0
-7.3459387,57.301823,0
-1.8627082,55.490402,0
-0.115079336,53.95375,5.0
-2.9909575,51.68482,8.0
-1.1901172,55.110294,0
-6.069701,51.824863,0
-0.21348207,53.458965,5.0
-1.1252868,53.941772,5.0
-0.40760407,55.042374,0
-6.680284,54.12487,0
-7.041717,55.239124,0
0.33989686,55.583088,0
-4.1743183,54.870247,0
1.6976409,51.03975,0
-7.7939477,56.135204,0
-7.099539,51.830753,0
-6.799645,56.40629,0
-3.0549083,54.79886,3.0
-3.5941846,52.6242,8.0
-3.863915,54.303734,0
-1.1165258,52.365967,4.0
-4.975502,53.678898,0
