ctyua17cd,ctyua17nm,ctyua17nmw,cx,cy
E06000001,Hartlepool,,447157,531476
E06000002,Middlesbrough,,451141,516887
E06000003,Redcar and Cleveland,,464359,519597
E06000004,Stockton-on-Tees,,444937,518183
E06000005,Darlington,,428029,515649
E06000006,Halton,,354246,382146
E06000007,Warrington,,362744,388456
E06000008,Blackburn with Darwen,,369490,422806
E06000009,Blackpool,,332763,436633
E06000010,"Kingston upon Hull, City of",,511894,431716
E06000011,East Riding of Yorkshire,,488051,443608
E06000012,North East Lincolnshire,,523454,404574
E06000013,North Lincolnshire,,497798,410996
E06000014,York,,460864,452589
E06000015,Derby,,435609,335375
E06000016,Leicester,,458946,304594
E06000017,Rutland,,492992,308655
E06000018,Nottingham,,456082,339969
E06000019,"Herefordshire, County of",,349434,242834
E06000020,Telford and Wrekin,,367035,313057
E06000021,Stoke-on-Trent,,389438,346652
E06000022,Bath and North East Somerset,,366217,161999
E06000023,"Bristol, City of",,359990,174846
E06000024,North Somerset,,347613,166719
E06000025,South Gloucestershire,,367559,183196
E06000026,Plymouth,,249944,58255
E06000027,Torbay,,289730,64608
E06000028,Bournemouth,,410069,93928
E06000029,Poole,,403393,93466
E06000030,Swindon,,418551,186564
E06000031,Peterborough,,517372,300777
E06000032,Luton,,508606,222559
E06000033,Southend-on-Sea,,587776,186833
E06000034,Thurrock,,562126,181586
E06000035,Medway,,578207,175196
E06000036,Bracknell Forest,,488169,168792
E06000037,West Berkshire,,450575,172095
E06000038,Reading,,470226,173154
E06000039,Slough,,498920,179246
E06000040,Windsor and Maidenhead,,492079,176541
E06000041,Wokingham,,476624,169902
E06000042,Milton Keynes,,486408,242308
E06000043,Brighton and Hove,,530279,106849
E06000044,Portsmouth,,465607,101357
E06000045,Southampton,,442253,113608
E06000046,Isle of Wight,,447186,85950
E06000047,County Durham,,410381,532242
E06000049,Cheshire East,,380510,363462
E06000050,Cheshire West and Chester,,353097,363145
E06000051,Shropshire,,350227,302960
E06000052,Cornwall,,212501,64494
E06000053,Isles of Scilly,,91327,11447
E06000054,Wiltshire,,405209,158863
E06000055,Bedford,,505721,256463
E06000056,Central Bedfordshire,,504615,234492
E06000057,Northumberland,,395323,600699
E08000001,Bolton,,368352,409873
E08000002,Bury,,379658,410768
E08000003,Manchester,,384591,397063
E08000004,Oldham,,396603,406784
E08000005,Rochdale,,390315,412326
E08000006,Salford,,374556,398128
E08000007,Stockport,,391806,388264
E08000008,Tameside,,394987,397995
E08000009,Trafford,,375790,391162
E08000010,Wigan,,362136,402126
E08000011,Knowsley,,344762,393778
E08000012,Liverpool,,339361,390553
E08000013,St. Helens,,353412,395992
E08000014,Sefton,,334264,398832
E08000015,Wirral,,329242,386937
E08000016,Barnsley,,429979,403327
E08000017,Doncaster,,459167,403735
E08000018,Rotherham,,447542,388980
E08000019,Sheffield,,430511,389736
E08000021,Newcastle upon Tyne,,422287,569662
E08000022,North Tyneside,,431471,570602
E08000023,South Tyneside,,435503,564057
E08000024,Sunderland,,436470,551525
E08000025,Birmingham,,408150,287352
E08000026,Coventry,,432807,279689
E08000027,Dudley,,393191,288584
E08000028,Sandwell,,399573,290764
E08000029,Solihull,,419434,281483
E08000030,Walsall,,402098,300804
E08000031,Wolverhampton,,391463,300016
E08000032,Bradford,,408395,438626
E08000033,Calderdale,,402617,424896
E08000034,Kirklees,,414586,416223
E08000035,Leeds,,432528,436384
E08000036,Wakefield,,438366,418235
E08000037,Gateshead,,420168,559658
E09000001,City of London,,532382,181358
E09000002,Barking and Dagenham,,547759,185107
E09000003,Barnet,,523472,191753
E09000004,Bexley,,549202,175433
E09000005,Brent,,519615,186468
E09000006,Bromley,,542036,165708
E09000007,Camden,,527492,184284
E09000008,Croydon,,533922,164745
E09000009,Ealing,,517057,181960
E09000010,Enfield,,532829,196197
E09000011,Greenwich,,542508,175881
E09000012,Hackney,,534560,185787
E09000013,Hammersmith and Fulham,,523866,177998
E09000014,Haringey,,531262,189349
E09000015,Harrow,,515356,189736
E09000016,Havering,,555032,187514
E09000017,Hillingdon,,508166,183120
E09000018,Hounslow,,512744,174965
E09000019,Islington,,531158,184647
E09000020,Kensington and Chelsea,,525757,179053
E09000021,Kingston upon Thames,,519508,167389
E09000022,Lambeth,,531118,175626
E09000023,Lewisham,,537889,173344
E09000024,Merton,,526069,169507
E09000025,Newham,,540721,183327
E09000026,Redbridge,,543512,189478
E09000027,Richmond upon Thames,,519005,172648
E09000028,Southwark,,533945,175863
E09000029,Sutton,,527356,163640
E09000030,Tower Hamlets,,536345,181451
E09000031,Waltham Forest,,537327,190277
E09000032,Wandsworth,,525152,174137
E09000033,Westminster,,528268,180871
E10000002,Buckinghamshire,,482506,208561
E10000003,Cambridgeshire,,520312,273864
E10000006,Cumbria,,341868,527389
E10000007,Derbyshire,,426752,353556
E10000008,Devon,,283141,93082
E10000009,Dorset,,370871,99796
E10000011,East Sussex,,564120,118026
E10000012,Essex,,575269,215407
E10000013,Gloucestershire,,389595,213465
E10000014,Hampshire,,452858,127535
E10000015,Hertfordshire,,518883,213642
E10000016,Kent,,590262,147263
E10000017,Lancashire,,369784,440758
E10000018,Leicestershire,,442147,310191
E10000019,Lincolnshire,,517985,358543
E10000020,Norfolk,,600546,312278
E10000021,Northamptonshire,,477359,268708
E10000023,North Yorkshire,,429509,466515
E10000024,Nottinghamshire,,466570,359496
E10000025,Oxfordshire,,448985,208334
E10000027,Somerset,,309293,131082
E10000028,Staffordshire,,398243,334651
E10000029,Suffolk,,608216,266122
E10000030,Surrey,,515966,153408
E10000031,Warwickshire,,429584,253588
E10000032,West Sussex,,508316,118010
E10000034,Worcestershire,,385792,257203
S12000005,Clackmannanshire,,291159,696335
S12000006,Dumfries and Galloway,,270645,579857
S12000008,East Ayrshire,,255398,624935
S12000010,East Lothian,,354854,672351
S12000011,East Renfrewshire,,251929,653115
S12000013,Na h-Eileanan Siar,,126473,932862
S12000014,Falkirk,,289661,679536
S12000015,Fife,,339197,704726
S12000017,Highland,,241026,858306
S12000018,Inverclyde,,227922,670899
S12000019,Midlothian,,330088,659217
S12000020,Moray,,328024,843593
S12000021,North Ayrshire,,228984,651640
S12000023,Orkney Islands,,348291,1006584
S12000024,Perth and Kinross,,284304,744186
S12000026,Scottish Borders,,345891,626135
S12000027,Shetland Islands,,434516,1180307
S12000028,South Ayrshire,,226544,596270
S12000029,South Lanarkshire,,284634,636071
S12000030,Stirling,,255980,708769
S12000033,Aberdeen City,,387763,808478
S12000034,Aberdeenshire,,352286,816276
S12000035,Argyll and Bute,,200740,715442
S12000036,City of Edinburgh,,320193,669416
S12000038,Renfrewshire,,239305,664698
S12000039,West Dunbartonshire,,242904,681587
S12000040,West Lothian,,299483,668514
S12000041,Angus,,345518,759594
S12000042,Dundee City,,340291,732145
S12000044,North Lanarkshire,,277984,665608
S12000045,East Dunbartonshire,,261240,676154
S12000046,Glasgow City,,261534,667033
W06000001,Isle of Anglesey,Ynys Môn,245222,378346
W06000002,Gwynedd,Gwynedd,277968,334967
W06000003,Conwy,Conwy,283293,362562
W06000004,Denbighshire,Sir Ddinbych,309843,355416
W06000005,Flintshire,Sir y Fflint,321564,369303
W06000006,Wrexham,Wrecsam,333523,345387
W06000008,Ceredigion,Ceredigion,267126,268437
W06000009,Pembrokeshire,Sir Benfro,199821,221391
W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133
W06000011,Swansea,Abertawe,264022,197308
W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412
W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868
W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083
W06000015,Cardiff,Caerdydd,315270,178887
W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395
W06000018,Caerphilly,Caerffili,317245,195259
W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771
W06000020,Torfaen,Torfaen,327459,200480
W06000021,Monmouthshire,Sir Fynwy,337812,209231
W06000022,Newport,Casnewydd,337897,187433
W06000023,Powys,Powys,302328,273254
W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424
