id	gridX	gridY	NPU	opacity
1	16	5	Birmingham East	10
2	14	4	Birmingham East	10
3	15	5	Birmingham East	10
4	17	6	Birmingham East	10
5	16	10	Birmingham East	10
6	14	9	Birmingham East	10
7	15	9	Birmingham East	10
8	16	9	Birmingham East	10
9	16	8	Birmingham East	10
10	17	7	Birmingham East	10
11	20	8	Birmingham East	10
12	16	6	Birmingham East	10
13	15	3	Birmingham East	10
14	17	5	Birmingham East	10
15	16	4	Birmingham East	10
16	15	4	Birmingham East	10
17	17	9	Birmingham East	10
18	19	8	Birmingham East	10
19	17	8	Birmingham East	10
20	18	7	Birmingham East	10
21	14	7	Birmingham West	10
22	15	7	Birmingham West	10
23	14	8	Birmingham West	10
24	13	8	Birmingham West	10
25	9	9	Birmingham West	10
26	12	8	Birmingham West	10
27	11	8	Birmingham West	10
28	10	9	Birmingham West	10
29	14	6	Birmingham West	10
30	15	8	Birmingham West	10
31	15	6	Birmingham West	10
32	16	7	Birmingham West	10
33	13	6	Birmingham West	10
34	13	7	Birmingham West	10
35	12	6	Birmingham West	10
36	12	7	Birmingham West	10
37	13	10	Birmingham West	10
38	8	10	Birmingham West	10
39	12	10	Birmingham West	10
40	11	9	Birmingham West	10
41	12	5	Birmingham West	10
42	13	5	Birmingham West	10
43	13	4	Birmingham West	10
44	14	5	Birmingham West	10
45	15	10	Birmingham West	10
46	12	9	Birmingham West	10
47	14	10	Birmingham West	10
48	13	9	Birmingham West	10
49	25	9	Coventry	10
50	25	7	Coventry	10
51	27	8	Coventry	10
52	26	7	Coventry	10
53	26	9	Coventry	10
54	26	8	Coventry	10
55	27	9	Coventry	10
56	23	7	Coventry	10
57	26	10	Coventry	10
58	25	10	Coventry	10
59	24	9	Coventry	10
60	24	7	Coventry	10
61	25	8	Coventry	10
62	24	8	Coventry	10
63	24	10	Coventry	10
64	23	10	Coventry	10
65	23	9	Coventry	10
66	23	8	Coventry	10
67	7	8	Dudley	10
68	6	5	Dudley	10
69	6	4	Dudley	10
70	6	8	Dudley	10
71	3	5	Dudley	10
72	8	8	Dudley	10
73	8	9	Dudley	10
74	7	9	Dudley	10
75	5	6	Dudley	10
76	5	7	Dudley	10
77	4	5	Dudley	10
78	4	6	Dudley	10
79	6	6	Dudley	10
80	5	5	Dudley	10
81	3	7	Dudley	10
82	4	7	Dudley	10
83	3	6	Dudley	10
84	2	5	Dudley	10
85	2	6	Dudley	10
86	5	8	Dudley	10
87	3	8	Dudley	10
88	4	8	Dudley	10
89	2	8	Dudley	10
90	2	7	Dudley	10
91	22	9	Solihull	10
92	21	9	Solihull	10
93	18	11	Solihull	10
94	20	7	Solihull	10
95	22	7	Solihull	10
96	20	10	Solihull	10
97	21	8	Solihull	10
98	21	10	Solihull	10
99	22	10	Solihull	10
100	22	8	Solihull	10
101	21	7	Solihull	10
102	20	9	Solihull	10
103	18	8	Solihull	10
104	18	9	Solihull	10
105	17	10	Solihull	10
106	18	10	Solihull	10
107	15	11	Solihull	10
108	19	9	Solihull	10
109	19	10	Solihull	10
110	11	4	Sandwell	10
111	10	4	Sandwell	10
112	12	3	Sandwell	10
113	8	5	Sandwell	10
114	9	6	Sandwell	10
115	10	5	Sandwell	10
116	12	4	Sandwell	10
117	7	4	Sandwell	10
118	7	5	Sandwell	10
119	9	4	Sandwell	10
120	9	5	Sandwell	10
121	11	5	Sandwell	10
122	10	8	Sandwell	10
123	8	7	Sandwell	10
124	10	7	Sandwell	10
125	6	7	Sandwell	10
126	9	7	Sandwell	10
127	9	8	Sandwell	10
128	8	6	Sandwell	10
129	7	7	Sandwell	10
130	11	7	Sandwell	10
131	11	6	Sandwell	10
132	10	6	Sandwell	10
133	7	6	Sandwell	10
134	10	2	Walsall	10
135	10	1	Walsall	10
136	9	0	Walsall	10
137	9	1	Walsall	10
138	11	3	Walsall	10
139	10	3	Walsall	10
140	9	3	Walsall	10
141	14	2	Walsall	10
142	13	2	Walsall	10
143	11	1	Walsall	10
144	10	0	Walsall	10
145	13	3	Walsall	10
146	12	2	Walsall	10
147	14	3	Walsall	10
148	9	2	Walsall	10
149	8	4	Walsall	10
150	8	2	Walsall	10
151	8	1	Walsall	10
152	8	3	Walsall	10
153	11	2	Walsall	10
154	4	3	Wolverhampton	10
155	7	3	Wolverhampton	10
156	6	3	Wolverhampton	10
157	3	4	Wolverhampton	10
158	4	1	Wolverhampton	10
159	4	2	Wolverhampton	10
160	5	3	Wolverhampton	10
161	5	4	Wolverhampton	10
162	6	2	Wolverhampton	10
163	3	3	Wolverhampton	10
164	5	2	Wolverhampton	10
165	2	3	Wolverhampton	10
166	3	1	Wolverhampton	10
167	2	2	Wolverhampton	10
168	2	4	Wolverhampton	10
169	4	4	Wolverhampton	10
170	3	2	Wolverhampton	10
171	1	2	Wolverhampton	10
172	1	3	Wolverhampton	10
173	7	1	Wolverhampton	10
174	7	2	Wolverhampton	10
1	16	5	Birmingham East	20
2	14	4	Birmingham East	20
3	15	5	Birmingham East	20
4	17	6	Birmingham East	20
5	16	10	Birmingham East	20
6	14	9	Birmingham East	20
7	15	9	Birmingham East	20
8	16	9	Birmingham East	20
9	16	8	Birmingham East	20
10	17	7	Birmingham East	20
11	20	8	Birmingham East	20
12	16	6	Birmingham East	20
13	15	3	Birmingham East	20
14	17	5	Birmingham East	20
15	16	4	Birmingham East	20
16	15	4	Birmingham East	20
17	17	9	Birmingham East	20
18	19	8	Birmingham East	20
19	17	8	Birmingham East	20
20	18	7	Birmingham East	20
21	14	7	Birmingham West	20
22	15	7	Birmingham West	20
23	14	8	Birmingham West	20
24	13	8	Birmingham West	20
25	9	9	Birmingham West	20
26	12	8	Birmingham West	20
27	11	8	Birmingham West	20
28	10	9	Birmingham West	20
29	14	6	Birmingham West	20
30	15	8	Birmingham West	20
31	15	6	Birmingham West	20
32	16	7	Birmingham West	20
33	13	6	Birmingham West	20
34	13	7	Birmingham West	20
35	12	6	Birmingham West	20
36	12	7	Birmingham West	20
37	13	10	Birmingham West	20
38	8	10	Birmingham West	20
39	12	10	Birmingham West	20
40	11	9	Birmingham West	20
41	12	5	Birmingham West	20
42	13	5	Birmingham West	20
43	13	4	Birmingham West	20
44	14	5	Birmingham West	20
45	15	10	Birmingham West	20
46	12	9	Birmingham West	20
47	14	10	Birmingham West	20
48	13	9	Birmingham West	20
49	25	9	Coventry	20
50	25	7	Coventry	20
51	27	8	Coventry	20
52	26	7	Coventry	20
53	26	9	Coventry	20
54	26	8	Coventry	20
55	27	9	Coventry	20
56	23	7	Coventry	20
57	26	10	Coventry	20
58	25	10	Coventry	20
59	24	9	Coventry	20
60	24	7	Coventry	20
61	25	8	Coventry	20
62	24	8	Coventry	20
63	24	10	Coventry	20
64	23	10	Coventry	20
65	23	9	Coventry	20
66	23	8	Coventry	20
67	7	8	Dudley	20
68	6	5	Dudley	20
69	6	4	Dudley	20
70	6	8	Dudley	20
71	3	5	Dudley	20
72	8	8	Dudley	20
73	8	9	Dudley	20
74	7	9	Dudley	20
75	5	6	Dudley	20
76	5	7	Dudley	20
77	4	5	Dudley	20
78	4	6	Dudley	20
79	6	6	Dudley	20
80	5	5	Dudley	20
81	3	7	Dudley	20
82	4	7	Dudley	20
83	3	6	Dudley	20
84	2	5	Dudley	20
85	2	6	Dudley	20
86	5	8	Dudley	20
87	3	8	Dudley	20
88	4	8	Dudley	20
89	2	8	Dudley	20
90	2	7	Dudley	20
91	22	9	Solihull	20
92	21	9	Solihull	20
93	18	11	Solihull	20
94	20	7	Solihull	20
95	22	7	Solihull	20
96	20	10	Solihull	20
97	21	8	Solihull	20
98	21	10	Solihull	20
99	22	10	Solihull	20
100	22	8	Solihull	20
101	21	7	Solihull	20
102	20	9	Solihull	20
103	18	8	Solihull	20
104	18	9	Solihull	20
105	17	10	Solihull	20
106	18	10	Solihull	20
107	15	11	Solihull	20
108	19	9	Solihull	20
109	19	10	Solihull	20
110	11	4	Sandwell	20
111	10	4	Sandwell	20
112	12	3	Sandwell	20
113	8	5	Sandwell	20
114	9	6	Sandwell	20
115	10	5	Sandwell	20
116	12	4	Sandwell	20
117	7	4	Sandwell	20
118	7	5	Sandwell	20
119	9	4	Sandwell	20
120	9	5	Sandwell	20
121	11	5	Sandwell	20
122	10	8	Sandwell	20
123	8	7	Sandwell	20
124	10	7	Sandwell	20
125	6	7	Sandwell	20
126	9	7	Sandwell	20
127	9	8	Sandwell	20
128	8	6	Sandwell	20
129	7	7	Sandwell	20
130	11	7	Sandwell	20
131	11	6	Sandwell	20
132	10	6	Sandwell	20
133	7	6	Sandwell	20
134	10	2	Walsall	20
135	10	1	Walsall	20
136	9	0	Walsall	20
137	9	1	Walsall	20
138	11	3	Walsall	20
139	10	3	Walsall	20
140	9	3	Walsall	20
141	14	2	Walsall	20
142	13	2	Walsall	20
143	11	1	Walsall	20
144	10	0	Walsall	20
145	13	3	Walsall	20
146	12	2	Walsall	20
147	14	3	Walsall	20
148	9	2	Walsall	20
149	8	4	Walsall	20
150	8	2	Walsall	20
151	8	1	Walsall	20
152	8	3	Walsall	20
153	11	2	Walsall	20
154	4	3	Wolverhampton	20
155	7	3	Wolverhampton	20
156	6	3	Wolverhampton	20
157	3	4	Wolverhampton	20
158	4	1	Wolverhampton	20
159	4	2	Wolverhampton	20
160	5	3	Wolverhampton	20
161	5	4	Wolverhampton	20
162	6	2	Wolverhampton	20
163	3	3	Wolverhampton	20
164	5	2	Wolverhampton	20
165	2	3	Wolverhampton	20
166	3	1	Wolverhampton	20
167	2	2	Wolverhampton	20
168	2	4	Wolverhampton	20
169	4	4	Wolverhampton	20
