longitude,latitude,u,v,dir,dirCat
0.125,45.125,-2.328,-2.076,228,225
0.375,45.125,-2.419,-2.157,228,225
0.625,45.125,-2.505,-2.216,229,225
0.875,45.125,-2.574,-2.275,229,225
1.125,45.125,-2.574,-2.346,228,225
1.375,45.125,-2.524,-2.418,226,225
1.625,45.125,-2.476,-2.480,225,225
1.875,45.125,-2.419,-2.546,224,225
2.125,45.125,-2.342,-2.629,222,225
2.375,45.125,-2.263,-2.711,220,225
2.625,45.125,-2.191,-2.781,218,225
2.875,45.125,-2.011,-2.923,215,210
3.125,45.125,-1.683,-3.166,208,210
3.375,45.125,-1.318,-3.426,201,195
3.625,45.125,-0.951,-3.679,194,195
3.875,45.125,-0.705,-3.918,190,195
4.125,45.125,-0.580,-4.138,188,195
4.375,45.125,-0.446,-4.370,186,180
4.625,45.125,-0.329,-4.506,184,180
4.875,45.125,-0.314,-4.180,184,180
5.125,45.125,-0.375,-3.521,186,180
5.375,45.125,-0.433,-2.885,189,195
5.625,45.125,-0.471,-2.366,191,195
5.875,45.125,-0.468,-2.060,193,195
6.125,45.125,-0.443,-1.845,193,195
6.375,45.125,-0.423,-1.592,195,195
6.625,45.125,-0.414,-1.460,196,195
6.875,45.125,-0.409,-1.509,195,195
7.125,45.125,-0.402,-1.599,194,195
7.375,45.125,-0.390,-1.689,193,195
7.625,45.125,-0.592,-1.689,199,195
7.875,45.125,-1.016,-1.602,212,210
8.125,45.125,-1.444,-1.524,223,225
8.375,45.125,-1.818,-1.429,232,225
8.625,45.125,-1.966,-1.238,238,240
8.875,45.125,-1.946,-0.974,243,240
9.125,45.125,-1.929,-0.714,250,255
9.375,45.125,-1.901,-0.516,255,255
9.625,45.125,-1.851,-0.436,257,255
9.875,45.125,-1.788,-0.407,257,255
-9.875,45.125,-7.819,-3.435,246,240
-9.625,45.125,-8.033,-3.346,247,240
-9.375,45.125,-8.223,-3.236,249,255
-9.125,45.125,-8.356,-3.081,250,255
-8.875,45.125,-8.462,-2.906,251,255
-8.625,45.125,-8.568,-2.733,252,255
-8.375,45.125,-8.650,-2.563,253,255
-8.125,45.125,-8.702,-2.392,255,255
-7.875,45.125,-8.748,-2.224,256,255
-7.625,45.125,-8.796,-2.058,257,255
-7.375,45.125,-8.682,-1.888,258,255
-7.125,45.125,-8.405,-1.713,258,255
-6.875,45.125,-8.127,-1.536,259,255
-6.625,45.125,-7.854,-1.370,260,255
-6.375,45.125,-7.604,-1.249,261,255
-6.125,45.125,-7.371,-1.162,261,255
-5.875,45.125,-7.141,-1.077,261,255
-5.625,45.125,-6.910,-1.046,261,255
-5.375,45.125,-6.677,-1.119,260,255
-5.125,45.125,-6.447,-1.243,259,255
-4.875,45.125,-6.220,-1.365,258,255
-4.625,45.125,-5.984,-1.527,256,255
-4.375,45.125,-5.733,-1.744,253,255
-4.125,45.125,-5.475,-1.974,250,255
-3.875,45.125,-5.214,-2.199,247,240
-3.625,45.125,-5.034,-2.435,244,240
-3.375,45.125,-4.935,-2.677,242,240
-3.125,45.125,-4.841,-2.913,239,240
-2.875,45.125,-4.739,-3.127,237,240
-2.625,45.125,-4.573,-3.226,235,240
-2.375,45.125,-4.359,-3.222,234,240
-2.125,45.125,-4.147,-3.219,232,225
-1.875,45.125,-3.953,-3.198,231,225
-1.625,45.125,-3.788,-3.106,231,225
-1.375,45.125,-3.558,-2.908,231,225
-1.125,45.125,-2.777,-2.245,231,225
-0.875,45.125,-2.153,-1.735,231,225
-0.625,45.125,-2.182,-1.807,230,225
-0.375,45.125,-2.227,-1.902,229,225
-0.125,45.125,-2.265,-1.986,229,225
0.125,45.375,-2.519,-2.003,232,225
0.375,45.375,-2.603,-2.077,231,225
0.625,45.375,-2.688,-2.129,232,225
0.875,45.375,-2.756,-2.180,232,225
1.125,45.375,-2.742,-2.226,231,225
1.375,45.375,-2.666,-2.262,230,225
1.625,45.375,-2.592,-2.290,229,225
1.875,45.375,-2.512,-2.325,227,225
2.125,45.375,-2.417,-2.392,225,225
2.375,45.375,-2.324,-2.468,223,225
2.625,45.375,-2.238,-2.535,221,225
2.875,45.375,-2.053,-2.655,218,225
3.125,45.375,-1.731,-2.855,211,210
3.375,45.375,-1.369,-3.072,204,210
3.625,45.375,-1.006,-3.281,197,195
3.875,45.375,-0.761,-3.503,192,195
4.125,45.375,-0.642,-3.738,190,195
4.375,45.375,-0.522,-3.988,187,180
4.625,45.375,-0.411,-4.164,186,180
4.875,45.375,-0.391,-3.929,186,180
5.125,45.375,-0.446,-3.375,188,195
5.375,45.375,-0.503,-2.829,190,195
5.625,45.375,-0.542,-2.359,193,195
5.875,45.375,-0.531,-2.062,194,195
6.125,45.375,-0.492,-1.857,195,195
6.375,45.375,-0.461,-1.622,196,195
6.625,45.375,-0.460,-1.533,197,195
6.875,45.375,-0.462,-1.612,196,195
7.125,45.375,-0.441,-1.698,195,195
7.375,45.375,-0.413,-1.782,193,195
7.625,45.375,-0.562,-1.770,198,195
7.875,45.375,-0.921,-1.721,208,210
8.125,45.375,-1.311,-1.733,217,210
8.375,45.375,-1.646,-1.726,224,225
8.625,45.375,-1.748,-1.591,228,225
8.875,45.375,-1.678,-1.331,232,225
9.125,45.375,-1.613,-1.047,237,240
9.375,45.375,-1.572,-0.824,242,240
9.625,45.375,-1.575,-0.721,245,240
9.875,45.375,-1.596,-0.670,247,240
-9.875,45.375,-7.210,-3.002,247,240
-9.625,45.375,-7.397,-2.951,248,255
-9.375,45.375,-7.545,-2.879,249,255
-9.125,45.375,-7.626,-2.771,250,255
-8.875,45.375,-7.677,-2.647,251,255
-8.625,45.375,-7.721,-2.524,252,255
-8.375,45.375,-7.743,-2.404,253,255
-8.125,45.375,-7.747,-2.285,254,255
-7.875,45.375,-7.747,-2.166,254,255
-7.625,45.375,-7.748,-2.047,255,255
-7.375,45.375,-7.665,-1.929,256,255
-7.125,45.375,-7.493,-1.809,256,255
-6.875,45.375,-7.320,-1.688,257,255
-6.625,45.375,-7.145,-1.578,258,255
-6.375,45.375,-6.976,-1.505,258,255
-6.125,45.375,-6.818,-1.457,258,255
-5.875,45.375,-6.662,-1.412,258,255
-5.625,45.375,-6.496,-1.415,258,255
-5.375,45.375,-6.312,-1.507,257,255
-5.125,45.375,-6.123,-1.639,255,255
-4.875,45.375,-5.935,-1.772,253,255
-4.625,45.375,-5.748,-1.937,251,255
-4.375,45.375,-5.560,-2.144,249,255
-4.125,45.375,-5.367,-2.360,246,240
-3.875,45.375,-5.173,-2.568,244,240
-3.625,45.375,-5.052,-2.765,241,240
-3.375,45.375,-4.999,-2.952,239,240
-3.125,45.375,-4.956,-3.139,238,240
-2.875,45.375,-4.906,-3.306,236,240
-2.625,45.375,-4.780,-3.371,235,240
-2.375,45.375,-4.597,-3.342,234,240
-2.125,45.375,-4.415,-3.308,233,240
-1.875,45.375,-4.243,-3.258,232,225
-1.625,45.375,-4.079,-3.146,232,225
-1.375,45.375,-3.838,-2.931,233,240
-1.125,45.375,-3.039,-2.240,234,240
-0.875,45.375,-2.398,-1.707,235,240
-0.625,45.375,-2.414,-1.768,234,240
-0.375,45.375,-2.444,-1.851,233,240
-0.125,45.375,-2.468,-1.923,232,225
0.125,45.625,-2.556,-1.756,236,240
0.375,45.625,-2.645,-1.843,235,240
0.625,45.625,-2.739,-1.908,235,240
0.875,45.625,-2.813,-1.967,235,240
1.125,45.625,-2.783,-2.004,234,240
1.375,45.625,-2.668,-2.016,233,240
1.625,45.625,-2.555,-2.022,232,225
1.875,45.625,-2.438,-2.036,230,225
2.125,45.625,-2.319,-2.086,228,225
2.375,45.625,-2.205,-2.152,226,225
2.625,45.625,-2.096,-2.211,223,225
2.875,45.625,-1.920,-2.312,220,225
3.125,45.625,-1.643,-2.484,213,210
3.375,45.625,-1.329,-2.678,206,210
3.625,45.625,-1.012,-2.864,199,195
3.875,45.625,-0.795,-3.072,195,195
4.125,45.625,-0.700,-3.311,192,195
4.375,45.625,-0.621,-3.572,190,195
4.625,45.625,-0.542,-3.799,188,195
4.875,45.625,-0.531,-3.691,188,195
5.125,45.625,-0.583,-3.274,190,195
5.375,45.625,-0.639,-2.840,193,195
