station_id,station_name,description,lat,lon
VZS_BINZ,Binzmühlestrasse,"Binzmühlestrasse, directions: Oerlikon and Glaubtenstrasse",47.413642,8.523287
VZS_BUCH,Bucheggplatz,"Bucheggplatz, directions: Hofwiesenstrasse and Höngg",47.398911,8.533453
VZS_HOFW,Hofwiesenstrasse,"Hofwiesenstrasse, directions: Bucheggplatz and ---",47.400756,8.533971
VZS_LIMB,Limmatquai --> Bellevue,"Limmatquai --> Bellevue, directions: Bellevue and ---",47.369123,8.543434
VZS_LUXG,Lux-Guyer-Weg,"Lux-Guyer-Weg, directions: Innenstadt and Wipkingen",47.384998,8.536955
VZS_MILI,Militärbrücke,"Militärbrücke, directions: Bahnhofstrasse and Langstrasse",47.375014,8.534075
VZS_MYTH,Mythenquai,"Mythenquai, directions: Innenstadt and Wollishofen",47.358655,8.535618
VZS_MUEH,Mühlebachstrasse,"Mühlebachstrasse, directions: Bellevue and Riesbach",47.364582,8.550741
VZS_ZOLL,Zollstrasse,"Zollstrasse, directions: Sihlquai and Langstrasse",47.379637,8.537017
VZS_TOED,Tödistrasse,"Tödistrasse, directions: Seeufer and Hauptbahnhof",47.364572,8.535846
VZS_TALS,Talstrasse,"Talstrasse, directions: Hauptbahnhof and Seeufer",47.371549,8.534321
VZS_SCHU,Schulstrasse,"Schulstrasse, directions: Irchel and Bahnhof Oerlikon",47.410084,8.543727
VZS_ANDR,Andreasstrasse,"Andreasstrasse, directions: Oerlikon and Wallisellen",47.413082,8.559333
VZS_HOFW,Hofwiesenstrasse,"Hofwiesenstrasse, directions: Bucheggplatz and ---",47.400751,8.533971
VZS_SIHL,Sihlpromenade,"Sihlpromenade, directions: Innenstadt and Saalsporthalle",47.369186,8.529241
VZS_BERT,Bertastrasse,"Bertastrasse, directions: Wiedikon and Aussersihl",47.375434,8.51626
FZS_LETL,Lettenviadukt (Limmatstr.),"Lettenviadukt (Limmatstr.), directions: Limmat and Gleisanlagen",47.387819,8.526921
FZS_MYTH,Mythenquai Unterführung,"Mythenquai Unterführung, directions: Seeufer and Bhf. Wollishofen",47.355056,8.53475
FZS_ARBO,Arboretum,"Arboretum, directions: Stadtgrenze and Innenstadt",47.362582,8.537023
VZS_LIMC,Limmatquai --> Central,"Limmatquai --> Central, directions: Central and ---",47.36914,8.543567
FZS_HARD,Hardeggsteg,"Hardeggsteg, directions: Kloster-Fahr-Weg and Hardturmstrasse",47.395281,8.504129
FZS_ALTO,Altstetterstrasse Ost,"Altstetterstrasse Ost, directions: Bhf. Altstetten and Lindenplatz",47.39096,8.487393
VZS_HOFW,Hofwiesenstrasse,"Hofwiesenstrasse, directions: Bucheggplatz and ---",47.400758,8.533948
VZS_SCHE,Scheuchzerstrasse,"Scheuchzerstrasse, directions: Innenstadt and Irchel",47.382435,8.545379
FZS_ALTW,Altstetterstrasse West,"Altstetterstrasse West, directions: Bhf. Altstetten and Lindenplatz",47.39101,8.487288
FZS_INGA,In Gassen,"In Gassen, directions: Paradeplatz and Rathaus",47.370639,8.541082
VZS_SAUM,Saumackerstrasse,"Saumackerstrasse, directions: Uetliberg and Bahnhof Altstetten",47.390163,8.48943
VZS_LANN,Langstrasse (Unterführung Nord),"Langstrasse (Unterführung Nord), directions: Helvetiaplatz and Limmatplatz",47.38062,8.528191
FZS_KATZ,Katzenbach,"Katzenbach, directions: Affoltern and Seebach",47.42529,8.517494
FZS_QUAN,Quaibrücke Nord (Limmatseite),"Quaibrücke Nord (Limmatseite), directions: Bellevue and Bürkliplatz",47.366954,8.542809
VZS_LANS,Langstrasse (Unterführung Süd),"Langstrasse (Unterführung Süd), directions: Helvetiaplatz and Limmatplatz",47.381718,8.529299
VZS_SCHE,Scheuchzerstrasse,"Scheuchzerstrasse, directions: Innenstadt and Irchel",47.382435,8.545381
FZS_ALTO,Altstetterstrasse Ost,"Altstetterstrasse Ost, directions: Bhf. Altstetten and Lindenplatz",47.39099,8.4875
FZS_CASS,Cassiopeiasteg,"Cassiopeiasteg, directions: Stadtgrenze and Bellevue",47.342856,8.537241
FZS_CHOR,Chorherrenweg,"Chorherrenweg, directions: Limmat and Meierhofplatz",47.401324,8.498461
FZS_LETD,Letten / Dynamo,"Letten / Dynamo, directions: Limmatplatz and Hauptbahnhof",47.3843,8.537537
FZS_OHMO,Ohmstrasse Ost,"Ohmstrasse Ost, directions: Bhf. Oerlikon and Sternen Oerlikon",47.410834,8.5457630000000009
FZS_OHMW,Ohmstrasse West,"Ohmstrasse West, directions: Bhf. Oerlikon and Sternen Oerlikon",47.410692,8.545966
VZS_SCHU,Schulstrasse,"Schulstrasse, directions: Irchel and Bahnhof Oerlikon",47.410086,8.543734
FZS_LANS,Langstrasse (Unterführung Süd),"Langstrasse (Unterführung Süd), directions: Gleisanlagen and Limmat",47.381789,8.529287
FZS_LANN,Langstrasse (Unterführung Nord),"Langstrasse (Unterführung Nord), directions: Limmatplatz and Helvetiaplatz",47.381605,8.528794
FZS_LIMM,Limmatquai,"Limmatquai, directions: Rathaus and Seeufer",47.370347,8.543327
FZS_MILI,Militärbrücke,"Militärbrücke, directions: Löwenplatz and Langstrasse",47.375262,8.533524
FZS_ZEHN,Zehntenhausplatz Unterführung,"Zehntenhausplatz Unterführung, directions: Louis Conne Weg and In Böden",47.419106,8.506435
FZS_QUAS,Quaibrücke Süd (Seeseite),"Quaibrücke Süd (Seeseite), directions: Bellevue and Bürkliplatz",47.366715,8.542861
VZS_BUCH,Bucheggplatz,"Bucheggplatz, directions: Hofwiesenstrasse / Höngg and ---",47.398911,8.533451
FZS_OHMW,Ohmstrasse West,"Ohmstrasse West, directions: Sternen Oerlikon and Bhf. Oerlikon",47.410832,8.545759
FZS_QUAS,Quaibrücke Süd (Seeseite),"Quaibrücke Süd (Seeseite), directions: Bürkliplatz and Bellevue",47.366715,8.542861
FZS_LETD,Letten / Dynamo,"Letten / Dynamo, directions: Limmatplatz and Hauptbahnhof",47.384301,8.537534
FZS_OHMW,Ohmstrasse West,"Ohmstrasse West, directions: Sternen Oerlikon and Bhf. Oerlikon",47.410834,8.5457630000000009
FZS_OHMO,Ohmstrasse Ost,"Ohmstrasse Ost, directions: Bhf. Oerlikon and Sternen Oerlikon",47.410692,8.545966
VZS_LANN,Langstrasse (Unterführung Nord),"Langstrasse (Unterführung Nord), directions: Helvetiaplatz and Limmatplatz",47.380615,8.528191
FZS_KATZ,Katzenbach,"Katzenbach, directions: Affoltern and Seebach",47.425292,8.517487
VZS_LIMB,Limmatquai --> Bellevue,"Limmatquai --> Bellevue, directions: Bellevue and ---",47.36912,8.543436
VZS_SAUM,Saumackerstrasse,"Saumackerstrasse, directions: Uetliberg and Bahnhof Altstetten",47.390165,8.48946
VZS_LUXG,Lux-Guyer-Weg,"Lux-Guyer-Weg, directions: Innenstadt and Wipkingen",47.384998,8.536958
VZS_LANS,Langstrasse (Unterführung Süd),"Langstrasse (Unterführung Süd), directions: Limmatplatz and Helvetiaplatz",47.380493,8.528427
VZS_BINZ,Binzmühlestrasse,"Binzmühlestrasse, directions: Oerlikon and Glaubtenstrasse",47.413639,8.523298
FZS_HARD,Hardeggsteg,"Hardeggsteg, directions: Kloster-Fahr-Weg and Hardturmstrasse",47.395278,8.504132
VZS_ANDR,Andreasstrasse,"Andreasstrasse, directions: Oerlikon and Wallisellen",47.413076,8.559326
VZS_HARN,Hardbrücke Nord (Seite Altstetten),"Hardbrücke Nord (Seite Altstetten), directions: Escher-Wyss-Platz and Hardplatz",47.383799,8.515561
VZS_HARS,Hardbrücke Süd (Seite HB),"Hardbrücke Süd (Seite HB), directions: Escher-Wyss-Platz and Hardplatz",47.383631,8.515816
VZS_TALS,Talstrasse,"Talstrasse, directions: Seeufer and Hauptbahnhof",47.371548,8.534335
VZS_ZOLL,Zollstrasse,"Zollstrasse, directions: Langstrasse and Sihlquai",47.379638,8.537001
