id,median
VZS_ANDR_1,672
VZS_BERT_1,1199
VZS_BINZ_1,505
VZS_BUCH_1,2460
VZS_HARN_1,870
VZS_HARS_1,2197
VZS_HOFW_1,1478
VZS_LANN_1,4059
VZS_LANS_1,2819
VZS_LIMB_1,713
VZS_LIMC_1,998
VZS_LUXG_1,801
VZS_MILI_1,858
VZS_MUEH_1,1402
VZS_MYTH_1,696.5
VZS_SCHE_1,1441
VZS_SCHU_1,184
VZS_SIHL_1,2013
VZS_TALS_1,482
VZS_TOED_1,275
VZS_ZOLL_1,1685
VZS_ANDR_2,603
VZS_BERT_2,1177
VZS_BINZ_2,382
VZS_BUCH_2,2568
VZS_HARN_2,853
VZS_HARS_2,2329
VZS_HOFW_2,1516
VZS_LANN_2,4355
VZS_LANS_2,3012
VZS_LIMB_2,758
VZS_LIMC_2,1076
VZS_LUXG_2,831
VZS_MILI_2,925
VZS_MUEH_2,1486
VZS_MYTH_2,827.5
VZS_SCHE_2,1383
VZS_SCHU_2,171
VZS_SIHL_2,2067
VZS_TALS_2,481
VZS_TOED_2,201
VZS_ZOLL_2,1910
VZS_ANDR_3,649
VZS_BERT_3,1208.5
VZS_BINZ_3,525
VZS_BUCH_3,2356
VZS_HARN_3,878
VZS_HARS_3,2342
VZS_HOFW_3,1482
VZS_LANN_3,4344
VZS_LANS_3,3057
VZS_LIMB_3,741
VZS_LIMC_3,1082
VZS_LUXG_3,842
VZS_MILI_3,860
VZS_MUEH_3,1487
VZS_MYTH_3,883.5
VZS_SCHE_3,1446
VZS_SCHU_3,216
VZS_SIHL_3,2012
VZS_TALS_3,534
VZS_TOED_3,279
VZS_ZOLL_3,1803
VZS_ANDR_4,721
VZS_BERT_4,1204
VZS_BINZ_4,485.5
VZS_BUCH_4,2574
VZS_HARN_4,874
VZS_HARS_4,2338
VZS_HOFW_4,1596
VZS_LANN_4,4651
VZS_LANS_4,3046
VZS_LIMB_4,766
VZS_LIMC_4,1169
VZS_LUXG_4,865
VZS_MILI_4,1007
VZS_MUEH_4,1416
VZS_MYTH_4,936
VZS_SCHE_4,1437.5
VZS_SCHU_4,222
VZS_SIHL_4,2044
VZS_TALS_4,542
VZS_TOED_4,288
VZS_ZOLL_4,1754
VZS_ANDR_5,612
VZS_BERT_5,1129
VZS_BINZ_5,478
VZS_BUCH_5,2210
VZS_HARN_5,750
VZS_HARS_5,1972
VZS_HOFW_5,1374
VZS_LANN_5,4162
VZS_LANS_5,2829
VZS_LIMB_5,683
VZS_LIMC_5,1040
VZS_LUXG_5,748
VZS_MILI_5,884
VZS_MUEH_5,1334
VZS_MYTH_5,877
VZS_SCHE_5,1323
VZS_SCHU_5,231.5
VZS_SIHL_5,1755
VZS_TALS_5,470
VZS_TOED_5,204
VZS_ZOLL_5,1677
VZS_ANDR_6,323
VZS_BERT_6,802.5
VZS_BINZ_6,229
VZS_BUCH_6,1194
VZS_HARN_6,434
VZS_HARS_6,1294
VZS_HOFW_6,734
VZS_LANN_6,2862
VZS_LANS_6,2187
VZS_LIMB_6,414
VZS_LIMC_6,606
VZS_LUXG_6,466
VZS_MILI_6,519
VZS_MUEH_6,607
VZS_MYTH_6,590.5
VZS_SCHE_6,552.5
VZS_SCHU_6,227
VZS_SIHL_6,917
VZS_TALS_6,286
VZS_TOED_6,73
VZS_ZOLL_6,1195
VZS_ANDR_7,320
VZS_BERT_7,600.5
VZS_BINZ_7,192
VZS_BUCH_7,1012
VZS_HARN_7,389
VZS_HARS_7,1036
VZS_HOFW_7,548
VZS_LANN_7,1931
VZS_LANS_7,1380
VZS_LIMB_7,290
VZS_LIMC_7,421
VZS_LUXG_7,400
VZS_MILI_7,289
VZS_MUEH_7,446
VZS_MYTH_7,395.5
VZS_SCHE_7,498
VZS_SCHU_7,73
VZS_SIHL_7,638
VZS_TALS_7,182
VZS_TOED_7,68
VZS_ZOLL_7,1004
