id,median
FZS_ALTO_1,4281
FZS_ALTW_1,1055
FZS_ARBO_1,2632
FZS_CASS_1,479
FZS_HARD_1,2676
FZS_KATZ_1,523
FZS_LANN_1,5706
FZS_LANS_1,5884
FZS_LETD_1,1298
FZS_LIMM_1,4537
FZS_MILI_1,3005
FZS_MYTH_1,348
FZS_OHMO_1,3800
FZS_OHMW_1,5717
FZS_ZEHN_1,1972
FZS_ALTO_2,4275
FZS_ALTW_2,1293
FZS_ARBO_2,2653
FZS_CASS_2,483
FZS_HARD_2,2436
FZS_KATZ_2,292
FZS_LANN_2,6182
FZS_LANS_2,6032
FZS_LETD_2,1109
FZS_LIMM_2,5128
FZS_MILI_2,2771
FZS_MYTH_2,373
FZS_OHMO_2,4037
FZS_OHMW_2,5740
FZS_ZEHN_2,2131
FZS_ALTO_3,4252
FZS_ALTW_3,1110
FZS_ARBO_3,2567
FZS_CASS_3,564
FZS_HARD_3,2517
FZS_KATZ_3,452
FZS_LANN_3,6467
FZS_LANS_3,6336
FZS_LETD_3,1342
FZS_LIMM_3,5075
FZS_MILI_3,2986
FZS_MYTH_3,391
FZS_OHMO_3,4171
FZS_OHMW_3,5447
FZS_ZEHN_3,1992
FZS_ALTO_4,4388
FZS_ALTW_4,1179
FZS_ARBO_4,3090
FZS_CASS_4,662
FZS_HARD_4,2783
FZS_KATZ_4,398
FZS_LANN_4,6630
FZS_LANS_4,6704
FZS_LETD_4,1646
FZS_LIMM_4,5211
FZS_MILI_4,3429
FZS_MYTH_4,443
FZS_OHMO_4,4227
FZS_OHMW_4,6338
FZS_ZEHN_4,2070
FZS_ALTO_5,4328
FZS_ALTW_5,1119
FZS_ARBO_5,2647
FZS_CASS_5,491
FZS_HARD_5,2556
FZS_LANN_5,7235
FZS_LANS_5,6954
FZS_LETD_5,1252
FZS_LIMM_5,6247
FZS_MILI_5,3420
FZS_MYTH_5,379
FZS_OHMO_5,4875
FZS_OHMW_5,5812
FZS_ZEHN_5,2057
FZS_ALTO_6,2733
FZS_ALTW_6,489
FZS_ARBO_6,3065
FZS_CASS_6,686
FZS_HARD_6,1787
FZS_LANN_6,6803
FZS_LANS_6,7118
FZS_LETD_6,1628
FZS_LIMM_6,7405
FZS_MILI_6,2417
FZS_MYTH_6,432
FZS_OHMO_6,4653
FZS_OHMW_6,4877
FZS_ZEHN_6,1998
FZS_ALTO_7,2024
FZS_ALTW_7,531
FZS_ARBO_7,3853
FZS_CASS_7,1520
FZS_HARD_7,2128
FZS_LANN_7,4433
FZS_LANS_7,4642
FZS_LETD_7,3206
FZS_LIMM_7,3871
FZS_MILI_7,1225
FZS_MYTH_7,647
FZS_OHMO_7,2398
FZS_OHMW_7,1962
FZS_ZEHN_7,975
